SLAMBench Report run started:	2020-02-28 08:49:14

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2LARGE-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_no_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875813.7383790016	0.1818383634	0.1818383634	0.1818383634	0.0000000000	0.0152030000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875813.7695379257	0.2135745883	0.1977064759	0.2135745883	0.0959555134	0.0199000000	0	0	209321984	0.0071345400	0.0304336902	-0.0072037345
3	1311875813.8064379692	0.2557701170	0.2170610229	0.2557701170	0.1228920222	0.0154070000	0	0	209321984	0.0081628282	0.0882309675	-0.0241073873
4	1311875813.8381500244	0.2879842222	0.2347918227	0.2879842222	0.1142480990	0.0144020000	0	0	209321984	0.0065791784	0.1202231497	-0.0340686813
5	1311875813.8738729954	0.3112801909	0.2500894964	0.3112801909	0.1027841529	0.0151640000	0	0	209321984	0.0017163344	0.1374557018	-0.0484823063
6	1311875813.9048490524	0.3206069171	0.2618423998	0.3206069171	0.0936452703	0.0138860000	0	0	209321984	0.0010378603	0.1422999650	-0.0688120872
7	1311875813.9383800030	0.3457870483	0.2738344925	0.3457870483	0.0874387747	0.0132990000	0	0	209321984	0.0121518411	0.1477539688	-0.0741134509
8	1311875813.9740710258	0.3644676507	0.2851636373	0.3644676507	0.0814576134	0.0138960000	0	0	209321984	0.0079859160	0.1519839615	-0.0788905099
9	1311875814.0045480728	0.3645440042	0.2939836780	0.3645440042	0.0764485906	0.0147900000	0	0	209321984	-0.0165955089	0.1427894533	-0.0757871866
10	1311875814.0383810997	0.3849700093	0.3030823112	0.3849700093	0.0747636849	0.0136020000	0	0	209321984	-0.0103727002	0.1479220390	-0.0820662379
11	1311875814.0741169453	0.4184152186	0.3135671209	0.4184152186	0.0800473562	0.0135920000	0	0	209321984	-0.0479513146	0.1973652691	-0.0946515128
12	1311875814.1079208851	0.4330459237	0.3235236878	0.4330459237	0.0779587926	0.0136340000	0	0	209321984	-0.0528206602	0.2085232139	-0.1087525487
13	1311875814.1384758949	0.4887237549	0.3362313853	0.4887237549	0.0819223570	0.0135150000	0	0	209321984	-0.0532182306	0.2533384860	-0.0942446366
14	1311875814.1740610600	0.5198398232	0.3493462737	0.5198398232	0.0884092097	0.0135280000	0	0	209321984	-0.1127639040	0.3081982434	-0.1274338216
15	1311875814.2054839134	0.5451128483	0.3623973787	0.5451128483	0.0865977171	0.0142800000	0	0	209321984	-0.1262475103	0.3276842535	-0.1290203184
16	1311875814.2376759052	0.5355775952	0.3732211422	0.5451128483	0.0838427605	0.0138830000	0	0	209321984	-0.1448287070	0.3192295432	-0.1488942206
17	1311875814.2735879421	0.5317540765	0.3825466089	0.5451128483	0.0822442130	0.0139610000	0	0	209321984	-0.1844224930	0.3142887950	-0.1630605459
18	1311875814.3044629097	0.5507472157	0.3918910871	0.5507472157	0.0807214885	0.0137100000	0	0	209321984	-0.1913697720	0.3273181319	-0.1634831131
19	1311875814.3382790089	0.5349411368	0.3994200371	0.5507472157	0.0786091059	0.0136970000	0	0	209321984	-0.2063049674	0.3085134625	-0.1783779114
20	1311875814.3704490662	0.5471432209	0.4068061963	0.5507472157	0.0769792152	0.0139990000	0	0	209321984	-0.2072190344	0.3146343231	-0.1810277849
21	1311875814.4060831070	0.5763137937	0.4148779866	0.5763137937	0.0765867093	0.0138850000	0	0	209321984	-0.2046239376	0.3377538621	-0.1813099682
22	1311875814.4373250008	0.5760070086	0.4222020331	0.5763137937	0.0748560712	0.0142300000	0	0	209321984	-0.2253296226	0.3368153274	-0.1949920654
