SLAMBench Report run started:	2020-02-28 09:03:08

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2LARGELOOP-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_with_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875572.4178829193	0.0593556203	0.0593556203	0.0593556203	0.0000000000	0.0136830000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875572.4530699253	0.0468308032	0.0530932117	0.0593556203	0.0342231169	0.0174200000	0	0	209321984	0.0015462744	-0.0218259376	0.0115249269
3	1311875572.4823079109	0.0653955713	0.0571939982	0.0653955713	0.0329931466	0.0135760000	0	0	209321984	-0.0121600069	-0.0206721202	0.0259721112
4	1311875572.5213730335	0.0288897678	0.0501179406	0.0653955713	0.0466329283	0.0131360000	0	0	209321984	0.0029274197	-0.0585499406	0.0050605582
5	1311875572.5489969254	0.0287088081	0.0458361141	0.0653955713	0.0416351405	0.0130500000	0	0	209321984	0.0166731440	-0.0577320419	-0.0001461683
6	1311875572.5827000141	0.0327467807	0.0436545586	0.0653955713	0.0401708503	0.0126030000	0	0	209321984	0.0418184549	-0.0669540539	-0.0166613571
7	1311875572.6206340790	0.0452425703	0.0438814174	0.0653955713	0.0402618746	0.0126510000	0	0	209321984	0.0356930792	-0.0559610650	-0.0018445132
8	1311875572.6513841152	0.0620209686	0.0461488613	0.0653955713	0.0386949605	0.0122330000	0	0	209321984	0.0264097098	-0.0481060222	0.0105874501
9	1311875572.6817920208	0.0591006726	0.0475879514	0.0653955713	0.0398556699	0.0120250000	0	0	209321984	0.0614196360	-0.0708259940	0.0195770282
10	1311875572.7154519558	0.0639116839	0.0492203247	0.0653955713	0.0423621414	0.0119970000	0	0	209321984	0.0894565582	-0.0696401522	-0.0292407777
