SLAMBench Report run started:	2020-02-28 09:19:46

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2P360-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_360.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311876800.4301719666	0.0002449896	0.0002449896	0.0002449896	0.0000000000	0.0146040000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311876800.6690859795	0.0021588639	0.0012019268	0.0021588639	0.0037147608	0.0183300000	0	0	209321984	0.0008650201	-0.0010552430	-0.0016730956
3	1311876800.6991438866	0.0019797834	0.0014612123	0.0021588639	0.0032400435	0.0151870000	0	0	209321984	0.0009980249	-0.0001331978	-0.0018985339
4	1311876800.7309160233	0.0020060181	0.0015974138	0.0021588639	0.0030983277	0.0152040000	0	0	209321984	0.0004848901	-0.0008841236	-0.0017342478
5	1311876800.7849309444	0.0030315551	0.0018842420	0.0030315551	0.0028265988	0.0147880000	0	0	209321984	0.0008525447	-0.0013812906	-0.0025604924
6	1311876800.8196170330	0.0015463545	0.0018279274	0.0030315551	0.0026647993	0.0150140000	0	0	209321984	0.0010177521	-0.0002455513	-0.0011633188
7	1311876800.8629360199	0.0017535897	0.0018173078	0.0030315551	0.0028894672	0.0149980000	0	0	209321984	0.0006767725	-0.0004290805	-0.0012098087
8	1311876800.8946840763	0.0021210702	0.0018552781	0.0030315551	0.0026923024	0.0152270000	0	0	209321984	0.0008506604	-0.0000528640	-0.0017140709
9	1311876800.9301230907	0.0033749123	0.0020241263	0.0033749123	0.0028822565	0.0152980000	0	0	209321984	0.0011100677	-0.0009661426	-0.0024001389
10	1311876800.9660339355	0.0023594752	0.0020576612	0.0033749123	0.0028051680	0.0154280000	0	0	209321984	0.0003429227	-0.0005869520	-0.0018290945
11	1311876801.0006399155	0.0007597912	0.0019396730	0.0033749123	0.0029250824	0.0146760000	0	0	209321984	0.0004366646	0.0001988359	0.0000740357
