SLAMBench Report run started:	2020-02-28 09:19:21

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2P360-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_360.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311876800.3982100487	0.0001732338	0.0001732338	0.0001732338	0.0000000000	0.0172790000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311876800.4301719666	0.0011617735	0.0006675036	0.0011617735	0.0031195153	0.0193090000	0	0	209321984	-0.0005823518	0.0007712313	0.0009270508
3	1311876800.4676361084	0.0019228498	0.0010859524	0.0019228498	0.0039157290	0.0151990000	0	0	209321984	0.0010891296	-0.0003786860	-0.0015388347
4	1311876800.4991860390	0.0023966820	0.0014136348	0.0023966820	0.0033316209	0.0145290000	0	0	209321984	0.0004590871	-0.0009202730	-0.0021648961
5	1311876800.5505878925	0.0011318751	0.0013572828	0.0023966820	0.0030038878	0.0149990000	0	0	209321984	0.0001928440	-0.0006058083	-0.0009365053
6	1311876800.5845990181	0.0014924605	0.0013798125	0.0023966820	0.0029639974	0.0147030000	0	0	209321984	0.0008183073	-0.0005473521	-0.0012603943
7	1311876800.6267819405	0.0009006254	0.0013113572	0.0023966820	0.0029859912	0.0145850000	0	0	209321984	-0.0003966517	0.0004107679	-0.0006964775
8	1311876800.6690859795	0.0016539186	0.0013541773	0.0023966820	0.0028466748	0.0148380000	0	0	209321984	0.0005738136	-0.0002547756	-0.0015301722
9	1311876800.6991438866	0.0016277869	0.0013845784	0.0023966820	0.0027273888	0.0149920000	0	0	209321984	0.0003478206	-0.0003638769	-0.0017257766
10	1311876800.7309160233	0.0003152767	0.0012776482	0.0023966820	0.0027901324	0.0152550000	0	0	209321984	-0.0002790553	0.0001438213	-0.0000293610
11	1311876800.7849309444	0.0019657330	0.0013402014	0.0023966820	0.0028217719	0.0148390000	0	0	209321984	0.0007737593	-0.0004741538	-0.0017438122
12	1311876800.8196170330	0.0002339263	0.0012480118	0.0023966820	0.0028365186	0.0149300000	0	0	209321984	0.0000106776	0.0000933791	0.0001226541
13	1311876800.8629360199	0.0009728856	0.0012268483	0.0023966820	0.0030346939	0.0146350000	0	0	209321984	-0.0008256525	0.0009474950	0.0005585072
14	1311876800.8946840763	0.0009717277	0.0012086254	0.0023966820	0.0029936157	0.0152400000	0	0	209321984	0.0003126168	-0.0000927391	-0.0005618471
15	1311876800.9301230907	0.0017705867	0.0012460894	0.0023966820	0.0029955927	0.0147320000	0	0	209321984	0.0004616862	-0.0003170871	-0.0010672620
16	1311876800.9660339355	0.0018563980	0.0012842337	0.0023966820	0.0028987710	0.0148410000	0	0	209321984	0.0002880331	-0.0005493853	-0.0012841134
17	1311876801.0006399155	0.0021742017	0.0013365848	0.0023966820	0.0031123136	0.0150460000	0	0	209321984	-0.0010766491	0.0009062908	0.0019424181
18	1311876801.0501530170	0.0029876891	0.0014283128	0.0029876891	0.0033054062	0.0147600000	0	0	209321984	0.0015116987	-0.0004467430	-0.0016700700
19	1311876801.0947220325	0.0008766043	0.0013992755	0.0029876891	0.0032855935	0.0151380000	0	0	209321984	-0.0000544063	-0.0000041858	-0.0003755864
20	1311876801.1318209171	0.0007777523	0.0013681993	0.0029876891	0.0032801732	0.0152090000	0	0	209321984	-0.0004864954	0.0009071711	0.0009955248
21	1311876801.1824169159	0.0009246364	0.0013470773	0.0029876891	0.0032528098	0.0151250000	0	0	209321984	-0.0001629257	-0.0001053027	-0.0004272212
