SLAMBench Report run started:	2020-02-28 09:23:38

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311878194.3295540810	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0225870000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311878194.3592360020	0.0007178260	0.0003589130	0.0007178260	0.0013014802	0.0222950000	0	0	209321984	-0.0004504776	0.0004146027	0.0002092681
3	1311878194.3962900639	0.0008804534	0.0005327598	0.0008804534	0.0015970868	0.0176020000	0	0	209321984	-0.0000315626	0.0006290675	0.0005355683
4	1311878194.4276299477	0.0004389952	0.0005093187	0.0008804534	0.0017911867	0.0181230000	0	0	209321984	-0.0004213289	-0.0001208216	-0.0000251466
5	1311878194.4596729279	0.0000592446	0.0004193039	0.0008804534	0.0017468182	0.0177280000	0	0	209321984	0.0000313474	-0.0001325665	0.0000474023
6	1311878194.4987859726	0.0002062538	0.0003837955	0.0008804534	0.0018369338	0.0182700000	0	0	209321984	-0.0001152489	0.0001236066	-0.0000531792
7	1311878194.5279328823	0.0008704577	0.0004533187	0.0008804534	0.0019987402	0.0180950000	0	0	209321984	-0.0001472027	0.0003387748	0.0007489555
8	1311878194.5588839054	0.0005460068	0.0004649047	0.0008804534	0.0020852413	0.0179640000	0	0	209321984	0.0001061237	0.0000099056	0.0005353827
9	1311878194.5978949070	0.0003855349	0.0004560858	0.0008804534	0.0019713491	0.0180430000	0	0	209321984	0.0000893007	-0.0003744813	-0.0000785734
10	1311878194.6269490719	0.0004923971	0.0004597170	0.0008804534	0.0019628022	0.0179500000	0	0	209321984	-0.0000176889	-0.0003930982	0.0004283634
