SLAMBench Report run started:	2020-02-28 09:33:21

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311878194.3295540810	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0225040000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311878194.4065740108	0.0005459262	0.0002729631	0.0005459262	0.0012003832	0.0214750000	0	0	209321984	-0.0003936055	0.0002415352	-0.0001767529
3	1311878194.4743409157	0.0005990547	0.0003816603	0.0005990547	0.0011092217	0.0180190000	0	0	209321984	0.0001604388	-0.0004854269	-0.0004401614
4	1311878194.5062758923	0.0007442276	0.0004723021	0.0007442276	0.0010944746	0.0181560000	0	0	209321984	-0.0001326366	-0.0002475874	0.0007058105
5	1311878194.5978949070	0.0006256447	0.0005029706	0.0007442276	0.0010096475	0.0181690000	0	0	209321984	-0.0001694680	-0.0004142345	-0.0004868368
6	1311878194.7066709995	0.0007731581	0.0005480019	0.0007731581	0.0016065991	0.0171990000	0	0	209321984	-0.0003215084	0.0000440311	-0.0003434085
7	1311878194.7741749287	0.0009039607	0.0005988531	0.0009039607	0.0016918397	0.0168030000	0	0	209321984	-0.0001437904	-0.0000005859	-0.0006802640
8	1311878194.8277609348	0.0013217655	0.0006892172	0.0013217655	0.0039361715	0.0173500000	0	0	209321984	0.0001791262	0.0009699202	-0.0002496924
9	1311878194.8601560593	0.0009517843	0.0007183913	0.0013217655	0.0037631411	0.0169270000	0	0	209321984	0.0004738777	0.0006937759	-0.0004708245
10	1311878194.9382350445	0.0016701620	0.0008135684	0.0016701620	0.0044065165	0.0166700000	0	0	209321984	0.0007167108	0.0012268195	-0.0001082344
11	1311878194.9742140770	0.0029448136	0.0010073179	0.0029448136	0.0048197358	0.0161570000	0	0	209321984	0.0007976925	0.0027847174	-0.0005445522
12	1311878195.0275340080	0.0024421634	0.0011268884	0.0029448136	0.0074069870	0.0160350000	0	0	209321984	0.0007954951	-0.0006838327	0.0005576149
13	1311878195.1592309475	0.0037681067	0.0013300590	0.0037681067	0.0084995382	0.0164990000	0	0	209321984	0.0014221943	0.0011049076	0.0003469866
14	1311878195.1966290474	0.0063517117	0.0016887485	0.0063517117	0.0087420736	0.0162410000	0	0	209321984	-0.0004296372	0.0023858738	-0.0009086930
15	1311878195.3064699173	0.0070892796	0.0020487839	0.0070892796	0.0086764203	0.0170450000	0	0	209321984	0.0010192523	-0.0019311970	0.0006682340
16	1311878195.3742690086	0.0082773101	0.0024380668	0.0082773101	0.0086927447	0.0189300000	0	0	209321984	-0.0002026807	-0.0005032609	-0.0036288702
