SLAMBench Report run started:	2020-02-28 09:34:36

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM2-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam2.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311877813.0241611004	0.0003000895	0.0003000895	0.0003000895	0.0000000000	0.0163990000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311877813.1255090237	0.0013810830	0.0008405863	0.0013810830	0.0118932258	0.0195330000	0	0	209321984	-0.0007285616	0.0010481363	0.0006432572
3	1311877813.2550239563	0.0018141244	0.0011650990	0.0018141244	0.0128442306	0.0164860000	0	0	209321984	-0.0005961714	-0.0005958231	-0.0015084869
4	1311877813.3246510029	0.0010681569	0.0011408635	0.0018141244	0.0107956752	0.0159340000	0	0	209321984	-0.0009364777	0.0003950363	-0.0003289189
5	1311877813.3554608822	0.0011279408	0.0011382789	0.0018141244	0.0106332060	0.0157960000	0	0	209321984	-0.0001601243	0.0011766613	0.0003401875
6	1311877813.3897869587	0.0013691863	0.0011767635	0.0018141244	0.0110259899	0.0156090000	0	0	209321984	-0.0010034309	0.0000589224	-0.0008914868
7	1311877813.4253590107	0.0004181947	0.0010683965	0.0018141244	0.0101144899	0.0166930000	0	0	209321984	-0.0004421584	0.0002262930	0.0000808099
8	1311877813.4877700806	0.0018030654	0.0011602301	0.0018141244	0.0094585011	0.0158020000	0	0	209321984	-0.0018051454	0.0002280485	0.0004725993
9	1311877813.5552279949	0.0007216160	0.0011114952	0.0018141244	0.0102801448	0.0158910000	0	0	209321984	-0.0002923895	0.0003288078	0.0001969937
10	1311877813.5940909386	0.0010308245	0.0011034282	0.0018141244	0.0100401791	0.0158320000	0	0	209321984	-0.0009869470	0.0005857532	0.0001480580
11	1311877813.6255590916	0.0010682332	0.0011002286	0.0018141244	0.0098137235	0.0159330000	0	0	209321984	-0.0006065172	0.0004397162	0.0000918095
12	1311877813.6576681137	0.0010617066	0.0010970184	0.0018141244	0.0094465703	0.0157110000	0	0	209321984	-0.0004614586	0.0004428804	0.0005553525
13	1311877813.6955039501	0.0005412496	0.0010542670	0.0018141244	0.0090453494	0.0159400000	0	0	209321984	-0.0001417843	0.0003635307	0.0001717688
14	1311877813.7255029678	0.0015256904	0.0010879401	0.0018141244	0.0088914850	0.0157920000	0	0	209321984	-0.0013025546	-0.0001659696	-0.0000387665
15	1311877813.8233530521	0.0007405579	0.0010647813	0.0018141244	0.0087980193	0.0155880000	0	0	209321984	0.0009294124	-0.0001483037	-0.0004823894
16	1311877813.8552169800	0.0012601197	0.0010769899	0.0018141244	0.0085419019	0.0150610000	0	0	209321984	0.0001960340	0.0006273572	0.0011390754
17	1311877813.8938720226	0.0012554101	0.0010874852	0.0018141244	0.0083329984	0.0152490000	0	0	209321984	-0.0004897707	0.0000940438	-0.0007712430
18	1311877813.9255650043	0.0017376122	0.0011236034	0.0018141244	0.0081000937	0.0150030000	0	0	209321984	0.0000265803	-0.0002248471	-0.0014856256
19	1311877813.9576749802	0.0024918669	0.0011956173	0.0024918669	0.0079313346	0.0153020000	0	0	209321984	-0.0013050381	-0.0009280032	-0.0012648664
20	1311877813.9916660786	0.0027937021	0.0012755215	0.0027937021	0.0078123911	0.0150510000	0	0	209321984	-0.0010179324	-0.0010535235	-0.0018340641
21	1311877814.0254719257	0.0010300082	0.0012638304	0.0027937021	0.0076369658	0.0151930000	0	0	209321984	0.0002658954	0.0000559913	-0.0007576277
22	1311877814.0927910805	0.0032974270	0.0013562666	0.0032974270	0.0082885561	0.0147590000	0	0	209321984	0.0008419956	-0.0011825823	-0.0024595282
23	1311877814.1256499290	0.0019662010	0.0013827855	0.0032974270	0.0081967142	0.0150920000	0	0	209321984	0.0023662448	0.0007669480	-0.0006562094
24	1311877814.1576189995	0.0014769876	0.0013867106	0.0032974270	0.0080661400	0.0156710000	0	0	209321984	0.0023872191	0.0000895472	-0.0003487045
25	1311877814.1923038960	0.0015070820	0.0013915254	0.0032974270	0.0079643354	0.0147100000	0	0	209321984	0.0027132940	-0.0006190161	0.0000163026
26	1311877814.2253789902	0.0021296712	0.0014199157	0.0032974270	0.0160993176	0.0142490000	0	0	209321984	0.0025108138	0.0013093570	-0.0017598894
27	1311877814.2576398849	0.0017286579	0.0014313506	0.0032974270	0.0159435744	0.0149410000	0	0	209321984	0.0024896436	-0.0005239039	0.0016277434
28	1311877814.2952930927	0.0014618328	0.0014324392	0.0032974270	0.0157510363	0.0152020000	0	0	209321984	0.0014060270	0.0009236477	-0.0004267131
