SLAMBench Report run started:	2020-02-28 09:41:11

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2PSLAM3-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam3.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311877977.0943949223	0.0003741482	0.0003741482	0.0003741482	0.0000000000	0.0192150000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311877977.1309568882	0.0012067826	0.0007904654	0.0012067826	0.0055439603	0.0206790000	0	0	209321984	0.0000095979	0.0009762643	0.0010262546
3	1311877977.1633410454	0.0012642910	0.0009484073	0.0012642910	0.0050109886	0.0171960000	0	0	209321984	0.0001072531	0.0007305117	0.0013400177
4	1311877977.1996650696	0.0017680953	0.0011533293	0.0017680953	0.0047593899	0.0166180000	0	0	209321984	0.0001565427	0.0012983358	0.0016110119
5	1311877977.2326860428	0.0020068157	0.0013240266	0.0020068157	0.0051957691	0.0339390000	0	0	209321984	-0.0000701563	-0.0003531052	0.0020017114
6	1311877977.2675049305	0.0031181150	0.0016230413	0.0031181150	0.0047652705	0.0168250000	0	0	209321984	-0.0002022135	0.0002986757	0.0030587527
7	1311877977.2978150845	0.0012017343	0.0015628546	0.0031181150	0.0045310663	0.0162540000	0	0	209321984	0.0001422074	0.0008442568	0.0010122498
8	1311877977.3319060802	0.0011759485	0.0015144913	0.0031181150	0.0042102272	0.0165510000	0	0	209321984	-0.0006539787	0.0001382485	0.0006891783
9	1311877977.3644390106	0.0010735143	0.0014654939	0.0031181150	0.0039586404	0.0159910000	0	0	209321984	-0.0001490161	-0.0005090163	0.0006657775
10	1311877977.3978450298	0.0018526465	0.0015042092	0.0031181150	0.0038209051	0.0160270000	0	0	209321984	-0.0005961411	0.0000914627	0.0017616439
11	1311877977.4318709373	0.0020002828	0.0015493068	0.0031181150	0.0053306721	0.0162860000	0	0	209321984	0.0015026407	0.0010051999	0.0019524482
12	1311877977.4635879993	0.0019178734	0.0015800206	0.0031181150	0.0079544162	0.0161150000	0	0	209321984	0.0010910712	-0.0015476486	0.0002852086
13	1311877977.4986329079	0.0026711572	0.0016639542	0.0031181150	0.0078383476	0.0151690000	0	0	209321984	0.0024422568	0.0020824331	0.0003443452
14	1311877977.5316350460	0.0022403877	0.0017051280	0.0031181150	0.0116595605	0.0161320000	0	0	209321984	0.0024686232	-0.0012296335	0.0020058923
15	1311877977.5626978874	0.0034476784	0.0018212981	0.0034476784	0.0113056203	0.0163010000	0	0	209321984	0.0021403800	-0.0008540250	0.0034086001
16	1311877977.5987288952	0.0016895541	0.0018130641	0.0034476784	0.0117839386	0.0158280000	0	0	209321984	0.0018876399	0.0010745559	-0.0010858697
17	1311877977.6328790188	0.0016289878	0.0018022361	0.0034476784	0.0115224737	0.0157840000	0	0	209321984	0.0030304033	-0.0000345294	-0.0013122407
