SLAMBench Report run started:	2020-03-03 11:25:55

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter0/ICL2-KF-RND-000.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-probability: 0

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4367190000	0.0528870000	0.0166350000	0.0312500000	0.0000040000	0.3357980000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0963950000	0.0521650000	0.0111410000	0.0312510000	0.0000010000	0.0018090000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0979820000	0.0535840000	0.0111640000	0.0313680000	0.0000000000	0.0018380000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4223740000	0.0521720000	0.0110720000	0.0312020000	0.3260720000	0.0018290000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	0.8097530000	0.0536010000	0.0599220000	0.0315470000	0.3297510000	0.3349010000	0	0	209321984	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.4304730000	0.0535720000	0.0446030000	0.0000000000	0.3303530000	0.0019140000	0	0	209321984	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.4598380000	0.0536050000	0.0426580000	0.0315690000	0.3300570000	0.0019170000	0	0	209321984	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.4305910000	0.0536130000	0.0448110000	0.0000010000	0.3302250000	0.0019120000	0	0	209321984	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	0.7927540000	0.0535860000	0.0424350000	0.0314990000	0.3299210000	0.3352750000	0	0	209321984	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.4280200000	0.0536030000	0.0426460000	0.0000000000	0.3298400000	0.0018980000	0	0	209321984	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.4672180000	0.0521740000	0.0514610000	0.0315170000	0.3300800000	0.0019500000	0	0	209321984	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.4273130000	0.0521680000	0.0426540000	0.0000010000	0.3305370000	0.0019200000	0	0	209321984	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	0.7923750000	0.0521990000	0.0425680000	0.0316520000	0.3304500000	0.3354690000	0	0	209321984	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.4914940000	0.0536040000	0.1049300000	0.0000010000	0.3310170000	0.0019080000	0	0	209321984	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.4665350000	0.0535880000	0.0491960000	0.0316520000	0.3301260000	0.0019380000	0	0	209321984	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.4483080000	0.0531660000	0.0626940000	0.0000000000	0.3304990000	0.0019150000	0	0	209321984	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	0.7920060000	0.0535830000	0.0489560000	0.0319020000	0.3239100000	0.3336180000	0	0	209321984	3.9851157665	4.0009016991	3.9991016388
