SLAMBench Report run started:	2020-03-03 11:35:41

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter0/ICL2-ORB-DEP-00000.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0124360000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0012672738	0.0006336369	0.0012672738	0.0014621080	0.0189280000	0	0	209321984	-0.0009395972	0.0001850952	-0.0006080216
3	0.0800000000	0.0013752865	0.0008808534	0.0013752865	0.0015048662	0.0155750000	0	0	209321984	-0.0046173739	0.0009040008	-0.0005078728
4	0.1200000000	0.0026359456	0.0013196265	0.0026359456	0.0016140167	0.0159380000	0	0	209321984	-0.0006934753	0.0010367553	-0.0010570172
5	0.1600000000	0.0031982469	0.0016953506	0.0031982469	0.0016184282	0.0157820000	0	0	209321984	-0.0044551194	-0.0005518892	0.0009446319
6	0.2000000000	0.0010574743	0.0015890378	0.0031982469	0.0017614236	0.0161200000	0	0	209321984	-0.0044535990	0.0015547617	-0.0002274069
7	0.2400000000	0.0011193313	0.0015219369	0.0031982469	0.0016211645	0.0162950000	0	0	209321984	-0.0050776200	0.0022368853	-0.0000746568
8	0.2800000000	0.0022143747	0.0016084916	0.0031982469	0.0015643050	0.0161330000	0	0	209321984	-0.0050058994	0.0022459950	-0.0000914319
9	0.3200000000	0.0011086018	0.0015529483	0.0031982469	0.0017695628	0.0163950000	0	0	209321984	-0.0084019275	0.0012777841	-0.0008993771
10	0.3600000000	0.0032116282	0.0017188163	0.0032116282	0.0017927537	0.0162020000	0	0	209321984	-0.0063992171	0.0034607758	-0.0003047404
