SLAMBench Report run started:	2020-03-07 01:49:08

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL1-DEP-INT-0.0018.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0018

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1.6800000000	0.0058439495	0.0058439495	0.0058439495	0.0000000000	0.0129020000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	2.0000000000	0.0058284746	0.0058362121	0.0058439495	0.0498470254	0.0180740000	0	0	209321984	-0.0019650576	-0.0024275521	0.0084021101
3	2.2400000000	0.0074184262	0.0063636168	0.0074184262	0.0417279134	0.0152090000	0	0	209321984	0.0038601127	-0.0041751345	0.0209335759
4	2.3600000000	0.0071148020	0.0065514131	0.0074184262	0.0377537704	0.0153590000	0	0	209321984	0.0058967345	-0.0037627635	0.0292717479
5	2.4800000000	0.0061285980	0.0064668501	0.0074184262	0.0378185319	0.0153270000	0	0	209321984	0.0084346971	-0.0045122840	0.0376290083
6	2.5600000000	0.0045536128	0.0061479772	0.0074184262	0.0357141677	0.0151590000	0	0	209321984	0.0108009567	-0.0078124702	0.0429799631
7	2.6400000000	0.0064725489	0.0061943446	0.0074184262	0.0353071867	0.0154180000	0	0	209321984	0.0153213562	-0.0035313985	0.0501270629
8	2.7200000000	0.0054102647	0.0060963346	0.0074184262	0.0357530948	0.0153310000	0	0	209321984	0.0141799720	-0.0046964120	0.0537143499
9	2.8000000000	0.0057564494	0.0060585696	0.0074184262	0.0342868508	0.0153420000	0	0	209321984	0.0170996990	-0.0037643351	0.0601615272
10	2.8800000000	0.0066461363	0.0061173263	0.0074184262	0.0324861608	0.0151610000	0	0	209321984	0.0227453783	-0.0044755139	0.0664400309
11	2.9600000000	0.0061542937	0.0061206869	0.0074184262	0.0315413533	0.0162150000	0	0	209321984	0.0231441595	-0.0028586260	0.0712989867
12	3.0800000000	0.0090410188	0.0063640479	0.0090410188	0.0335200776	0.0178480000	0	0	209321984	0.0263760649	-0.0013225009	0.0786786973
13	3.2000000000	0.0172981508	0.0072051328	0.0172981508	0.0335743795	0.0163690000	0	0	209321984	0.0456129685	-0.0065339054	0.0876889378
14	3.3200000000	0.0159299169	0.0078283316	0.0172981508	0.0353037385	0.0167040000	0	0	209321984	0.0461765900	-0.0067957761	0.0950372517
15	4.2000000000	0.0157231931	0.0083546557	0.0172981508	0.0841708885	0.0198630000	0	0	209321984	0.0595465824	-0.0006580376	0.1625620425
