SLAMBench Report run started:	2020-03-07 09:07:10

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL1-ORB-COM-0.0014.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0014

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1.6400000000	0.0054585338	0.0054585338	0.0054585338	0.0000000000	0.0126230000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1.8800000000	0.0061724195	0.0058154766	0.0061724195	0.0181525443	0.0179870000	0	0	209321984	-0.0019189133	0.0000900354	0.0049384097
3	2.2400000000	0.0069210450	0.0061839994	0.0069210450	0.0441819984	0.0151610000	0	0	209321984	0.0040535103	-0.0059487466	0.0212486088
4	2.3200000000	0.0047186613	0.0058176649	0.0069210450	0.0375009267	0.0150810000	0	0	209321984	0.0024255964	-0.0035898290	0.0265625753
5	2.4400000000	0.0071162125	0.0060773744	0.0071162125	0.0371725173	0.0150970000	0	0	209321984	0.0085558062	-0.0041075889	0.0348469876
6	2.5200000000	0.0075457767	0.0063221081	0.0075457767	0.0347454665	0.0150320000	0	0	209321984	0.0119446153	-0.0041543269	0.0407754220
7	2.6000000000	0.0057494263	0.0062402964	0.0075457767	0.0343911505	0.0150020000	0	0	209321984	0.0126651665	-0.0055371756	0.0467017554
8	2.6800000000	0.0044274717	0.0060136933	0.0075457767	0.0348482187	0.0151760000	0	0	209321984	0.0126173114	-0.0043521537	0.0521742664
9	2.7600000000	0.0072452845	0.0061505368	0.0075457767	0.0341748666	0.0163650000	0	0	209321984	0.0155415051	-0.0027362125	0.0573640242
10	2.8400000000	0.0065993923	0.0061954224	0.0075457767	0.0325638857	0.0179530000	0	0	209321984	0.0191770084	-0.0029780671	0.0636901632
11	2.9200000000	0.0143002244	0.0069322225	0.0143002244	0.0309354705	0.0168130000	0	0	209321984	0.0327419229	-0.0019815585	0.0689240173
12	3.0000000000	0.0149247488	0.0075982664	0.0149247488	0.0304823066	0.0161660000	0	0	209321984	0.0365480781	-0.0032927259	0.0741694421
13	3.0800000000	0.0153073631	0.0081912738	0.0153073631	0.0306609115	0.0161860000	0	0	209321984	0.0387945026	-0.0022967879	0.0789368004
14	3.2000000000	0.0153565258	0.0087030775	0.0153565258	0.0324194201	0.0169920000	0	0	209321984	0.0424382463	-0.0040245042	0.0864350796
15	3.2800000000	0.0196174514	0.0094307025	0.0196174514	0.0325962026	0.0169410000	0	0	209321984	0.0463444144	-0.0008108307	0.0914101973
16	3.4000000000	0.0166071616	0.0098792312	0.0196174514	0.0332489228	0.0165720000	0	0	209321984	0.0461578593	-0.0026660117	0.0994499996
17	3.8000000000	0.0167290103	0.0102821593	0.0196174514	0.0455905466	0.0166790000	0	0	209321984	0.0522211939	-0.0019815448	0.1293663383
18	4.0000000000	0.0219407622	0.0109298595	0.0219407622	0.0479913621	0.0165060000	0	0	209321984	0.0625495762	0.0005407026	0.1475450546
19	4.0800000000	0.0175665095	0.0112791569	0.0219407622	0.0470218037	0.0159960000	0	0	209321984	0.0594999827	-0.0004187534	0.1525897980
