SLAMBench Report run started:	2020-02-23 12:11:10

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-COM-00001.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 1e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4408760000	0.0542500000	0.0160890000	0.0319040000	0.0000030000	0.3385330000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0800000000	0.0055015511	0.0032523967	0.0055015511	0.0058667758	0.0983660000	0.0535870000	0.0112770000	0.0316610000	0.0000010000	0.0018110000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.1200000000	0.0036504185	0.0033850706	0.0055015511	0.0043937274	0.0982120000	0.0536010000	0.0112020000	0.0316010000	0.0000010000	0.0017780000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1600000000	0.0067101396	0.0042163378	0.0067101396	0.0038034744	0.4309090000	0.0535870000	0.0112460000	0.0316600000	0.3324750000	0.0019110000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.2000000000	0.0037247688	0.0041180240	0.0067101396	0.0043854693	0.7918900000	0.0535860000	0.0424130000	0.0316560000	0.3293960000	0.3348070000	0	0	209321984	3.9982066154	4.0010972023	3.9999260902
6	0.2400000000	0.0036412445	0.0040385608	0.0067101396	0.0039302890	0.4256450000	0.0535820000	0.0403420000	0.0000010000	0.3297550000	0.0019340000	0	0	209321984	3.9980072975	4.0010590553	4.0002579689
7	0.2800000000	0.0037029723	0.0039906196	0.0067101396	0.0035928253	0.4620870000	0.0535820000	0.0447670000	0.0321390000	0.3296760000	0.0018900000	0	0	209321984	3.9966320992	4.0013613701	4.0001235008
8	0.3200000000	0.0036262812	0.0039450773	0.0067101396	0.0033949623	0.4299220000	0.0535830000	0.0447530000	0.0000010000	0.3296450000	0.0019100000	0	0	209321984	3.9945657253	4.0009260178	4.0001845360
9	0.3600000000	0.0035934849	0.0039060114	0.0067101396	0.0032458345	0.7945990000	0.0535790000	0.0448240000	0.0322110000	0.3293520000	0.3346000000	0	0	209321984	3.9944329262	4.0021147728	4.0007672310
10	0.4000000000	0.0035119329	0.0038666036	0.0067101396	0.0032332821	0.4362180000	0.0535990000	0.0516200000	0.0000010000	0.3290730000	0.0018920000	0	0	209321984	3.9933145046	4.0015130043	4.0015254021
11	0.4400000000	0.0035172494	0.0038348441	0.0067101396	0.0033110919	0.4713940000	0.0535870000	0.0539880000	0.0321830000	0.3296950000	0.0019050000	0	0	209321984	3.9933111668	4.0012545586	4.0006971359
12	0.4800000000	0.0035215239	0.0038087341	0.0067101396	0.0033346163	0.4443500000	0.0521580000	0.0606300000	0.0000000000	0.3296440000	0.0018810000	0	0	209321984	3.9908401966	4.0011873245	4.0012955666
13	0.5200000000	0.0035601638	0.0037896133	0.0067101396	0.0032140513	0.8203330000	0.0535760000	0.0696160000	0.0319640000	0.3299220000	0.3352190000	0	0	209321984	3.9909229279	4.0023179054	4.0006847382
14	0.5600000000	0.0035474943	0.0037723191	0.0067101396	0.0030994611	0.4342130000	0.0535730000	0.0492640000	0.0000010000	0.3294150000	0.0019240000	0	0	209321984	3.9877865314	4.0035686493	4.0014972687
15	0.6000000000	0.0035796268	0.0037594729	0.0067101396	0.0030120103	0.4778960000	0.0535830000	0.0607580000	0.0318480000	0.3297550000	0.0019130000	0	0	209321984	3.9886214733	4.0018882751	4.0004100800
16	0.6400000000	0.0035704125	0.0037476567	0.0067101396	0.0029382227	0.4286210000	0.0536020000	0.0425520000	0.0000010000	0.3305160000	0.0019150000	0	0	209321984	3.9865100384	4.0006103516	3.9990074635
