SLAMBench Report run started:	2020-02-23 12:59:16

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-COM-00080.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.8000000000	0.0259743650	0.0259743650	0.0259743650	0.0000000000	0.4429980000	0.0542320000	0.0163020000	0.0315220000	0.0000040000	0.3408430000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.9200000000	0.0396008305	0.0327875977	0.0396008305	0.0073458226	0.0980570000	0.0535660000	0.0111920000	0.0314880000	0.0000000000	0.0017850000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1.0000000000	0.0469842441	0.0375198132	0.0469842441	0.0080744744	0.0964040000	0.0521430000	0.0111240000	0.0313260000	0.0000000000	0.0017810000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1.0400000000	0.0528293438	0.0413471959	0.0528293438	0.0071407128	0.4258090000	0.0521440000	0.0111060000	0.0313950000	0.3292680000	0.0018650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1.1200000000	0.0419256948	0.0414628956	0.0528293438	0.0095055899	0.8103280000	0.0535610000	0.0514940000	0.0317140000	0.3340250000	0.3395020000	0	0	209321984	3.9783816338	4.0025348663	3.9944832325
6	1.1600000000	0.0416209400	0.0414892364	0.0528293438	0.0085696281	0.4415860000	0.0535660000	0.0516640000	0.0000000000	0.3344150000	0.0019080000	0	0	209321984	3.9684295654	4.0024647713	3.9964680672
7	1.2400000000	0.0416693538	0.0415149674	0.0528293438	0.0080751086	0.4740160000	0.0535740000	0.0516120000	0.0322150000	0.3347030000	0.0018790000	0	0	209321984	3.9552626610	4.0035877228	3.9920670986
8	1.3200000000	0.0416170321	0.0415277255	0.0528293438	0.0075334896	0.4435160000	0.0535640000	0.0515680000	0.0000000000	0.3364580000	0.0018930000	0	0	209321984	3.9214043617	4.0029525757	3.9908838272
9	1.4400000000	0.0417215563	0.0415492623	0.0528293438	0.0109817715	0.8103050000	0.0535720000	0.0518270000	0.0319650000	0.3356070000	0.3373000000	0	0	209321984	3.9015216827	4.0028085709	3.9873321056
10	1.5200000000	0.0417636633	0.0415707024	0.0528293438	0.0103547067	0.4379250000	0.0535810000	0.0450490000	0.0000010000	0.3373050000	0.0019540000	0	0	209321984	3.8865358829	4.0018997192	3.9844675064
11	1.6000000000	0.0417845212	0.0415901405	0.0528293438	0.0100742948	0.4757310000	0.0534700000	0.0514000000	0.0320420000	0.3369010000	0.0018850000	0	0	209321984	3.8662028313	3.9992740154	3.9865272045
12	1.6800000000	0.0417057425	0.0415997740	0.0528293438	0.0096714837	0.4453690000	0.0535840000	0.0519620000	0.0000010000	0.3378470000	0.0019390000	0	0	209321984	3.8459517956	4.0015745163	3.9917502403
13	1.9200000000	0.0416262373	0.0416018096	0.0528293438	0.0116842673	0.8176720000	0.0535780000	0.0528020000	0.0321640000	0.3366880000	0.3424030000	0	0	209321984	3.8103802204	4.0027079582	3.9943475723
