SLAMBench Report run started:	2020-03-07 10:12:37

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL3-KF-COM-0.00005.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 5e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0040127714	0.0040127714	0.0040127714	0.0000000000	0.3896000000	0.0543070000	0.0166610000	0.0303780000	0.0000030000	0.2881370000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0800000000	0.0039232424	0.0039680069	0.0040127714	0.0055252411	0.0971000000	0.0536190000	0.0112130000	0.0304070000	0.0000010000	0.0018280000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.1200000000	0.0033563883	0.0037641341	0.0040127714	0.0057156944	0.0969630000	0.0536210000	0.0111600000	0.0303790000	0.0000010000	0.0017700000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1600000000	0.0062459633	0.0043845914	0.0062459633	0.0078501531	0.3801940000	0.0536340000	0.0111310000	0.0304060000	0.2831130000	0.0018750000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.2000000000	0.0024254404	0.0039927612	0.0062459633	0.0081116350	0.7095650000	0.0536400000	0.0601700000	0.0307250000	0.2803440000	0.2846460000	0	0	209321984	4.0037822723	3.9947721958	4.0010333061
6	0.2400000000	0.0024373177	0.0037335206	0.0062459633	0.0074174177	0.3907230000	0.0536350000	0.0537610000	0.0000010000	0.2813720000	0.0019180000	0	0	209321984	4.0039753914	3.9849381447	3.9978814125
7	0.2800000000	0.0024883081	0.0035556331	0.0062459633	0.0067798495	0.4203800000	0.0536250000	0.0534900000	0.0304820000	0.2807960000	0.0019490000	0	0	209321984	4.0017518997	3.9866914749	3.9969666004
8	0.4000000000	0.0024175658	0.0034133747	0.0062459633	0.0076400941	0.3949920000	0.0536240000	0.0627220000	0.0000010000	0.2767760000	0.0018320000	0	0	209321984	3.9985420704	3.9870204926	3.9968388081
9	0.4400000000	0.0024281119	0.0033039010	0.0062459633	0.0073566253	0.7017050000	0.0529170000	0.0521780000	0.0309970000	0.2811040000	0.2844680000	0	0	209321984	3.9995164871	3.9969384670	3.9997744560
10	0.4800000000	0.0024569246	0.0032192034	0.0062459633	0.0069394577	0.3968860000	0.0536290000	0.0601200000	0.0000000000	0.2811780000	0.0019170000	0	0	209321984	4.0015401840	3.9948282242	3.9998128414
11	0.5200000000	0.0024770014	0.0031517305	0.0062459633	0.0066678196	0.4230560000	0.0536400000	0.0624510000	0.0308430000	0.2742170000	0.0018630000	0	0	209321984	4.0043478012	3.9872615337	3.9970543385
