SLAMBench Report run started:	2020-03-07 11:08:51

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL3-KF-COM-0.002.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.5600000000	0.0127143310	0.0127143310	0.0127143310	0.0000000000	0.3938430000	0.0543550000	0.0167230000	0.0304640000	0.0000030000	0.2921750000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1.0000000000	0.0217797663	0.0172470487	0.0217797663	0.0356559865	0.0970410000	0.0536280000	0.0111830000	0.0304060000	0.0000010000	0.0017900000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1.1200000000	0.0307683405	0.0217541459	0.0307683405	0.0301068135	0.0971790000	0.0535930000	0.0112080000	0.0305100000	0.0000010000	0.0018310000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1.2400000000	0.0338268392	0.0247723192	0.0338268392	0.0273325978	0.3867270000	0.0535700000	0.0111700000	0.0304660000	0.2895630000	0.0019220000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1.3200000000	0.0360287838	0.0270236121	0.0360287838	0.0314207367	0.7199520000	0.0535640000	0.0512740000	0.0307330000	0.2892870000	0.2950580000	0	0	209321984	4.0022320747	4.0091185570	3.9896681309
6	1.4000000000	0.0352047682	0.0283871382	0.0360287838	0.0281214302	0.4446050000	0.0535650000	0.0955550000	0.0000000000	0.2935360000	0.0019120000	0	0	209321984	4.0031599998	4.0055832863	3.9846706390
7	1.4800000000	0.0348730572	0.0293136980	0.0360287838	0.0256742803	0.4704200000	0.0535880000	0.0943530000	0.0308820000	0.2896210000	0.0019380000	0	0	209321984	4.0059399605	4.0046911240	3.9821748734
8	1.5600000000	0.0342343710	0.0299287821	0.0360287838	0.0242209723	0.4263810000	0.0535640000	0.0776660000	0.0000000000	0.2932060000	0.0019050000	0	0	209321984	4.0109033585	4.0059847832	3.9805386066
9	1.6000000000	0.0337896124	0.0303577633	0.0360287838	0.0229640204	0.7221410000	0.0535740000	0.0508140000	0.0309570000	0.2903230000	0.2964320000	0	0	209321984	4.0171856880	4.0078244209	3.9799916744
10	1.6800000000	0.0329094976	0.0306129367	0.0360287838	0.0217858719	0.4094090000	0.0535660000	0.0599710000	0.0000000000	0.2939060000	0.0019260000	0	0	209321984	4.0207943916	4.0077204704	3.9772920609
