SLAMBench Report run started:	2020-03-08 10:00:19

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL3-ORB-COM-0.00005.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 5e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0040126285	0.0040126285	0.0040126285	0.0000000000	0.0125450000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0800000000	0.0043659317	0.0041892801	0.0043659317	0.0023565243	0.0185260000	0	0	209321984	-0.0009088036	-0.0060805455	-0.0002439719
3	0.1200000000	0.0037957001	0.0040580868	0.0043659317	0.0023017936	0.0158800000	0	0	209321984	-0.0024728982	-0.0036976626	-0.0021731255
4	0.1600000000	0.0052563925	0.0043576632	0.0052563925	0.0052588285	0.0161850000	0	0	209321984	-0.0019384258	0.0002901336	0.0015337425
5	0.2000000000	0.0024822699	0.0039825846	0.0052563925	0.0053033544	0.0154850000	0	0	209321984	0.0014184907	-0.0071784146	0.0014334533
6	0.2400000000	0.0024890674	0.0037336650	0.0052563925	0.0049357811	0.0160380000	0	0	209321984	0.0021278649	-0.0166857447	-0.0024383960
7	0.2800000000	0.0036104918	0.0037160688	0.0052563925	0.0045453582	0.0158890000	0	0	209321984	-0.0006835646	-0.0161239635	-0.0035174328
8	0.4000000000	0.0030494963	0.0036327473	0.0052563925	0.0062699069	0.0158400000	0	0	209321984	-0.0010514251	-0.0140719945	-0.0034407107
9	0.4400000000	0.0041341656	0.0036884604	0.0052563925	0.0063255224	0.0153070000	0	0	209321984	-0.0010544432	-0.0066216066	-0.0006974875
10	0.4800000000	0.0028418847	0.0036038029	0.0052563925	0.0060060937	0.0157060000	0	0	209321984	0.0007088062	-0.0075267302	-0.0001961834
