SLAMBench Report run started:	2020-03-08 10:34:38

Properties:
=================

frame-limit: 0
log-file: ./experiments/final/config/ICL2-ORB-COM-0.00175.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.00175

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.8400000000	0.0316926055	0.0316926055	0.0316926055	0.0000000000	0.0127090000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.9600000000	0.0334286988	0.0325606521	0.0334286988	0.0013274869	0.0183230000	0	0	209321984	-0.0071954150	0.0013624933	-0.0025697087
3	1.0400000000	0.0349461772	0.0333558271	0.0349461772	0.0028787555	0.0161770000	0	0	209321984	-0.0177742150	0.0024274781	-0.0047069634
4	1.1200000000	0.0341898277	0.0335643273	0.0349461772	0.0059700389	0.0154370000	0	0	209321984	-0.0291818678	0.0013633962	-0.0092196539
5	1.2000000000	0.0351455882	0.0338805795	0.0351455882	0.0057456312	0.0157760000	0	0	209321984	-0.0442925654	0.0019019671	-0.0090970397
6	1.2800000000	0.0346817933	0.0340141151	0.0351455882	0.0061792347	0.0157050000	0	0	209321984	-0.0570599623	-0.0001032570	-0.0107933609
7	1.3200000000	0.0346050449	0.0340985336	0.0351455882	0.0057075427	0.0161320000	0	0	209321984	-0.0854854956	-0.0023208370	-0.0125000551
8	1.4800000000	0.0343789123	0.0341335810	0.0351455882	0.0107171349	0.0158150000	0	0	209321984	-0.1174788922	-0.0017418968	-0.0153726144
9	1.6000000000	0.0324959084	0.0339516174	0.0351455882	0.0105431872	0.0152330000	0	0	209321984	-0.1428899020	-0.0038209208	-0.0144484416
10	1.7600000000	0.0313768610	0.0336941417	0.0351455882	0.0109574711	0.0155010000	0	0	209321984	-0.1790220588	0.0019132196	-0.0082085729
11	2.2000000000	0.0335790776	0.0336836814	0.0351455882	0.0148342232	0.0154150000	0	0	209321984	-0.2516389191	-0.0002062272	0.0056868810
12	2.4400000000	0.0328909680	0.0336176219	0.0351455882	0.0180899318	0.0149500000	0	0	209321984	-0.3146149218	-0.0026984070	0.0239080135
13	2.6000000000	0.0306903981	0.0333924508	0.0351455882	0.0223787588	0.0149380000	0	0	209321984	-0.3621856868	-0.0051352279	0.0328739956
14	3.1600000000	0.0248138160	0.0327796912	0.0351455882	0.0288216536	0.0151910000	0	0	209321984	-0.4518103004	0.0210548099	0.0074578896
15	3.3600000000	0.0279150512	0.0324553819	0.0351455882	0.0289278064	0.0161630000	0	0	209321984	-0.5031059980	0.0217349548	0.0051953346
16	3.8000000000	0.0251382794	0.0319980630	0.0351455882	0.0379199027	0.0156660000	0	0	209321984	-0.6271278262	0.0124275200	0.0129836947
17	4.2800000000	0.0259437915	0.0316419294	0.0351455882	0.0371025492	0.0148380000	0	0	209321984	-0.7158657312	0.0012282608	0.0622927845
18	4.4400000000	0.0266120769	0.0313624931	0.0351455882	0.0365123376	0.0155370000	0	0	209321984	-0.7389680743	0.0005343845	0.0861333460
19	4.6400000000	0.0078781610	0.0301264756	0.0351455882	0.0364452049	0.0150900000	0	0	209321984	-0.7900976539	0.0129778963	0.1341900378
20	4.9600000000	0.0100238929	0.0291213465	0.0351455882	0.0355139719	0.0146020000	0	0	209321984	-0.8371817470	0.0181728005	0.1984194368
21	5.3600000000	0.0128322821	0.0283456768	0.0351455882	0.0365517061	0.0151990000	0	0	209321984	-0.8940179348	0.0230844337	0.2920868993
22	5.7200000000	0.0158190206	0.0277762833	0.0351455882	0.0419249125	0.0155570000	0	0	209321984	-0.9520605803	0.0345547386	0.3803878427
23	6.0800000000	0.0145036057	0.0271992104	0.0351455882	0.0416631239	0.0143370000	0	0	209321984	-0.9961134791	0.0352492705	0.4740660191
24	6.5600000000	0.0146911573	0.0266780415	0.0351455882	0.0451620951	0.0142520000	0	0	209321984	-1.0152411461	0.0387892351	0.6194943190
25	6.9200000000	0.0161410403	0.0262565614	0.0351455882	0.0443756916	0.0146780000	0	0	209321984	-1.0123919249	0.0488088727	0.7367973924
26	7.6000000000	0.0235859938	0.0261538473	0.0351455882	0.0437112299	0.0147020000	0	0	209321984	-0.9965406656	0.0683224946	0.9508054852
27	7.9200000000	0.0186951179	0.0258775981	0.0351455882	0.0434984025	0.0146750000	0	0	209321984	-0.9963410497	0.0831021443	1.0865151882
28	8.3200000000	0.0303349774	0.0260367902	0.0351455882	0.0433164541	0.0137530000	0	0	209321984	-0.9801912308	0.0953921899	1.2378026247
29	8.4800000000	0.0294298418	0.0261537920	0.0351455882	0.0429091247	0.0132480000	0	0	209321984	-0.9526588917	0.1014895141	1.2883099318
30	8.6400000000	0.0278991256	0.0262119697	0.0351455882	0.0426726860	0.0131530000	0	0	209321984	-0.9182323217	0.1081215516	1.3374838829
31	8.8000000000	0.0306084491	0.0263537917	0.0351455882	0.0426585726	0.0134040000	0	0	209321984	-0.8794418573	0.1198754087	1.3801964521
32	8.9600000000	0.0323373005	0.0265407763	0.0351455882	0.0423623525	0.0139240000	0	0	209321984	-0.8398892879	0.1277172267	1.4298706055
