SLAMBench Report run started:	2020-03-12 05:46:25

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/0-1-ICL1-KF-0.00001.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-slam-library: ./build/lib/libkfusion-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 1e-05
intensity-weight: 0
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0004263568	0.0004263568	0.0004263568	0.0000000000	0.0038680000	0.0006350000	0.0004780000	0.0000070000	0.0000000000	0.0026380000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0017003767	0.0010633668	0.0017003767	0.0028343648	0.0018860000	0.0006340000	0.0004540000	0.0000050000	0.0000000000	0.0007590000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
3	0.2000000000	0.0024063447	0.0015110261	0.0024063447	0.0025156797	0.0017720000	0.0005740000	0.0004510000	0.0000050000	0.0000000000	0.0007130000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
4	0.6400000000	0.0004257647	0.0012397108	0.0024063447	0.0044348318	0.0021980000	0.0006240000	0.0004520000	0.0000040000	0.0000120000	0.0010760000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
5	0.6800000000	0.0008914018	0.0011700490	0.0024063447	0.0041520125	0.0064900000	0.0006200000	0.0042510000	0.0000040000	0.0000040000	0.0015800000	0	0	314179584	4.0002689362	4.0000810623	4.0005435944
6	1.0000000000	0.0009096332	0.0011266464	0.0024063447	0.0088486621	0.0045150000	0.0006210000	0.0030140000	0.0000000000	0.0000040000	0.0008470000	0	0	314179584	3.9996490479	4.0002560616	4.0003161430
7	1.4000000000	0.0009255144	0.0010979132	0.0024063447	0.0100386184	0.0047240000	0.0006130000	0.0030050000	0.0000030000	0.0000040000	0.0010690000	0	0	314179584	3.9971606731	3.9989528656	4.0002985001
8	1.4400000000	0.0010522107	0.0010922004	0.0024063447	0.0092952296	0.0041690000	0.0006250000	0.0026090000	0.0000000000	0.0000040000	0.0008990000	0	0	314179584	3.9970006943	3.9995760918	4.0005245209
9	1.4800000000	0.0010968376	0.0010927156	0.0024063447	0.0086949294	0.0047520000	0.0005650000	0.0026130000	0.0000040000	0.0000040000	0.0015370000	0	0	314179584	3.9966635704	3.9990317822	4.0005302429
10	1.5200000000	0.0010829240	0.0010917365	0.0024063447	0.0082163214	0.0065760000	0.0006180000	0.0050780000	0.0000000000	0.0000050000	0.0008420000	0	0	314179584	3.9959926605	3.9974801540	4.0001344681
