SLAMBench Report run started:	2020-03-13 08:09:45

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/0-1-TUM2XYZ-INF-0.00008.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/libinfinitam-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
trackerType: ICP
depthTrackerICPThreshold: 0.01
depthTrackerTerminationThreshold: 0.001
voxelSize: 0.005
viewFrustum_min: 0.2
viewFrustum_max: 3
mu: 0.02
trackingRegime: B,B,R,R,R
noICPRunTillLevel: 0
maxW: 100
useSwapping: false
useBilateralFilter: false
useApproximateRaycast: false
modelSensorNoise: false
skipPoints: true
stopIntegratingAtMaxW: false
skip-threshold: 8.000000000000001e-05
intensity-weight: 0
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4835000038	0.0594216883	0.0594216883	0.0594216883	0.0000000000	0.0068710000	0	0	1182400512	-0.0000000000	0.0000000000	-0.0000000000
2	1311867170.5168180466	0.0589393526	0.0591805205	0.0594216883	0.0084986687	0.0029610000	0	0	1180303360	-0.0011485249	-0.0010761754	-0.0023057221
3	1311867170.5513839722	0.0583428852	0.0589013087	0.0594216883	0.0070144702	0.0020830000	0	0	1180303360	0.0008041572	-0.0017383642	-0.0036488040
4	1311867170.5809900761	0.0584034696	0.0587768489	0.0594216883	0.0071554794	0.0020400000	0	0	1180303360	0.0037250610	-0.0026895781	-0.0046615801
5	1311867170.6179420948	0.0586559810	0.0587526754	0.0594216883	0.0067188565	0.0023640000	0	0	1180303360	0.0040395274	-0.0038707524	-0.0063123414
6	1311867170.6496739388	0.0590580851	0.0588035770	0.0594216883	0.0064207247	0.0021970000	0	0	1180303360	0.0045480845	-0.0047641159	-0.0078770602
7	1311867170.6805319786	0.0587172881	0.0587912500	0.0594216883	0.0060236129	0.0023080000	0	0	1180303360	0.0043247184	-0.0054285205	-0.0095735630
8	1311867170.7173581123	0.0594857037	0.0588780567	0.0594857037	0.0059303271	0.0020930000	0	0	1180303360	0.0050499537	-0.0055631795	-0.0106547829
9	1311867170.7494509220	0.0593237206	0.0589275749	0.0594857037	0.0057878250	0.0021710000	0	0	1180303360	0.0040165787	-0.0077308938	-0.0122303441
10	1311867170.7803640366	0.0593226403	0.0589670815	0.0594857037	0.0060186527	0.0022330000	0	0	1180303360	0.0049613882	-0.0098703848	-0.0138154458
11	1311867170.8165349960	0.0600706153	0.0590674027	0.0600706153	0.0061143009	0.0021690000	0	0	1180303360	0.0061395350	-0.0129650282	-0.0156354029
12	1311867170.8506159782	0.0601092987	0.0591542274	0.0601092987	0.0059551173	0.0021660000	0	0	1180303360	0.0057558389	-0.0155207654	-0.0180178974
13	1311867170.8826720715	0.0606158674	0.0592666612	0.0606158674	0.0057206247	0.0020670000	0	0	1180303360	0.0056410781	-0.0176775437	-0.0203236658
14	1311867170.9172639847	0.0608679317	0.0593810377	0.0608679317	0.0055565236	0.0021310000	0	0	1180303360	0.0053840275	-0.0198263209	-0.0230836719
15	1311867170.9496428967	0.0603281930	0.0594441814	0.0608679317	0.0055493349	0.0022460000	0	0	1180303360	0.0029271995	-0.0221034717	-0.0261738133
