SLAMBench Report run started:	2020-03-15 09:30:15

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-0-ICL0-ORB-0.0015.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0015
intensity-weight: 1
depth-weight: 0

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	3.9200000000	0.2895416915	0.2895416915	0.2895416915	0.0000000000	0.0171080000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	4.3600000000	0.2944355309	0.2919886112	0.2944355309	0.0751700103	0.0193290000	0	0	209321984	0.0205006786	0.0123951668	-0.0048246398
3	4.4000000000	0.2924811244	0.2921527823	0.2944355309	0.0533307283	0.0144830000	0	0	209321984	0.0247733220	0.0159452464	-0.0043260460
4	4.4400000000	0.2941361368	0.2926486209	0.2944355309	0.0436834115	0.0153210000	0	0	209321984	0.0260133818	0.0213558190	-0.0062196786
5	4.5200000000	0.2931669950	0.2927522957	0.2944355309	0.0381543109	0.0146900000	0	0	209321984	0.0286160931	0.0183806494	-0.0063877921
6	4.6400000000	0.2923415899	0.2926838448	0.2944355309	0.0345846454	0.0151570000	0	0	209321984	0.0339103639	0.0287021305	-0.0076583354
7	5.8000000000	0.2953521311	0.2930650285	0.2953521311	0.0911417044	0.0184410000	0	0	209321984	-0.0208375975	0.0544086061	-0.0123011004
8	7.3200000000	0.2994639277	0.2938648909	0.2994639277	0.1994549881	0.0189490000	0	0	209321984	-0.1479225159	0.0347366221	-0.0273537114
9	7.4800000000	0.2967033982	0.2941802806	0.2994639277	0.1875586613	0.0204670000	0	0	209321984	-0.1557279378	0.0268949978	-0.0292973928
10	8.1999999990	0.2777162790	0.2925338805	0.2994639277	0.2049478751	0.0128040000	0	0	209321984	-0.1557279378	0.0268949978	-0.0292973928
11	8.4800000000	0.1177681386	0.2766460858	0.2994639277	0.4907568430	0.0271610000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
12	8.8000000000	0.1188452542	0.2634960165	0.2994639277	0.4692472133	0.0182050000	0	0	209321984	0.0060143429	-0.0004560004	0.0184563696
13	8.8400000000	0.1208081916	0.2525200299	0.2994639277	0.4493049912	0.0185250000	0	0	209321984	0.0019878363	0.0037910147	0.0202156156
14	9.0000000000	0.1085323244	0.2422351938	0.2994639277	0.4323080739	0.0148380000	0	0	209321984	-0.0360564366	-0.0017943633	0.0084821451
15	9.1200000000	0.1115019172	0.2335196421	0.2994639277	0.4167329296	0.0162270000	0	0	209321984	-0.0500469990	-0.0043122899	0.0108120609
16	9.4000000000	0.1101596206	0.2258096407	0.2994639277	0.4035850032	0.0182230000	0	0	209321984	-0.0732842833	-0.0030413684	0.0117781144
17	9.6400000000	0.1212562919	0.2196594437	0.2994639277	0.3918874115	0.0185850000	0	0	209321984	-0.1010088995	-0.0137857208	0.0150195118
18	10.6000000000	0.1245244071	0.2143741639	0.2994639277	0.3862433475	0.0216700000	0	0	209321984	-0.1649331301	-0.0515215583	0.0007333383
