SLAMBench Report run started:	2020-03-15 12:08:37

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-0-ICL3-INF-0.00125.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/libinfinitam-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
trackerType: ICP
depthTrackerICPThreshold: 0.01
depthTrackerTerminationThreshold: 0.001
voxelSize: 0.005
viewFrustum_min: 0.2
viewFrustum_max: 3
mu: 0.02
trackingRegime: B,B,R,R,R
noICPRunTillLevel: 0
maxW: 100
useSwapping: false
useBilateralFilter: false
useApproximateRaycast: false
modelSensorNoise: false
skipPoints: true
stopIntegratingAtMaxW: false
skip-threshold: 0.00125
intensity-weight: 1
depth-weight: 0

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	5.0000000000	0.4846456945	0.4846456945	0.4846456945	0.0000000000	0.0096830000	0	0	1182400512	-0.0000000000	0.0000000000	-0.0000000000
2	5.5600000000	0.6346772909	0.5596614927	0.6346772909	0.1878920794	0.0028810000	0	0	1180303360	-0.0315056108	0.0073440536	0.0326238275
3	6.3600000000	1.0415709019	0.7202979624	1.0415709019	0.3509784761	0.0021090000	0	0	1180303360	-0.2872538865	0.0289622713	0.0101916287
4	6.8400000000	1.2326804399	0.8483935818	1.2326804399	0.4141603962	0.0025880000	0	0	1180303360	-0.3205810487	0.4904540181	0.1156108156
5	7.6800000000	1.3543148041	0.9495778263	1.3543148041	0.3680381275	0.0026670000	0	0	1180303360	-0.2859651446	0.6197175384	0.1300580800
6	11.8000000000	-nan	-nan	1.3543148041	-nan	0.0037480000	0	0	1180303360	-nan	-nan	-nan
7	12.7200000000	-nan	-nan	1.3543148041	-nan	0.0011730000	0	0	1180303360	-nan	-nan	-nan
8	14.1600000000	-nan	-nan	1.3543148041	-nan	0.0012050000	0	0	1180303360	-nan	-nan	-nan
9	14.4400000000	-nan	-nan	1.3543148041	-nan	0.0011780000	0	0	1180303360	-nan	-nan	-nan
10	31.1200000000	-nan	-nan	1.3543148041	-nan	0.0105240000	0	0	1180303360	-nan	-nan	-nan
11	31.1600000000	-nan	-nan	1.3543148041	-nan	0.0011080000	0	0	1180303360	-nan	-nan	-nan
12	31.3200000000	-nan	-nan	1.3543148041	-nan	0.0011690000	0	0	1180303360	-nan	-nan	-nan
13	31.4400000000	-nan	-nan	1.3543148041	-nan	0.0012150000	0	0	1180303360	-nan	-nan	-nan
14	31.4800000000	-nan	-nan	1.3543148041	-nan	0.0011990000	0	0	1180303360	-nan	-nan	-nan
15	31.5200000000	-nan	-nan	1.3543148041	-nan	0.0011570000	0	0	1180303360	-nan	-nan	-nan
16	31.5600000000	-nan	-nan	1.3543148041	-nan	0.0011460000	0	0	1180303360	-nan	-nan	-nan
17	31.6000000000	-nan	-nan	1.3543148041	-nan	0.0011850000	0	0	1180303360	-nan	-nan	-nan
18	31.6400000000	-nan	-nan	1.3543148041	-nan	0.0011430000	0	0	1180303360	-nan	-nan	-nan
19	31.7200000000	-nan	-nan	1.3543148041	-nan	0.0011890000	0	0	1180303360	-nan	-nan	-nan
20	31.8000000000	-nan	-nan	1.3543148041	-nan	0.0011390000	0	0	1180303360	-nan	-nan	-nan
21	37.1200000000	-nan	-nan	1.3543148041	-nan	0.0150210000	0	0	1180303360	-nan	-nan	-nan
22	37.5600000000	-nan	-nan	1.3543148041	-nan	0.0012310000	0	0	1180303360	-nan	-nan	-nan
23	40.6400000000	-nan	-nan	1.3543148041	-nan	0.0011740000	0	0	1180303360	-nan	-nan	-nan
24	41.2400000000	-nan	-nan	1.3543148041	-nan	0.0011670000	0	0	1180303360	-nan	-nan	-nan
25	41.6400000000	-nan	-nan	1.3543148041	-nan	0.0011850000	0	0	1180303360	-nan	-nan	-nan
26	41.9200000000	-nan	-nan	1.3543148041	-nan	0.0011850000	0	0	1180303360	-nan	-nan	-nan
27	42.0400000000	-nan	-nan	1.3543148041	-nan	0.0011980000	0	0	1180303360	-nan	-nan	-nan
28	42.2800000000	-nan	-nan	1.3543148041	-nan	0.0011760000	0	0	1180303360	-nan	-nan	-nan
29	44.1600000000	-nan	-nan	1.3543148041	-nan	0.0012010000	0	0	1180303360	-nan	-nan	-nan
30	44.9200000000	-nan	-nan	1.3543148041	-nan	0.0011960000	0	0	1180303360	-nan	-nan	-nan
31	46.4000000000	-nan	-nan	1.3543148041	-nan	0.0012030000	0	0	1180303360	-nan	-nan	-nan
32	46.9200000000	-nan	-nan	1.3543148041	-nan	0.0012060000	0	0	1180303360	-nan	-nan	-nan
33	48.1200000000	-nan	-nan	1.3543148041	-nan	0.0012060000	0	0	1180303360	-nan	-nan	-nan
34	49.2000000000	-nan	-nan	1.3543148041	-nan	0.0011770000	0	0	1180303360	-nan	-nan	-nan
