SLAMBench Report run started:	2020-03-15 06:23:25

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-0-TUM1RPY-INF-0.00225.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-slam-library: ./build/lib/libinfinitam-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
trackerType: ICP
depthTrackerICPThreshold: 0.01
depthTrackerTerminationThreshold: 0.001
voxelSize: 0.005
viewFrustum_min: 0.2
viewFrustum_max: 3
mu: 0.02
trackingRegime: B,B,R,R,R
noICPRunTillLevel: 0
maxW: 100
useSwapping: false
useBilateralFilter: false
useApproximateRaycast: false
modelSensorNoise: false
skipPoints: true
stopIntegratingAtMaxW: false
skip-threshold: 0.00225
intensity-weight: 1
depth-weight: 0

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5644419193	0.0642096922	0.0642096922	0.0642096922	0.0000000000	0.0037770000	0	0	1182400512	-0.0000000000	0.0000000000	-0.0000000000
2	1305031229.5966169834	0.0615129545	0.0628613234	0.0642096922	0.0512611791	0.0024820000	0	0	1180303360	0.0141541902	0.0017415028	0.0034893362
3	1305031229.6287899017	0.0575672239	0.0610966235	0.0642096922	0.0374509846	0.0017480000	0	0	1180303360	0.0202702601	0.0066691977	0.0100865448
4	1305031229.6643579006	0.0569520257	0.0600604741	0.0642096922	0.0333403094	0.0015740000	0	0	1180303360	0.0206804089	0.0026943877	0.0150550427
5	1305031229.7290771008	0.0545182042	0.0589520201	0.0642096922	0.0311186291	0.0017220000	0	0	1180303360	0.0240881182	0.0041893516	0.0242120568
6	1305031229.7648689747	0.0548767969	0.0582728162	0.0642096922	0.0282420551	0.0015720000	0	0	1180303360	0.0259543173	0.0022149801	0.0286085159
7	1305031229.7969229221	0.0552682765	0.0578435963	0.0642096922	0.0263968708	0.0015890000	0	0	1180303360	0.0275011584	0.0011744668	0.0323801674
8	1305031229.8969380856	0.0611801967	0.0582606713	0.0642096922	0.0262328012	0.0017830000	0	0	1180303360	0.0409658849	0.0036110424	0.0470303558
9	1305031229.9262549877	0.0630938709	0.0587976935	0.0642096922	0.0246759414	0.0015290000	0	0	1180303360	0.0427566469	0.0040652212	0.0512223355
10	1305031229.9662408829	0.0664788634	0.0595658105	0.0664788634	0.0236681341	0.0015590000	0	0	1180303360	0.0449351147	0.0044458974	0.0555606000
11	1305031229.9979310036	0.0686459094	0.0603912740	0.0686459094	0.0237945408	0.0015680000	0	0	1180303360	0.0465096384	0.0048410217	0.0596242137
12	1305031230.0300021172	0.0713455081	0.0613041269	0.0713455081	0.0229607570	0.0015150000	0	0	1180303360	0.0476696603	0.0047204806	0.0630360395
13	1305031230.0656960011	0.0750171393	0.0623589740	0.0750171393	0.0224722964	0.0015500000	0	0	1180303360	0.0485787131	0.0034806358	0.0659988895
14	1305031230.1977820396	0.0823885202	0.0637896559	0.0823885202	0.0221003295	0.0015970000	0	0	1180303360	0.0454684570	0.0032598362	0.0730779022
15	1305031230.2655899525	0.0870891884	0.0653429580	0.0870891884	0.0217122163	0.0016400000	0	0	1180303360	0.0435435735	0.0022265289	0.0771603137
16	1305031230.3351120949	0.0918427631	0.0669991958	0.0918427631	0.0210503501	0.0016870000	0	0	1180303360	0.0415637307	0.0008928866	0.0817256197
17	1305031230.3656799793	0.0924660936	0.0684972487	0.0924660936	0.0204744501	0.0016910000	0	0	1180303360	0.0396288410	0.0015322739	0.0837875381
18	1305031230.3973290920	0.0925192162	0.0698318024	0.0925192162	0.0198888821	0.0015890000	0	0	1180303360	0.0365803652	0.0005847942	0.0855907127
19	1305031230.4368140697	0.0947286636	0.0711421635	0.0947286636	0.0211721737	0.0016210000	0	0	1180303360	0.0341080837	-0.0007762879	0.0873723328
