SLAMBench Report run started:	2020-03-13 04:53:20

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-1-ICL1-INF-0.00005.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-slam-library: ./build/lib/libinfinitam-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
trackerType: ICP
depthTrackerICPThreshold: 0.01
depthTrackerTerminationThreshold: 0.001
voxelSize: 0.005
viewFrustum_min: 0.2
viewFrustum_max: 3
mu: 0.02
trackingRegime: B,B,R,R,R
noICPRunTillLevel: 0
maxW: 100
useSwapping: false
useBilateralFilter: false
useApproximateRaycast: false
modelSensorNoise: false
skipPoints: true
stopIntegratingAtMaxW: false
skip-threshold: 5e-05
intensity-weight: 1
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0004260837	0.0004260837	0.0004260837	0.0000000000	0.0035260000	0	0	1182400512	-0.0000000000	0.0000000000	-0.0000000000
2	0.0800000000	0.0003408946	0.0003834892	0.0004260837	0.0012631554	0.0024470000	0	0	1180303360	0.0002448588	-0.0024154026	-0.0008669454
3	0.1200000000	0.0004590691	0.0004086825	0.0004590691	0.0010188658	0.0017340000	0	0	1180303360	0.0005158958	-0.0017487446	-0.0007758059
4	0.1600000000	0.0006874523	0.0004783749	0.0006874523	0.0011681923	0.0017020000	0	0	1180303360	0.0005880286	-0.0012654744	-0.0005995831
5	0.2000000000	0.0005499313	0.0004926862	0.0006874523	0.0014258668	0.0017540000	0	0	1180303360	0.0005972608	-0.0023148612	-0.0009118467
6	0.2400000000	0.0006916325	0.0005258439	0.0006916325	0.0014504560	0.0016820000	0	0	1180303360	0.0006323721	-0.0025031751	-0.0009842241
7	0.2800000000	0.0007396843	0.0005563926	0.0007396843	0.0014800837	0.0016720000	0	0	1180303360	0.0005158555	-0.0012309573	-0.0005474107
8	0.3200000000	0.0007427883	0.0005796920	0.0007427883	0.0013803159	0.0017310000	0	0	1180303360	0.0007322392	-0.0011695620	-0.0004756080
9	0.3600000000	0.0007447120	0.0005980276	0.0007447120	0.0013271688	0.0016880000	0	0	1180303360	0.0007841641	-0.0018479980	-0.0006422226
10	0.4000000000	0.0007684166	0.0006150665	0.0007684166	0.0012616750	0.0016720000	0	0	1180303360	0.0006821019	-0.0012421372	-0.0004618159
