SLAMBench Report run started:	2020-03-13 08:59:29

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-1-ICL1-KF-0.00008.log
input: datasets/ICL_NUIM/living_room_traj1_loop.slam
load-slam-library: ./build/lib/libkfusion-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 8.000000000000001e-05
intensity-weight: 1
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0004263568	0.0004263568	0.0004263568	0.0000000000	0.0039070000	0.0006390000	0.0004800000	0.0000070000	0.0000010000	0.0026800000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
2	0.0800000000	0.0024013643	0.0014138605	0.0024013643	0.0048101014	0.0018680000	0.0006300000	0.0004520000	0.0000050000	0.0000010000	0.0007490000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
3	0.1200000000	0.0017003767	0.0015093659	0.0024013643	0.0053584707	0.0017770000	0.0005760000	0.0004500000	0.0000040000	0.0000000000	0.0007150000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
4	0.1600000000	0.0012660844	0.0014485456	0.0024013643	0.0044425251	0.0021420000	0.0005740000	0.0004480000	0.0000040000	0.0000110000	0.0010750000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
5	0.2000000000	0.0011483409	0.0013885046	0.0024013643	0.0043095141	0.0060860000	0.0006240000	0.0038510000	0.0000050000	0.0000040000	0.0015710000	0	0	314179584	4.0000262260	3.9987192154	3.9997744560
6	0.4000000000	0.0012224816	0.0013608341	0.0024013643	0.0038595904	0.0041150000	0.0006230000	0.0026060000	0.0000000000	0.0000040000	0.0008530000	0	0	314179584	4.0003638268	3.9997215271	4.0001883507
7	0.4400000000	0.0011266045	0.0013273727	0.0024013643	0.0035338272	0.0067260000	0.0005780000	0.0050410000	0.0000040000	0.0000040000	0.0010700000	0	0	314179584	4.0002646446	4.0004878044	4.0004734993
8	0.5600000000	0.0012791094	0.0013213398	0.0024013643	0.0039157255	0.0037510000	0.0006240000	0.0022010000	0.0000010000	0.0000050000	0.0008870000	0	0	314179584	4.0003371239	4.0012693405	4.0009799004
9	0.7200000000	0.0011897893	0.0013067231	0.0024013643	0.0037422355	0.0048520000	0.0006260000	0.0026120000	0.0000040000	0.0000040000	0.0015740000	0	0	314179584	4.0006580353	4.0003046989	4.0006265640
10	0.7600000000	0.0012708774	0.0013031385	0.0024013643	0.0037537639	0.0040040000	0.0006180000	0.0024860000	0.0000000000	0.0000040000	0.0008580000	0	0	314179584	4.0004167557	4.0001544952	4.0005426407
11	0.8000000000	0.0013154775	0.0013042603	0.0024013643	0.0038070204	0.0041480000	0.0005710000	0.0024830000	0.0000040000	0.0000030000	0.0010520000	0	0	314179584	4.0004205704	4.0000782013	4.0003929138
12	0.8400000000	0.0013512988	0.0013081801	0.0024013643	0.0037050403	0.0039970000	0.0006210000	0.0024860000	0.0000010000	0.0000080000	0.0008480000	0	0	314179584	4.0005111694	4.0002903938	4.0004901886
13	0.8800000000	0.0013189195	0.0013090062	0.0024013643	0.0035947113	0.0071100000	0.0005730000	0.0049270000	0.0000040000	0.0000040000	0.0015640000	0	0	314179584	4.0002565384	4.0000581741	4.0004262924
14	0.9200000000	0.0014350034	0.0013180060	0.0024013643	0.0034619188	0.0048770000	0.0006340000	0.0033150000	0.0000000000	0.0000050000	0.0008860000	0	0	314179584	4.0003867149	4.0002851486	4.0004343987
15	1.0000000000	0.0014087383	0.0013240548	0.0024013643	0.0033487790	0.0046880000	0.0005670000	0.0030190000	0.0000040000	0.0000040000	0.0010570000	0	0	314179584	4.0002708435	4.0005187988	4.0004935265
16	1.0800000000	0.0014922762	0.0013345687	0.0024013643	0.0032981638	0.0041260000	0.0006210000	0.0026130000	0.0000000000	0.0000040000	0.0008490000	0	0	314179584	4.0000634193	4.0003662109	4.0004854202
17	1.1200000000	0.0014132278	0.0013391957	0.0024013643	0.0032052195	0.0042510000	0.0005700000	0.0020750000	0.0000040000	0.0000040000	0.0015600000	0	0	314179584	3.9996371269	4.0005846024	4.0005993843
18	1.1600000000	0.0015302898	0.0013498120	0.0024013643	0.0031283258	0.0038080000	0.0006270000	0.0022070000	0.0000000000	0.0000050000	0.0009240000	0	0	314179584	3.9999163151	4.0010924339	4.0005750656
19	1.2000000000	0.0014658468	0.0013559191	0.0024013643	0.0030649863	0.0051340000	0.0005710000	0.0034370000	0.0000040000	0.0000040000	0.0010760000	0	0	314179584	3.9996831417	4.0007843971	4.0005445480
20	1.2400000000	0.0014677483	0.0013615106	0.0024013643	0.0029900549	0.0037580000	0.0006290000	0.0022060000	0.0000010000	0.0000050000	0.0008740000	0	0	314179584	3.9994382858	4.0003857613	4.0005054474
21	1.2800000000	0.0014687668	0.0013666180	0.0024013643	0.0029548278	0.0045320000	0.0005830000	0.0022120000	0.0000040000	0.0000050000	0.0016800000	0	0	314179584	3.9992594719	4.0004816055	4.0006728172
22	1.3600000000	0.0015304087	0.0013740631	0.0024013643	0.0029811016	0.0048660000	0.0006280000	0.0033030000	0.0000000000	0.0000050000	0.0008870000	0	0	314179584	3.9985299110	3.9993603230	4.0005002022
23	1.4400000000	0.0014844394	0.0013788620	0.0024013643	0.0029308855	0.0042660000	0.0006330000	0.0024870000	0.0000040000	0.0000040000	0.0010950000	0	0	314179584	3.9978220463	3.9997787476	4.0007023811
24	1.4800000000	0.0013882375	0.0013792527	0.0024013643	0.0028666692	0.0045390000	0.0005770000	0.0030240000	0.0000000000	0.0000050000	0.0008880000	0	0	314179584	3.9973084927	3.9992620945	4.0007047653
25	1.5200000000	0.0013833699	0.0013794174	0.0024013643	0.0028195797	0.0048940000	0.0005820000	0.0026120000	0.0000050000	0.0000050000	0.0016450000	0	0	314179584	3.9965693951	3.9977757931	4.0003333092
26	1.5600000000	0.0012998921	0.0013763587	0.0024013643	0.0028922614	0.0041540000	0.0006250000	0.0026120000	0.0000010000	0.0000040000	0.0008700000	0	0	314179584	3.9961593151	3.9981415272	4.0007452965
27	1.6800000000	0.0013868308	0.0013767465	0.0024013643	0.0038054234	0.0048190000	0.0006300000	0.0030330000	0.0000040000	0.0000040000	0.0011020000	0	0	314179584	3.9950370789	3.9990284443	4.0023660660
28	1.7200000000	0.0015210232	0.0013818993	0.0024013643	0.0037473194	0.0049220000	0.0005730000	0.0034530000	0.0000000000	0.0000040000	0.0008480000	0	0	314179584	3.9944124222	3.9995493889	4.0030312538
29	1.8000000000	0.0014698695	0.0013849327	0.0024013643	0.0039717074	0.0053030000	0.0006210000	0.0030490000	0.0000040000	0.0000040000	0.0015770000	0	0	314179584	3.9939730167	3.9978864193	4.0040969849
