SLAMBench Report run started:	2020-03-17 12:01:04

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/1-1-TUM1XYZ-KF-0.0045.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/libkfusion-cuda-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0045
intensity-weight: 1
depth-weight: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256471951	0.0256471951	0.0256471951	0.0000000000	0.0041700000	0.0006070000	0.0004490000	0.0000070000	0.0000010000	0.0028490000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2267379761	0.0315831415	0.0286151683	0.0315831415	0.0419008359	0.0017760000	0.0005420000	0.0004340000	0.0000050000	0.0000000000	0.0007000000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2628860474	0.0385803021	0.0319368796	0.0385803021	0.0343877952	0.0018380000	0.0005880000	0.0004330000	0.0000040000	0.0000000000	0.0007410000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2952790260	0.0473248325	0.0357838678	0.0473248325	0.0301756811	0.0022240000	0.0005300000	0.0004310000	0.0000040000	0.0000160000	0.0011760000	0	0	314179584	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3291950226	0.0259937271	0.0338258397	0.0473248325	0.0341252004	0.0052080000	0.0005240000	0.0028760000	0.0000050000	0.0000050000	0.0017320000	0	0	314179584	3.9964885712	3.9937570095	4.0333871841
6	1305031102.3630130291	0.0238710362	0.0321667058	0.0473248325	0.0307286770	0.0042010000	0.0005840000	0.0025470000	0.0000000000	0.0000040000	0.0009970000	0	0	314179584	3.9936654568	3.9957234859	4.0453944206
7	1305031102.3947720528	0.0223234054	0.0307605200	0.0473248325	0.0281080074	0.0046390000	0.0005240000	0.0028580000	0.0000050000	0.0000040000	0.0011800000	0	0	314179584	3.9927308559	3.9975895882	4.0571832657
8	1305031102.4278149605	0.0237591844	0.0298853531	0.0473248325	0.0275439508	0.0059520000	0.0005910000	0.0042510000	0.0000000000	0.0000050000	0.0010220000	0	0	314179584	3.9903898239	4.0004086494	4.0697712898
9	1305031102.4623949528	0.0211195201	0.0289113716	0.0473248325	0.0269268222	0.0045240000	0.0005340000	0.0021990000	0.0000040000	0.0000050000	0.0017140000	0	0	314179584	3.9909687042	4.0045833588	4.0828876495
10	1305031102.4942710400	0.0214641672	0.0281666512	0.0473248325	0.0258480547	0.0039770000	0.0005340000	0.0024420000	0.0000000000	0.0000040000	0.0009280000	0	0	314179584	3.9904196262	4.0034327507	4.0956211090
11	1305031102.5263299942	0.0260186624	0.0279713795	0.0473248325	0.0246638033	0.0046370000	0.0005830000	0.0028730000	0.0000050000	0.0000040000	0.0011020000	0	0	314179584	3.9896717072	4.0034008026	4.1073837280
12	1305031102.5622239113	0.0271851420	0.0279058597	0.0473248325	0.0238502411	0.0058520000	0.0005390000	0.0042790000	0.0000010000	0.0000060000	0.0009420000	0	0	314179584	3.9861822128	4.0025854111	4.1191229820
13	1305031102.5941579342	0.0317761190	0.0282035719	0.0473248325	0.0231819719	0.0047180000	0.0005280000	0.0025680000	0.0000030000	0.0000040000	0.0015360000	0	0	314179584	3.9859626293	3.9995365143	4.1300406456
14	1305031102.6268179417	0.0364838131	0.0287950177	0.0473248325	0.0223948638	0.0059330000	0.0006040000	0.0042980000	0.0000010000	0.0000060000	0.0009450000	0	0	314179584	3.9819331169	3.9997658730	4.1411590576
15	1305031102.6632730961	0.0335619934	0.0291128161	0.0473248325	0.0224030045	0.0042580000	0.0005300000	0.0025870000	0.0000040000	0.0000040000	0.0010620000	0	0	314179584	3.9785897732	4.0062842369	4.1532173157
16	1305031102.7284231186	0.0395427383	0.0297646862	0.0473248325	0.0217686636	0.0051590000	0.0005840000	0.0036550000	0.0000000000	0.0000040000	0.0008450000	0	0	314179584	3.9790356159	4.0105333328	4.1781215668
17	1305031102.7635490894	0.0380759127	0.0302535819	0.0473248325	0.0214347334	0.0054320000	0.0005290000	0.0033370000	0.0000050000	0.0000040000	0.0014830000	0	0	314179584	3.9793145657	4.0162301064	4.1911544800
18	1305031102.8941669464	0.0467133485	0.0311680134	0.0473248325	0.0209885683	0.0058850000	0.0005870000	0.0044260000	0.0000010000	0.0000050000	0.0007860000	0	0	314179584	3.9745023251	4.0261921883	4.2392969131
19	1305031102.9268510342	0.0494987406	0.0321327885	0.0494987406	0.0204521796	0.0054110000	0.0005440000	0.0037110000	0.0000040000	0.0000050000	0.0010560000	0	0	314179584	3.9725461006	4.0295572281	4.2506546974
20	1305031102.9941639900	0.0529063307	0.0331714656	0.0529063307	0.0207989258	0.0037900000	0.0005870000	0.0023260000	0.0000000000	0.0000040000	0.0007940000	0	0	314179584	3.9687066078	4.0343561172	4.2742533684
21	1305031103.0278809071	0.0568015277	0.0342967067	0.0568015277	0.0203343555	0.0064990000	0.0005480000	0.0044410000	0.0000040000	0.0000050000	0.0014130000	0	0	314179584	3.9693129063	4.0370860100	4.2857012749
22	1305031103.0622730255	0.0588531494	0.0354129086	0.0588531494	0.0201371991	0.0058750000	0.0005900000	0.0044160000	0.0000010000	0.0000040000	0.0007840000	0	0	314179584	3.9700956345	4.0394387245	4.2964620590
23	1305031103.0940399170	0.0615843236	0.0365507962	0.0615843236	0.0198208929	0.0052910000	0.0005320000	0.0036900000	0.0000040000	0.0000040000	0.0009840000	0	0	314179584	3.9706740379	4.0411081314	4.3060655594
24	1305031103.1291089058	0.0617814586	0.0376020738	0.0617814586	0.0195816008	0.0047670000	0.0005300000	0.0033450000	0.0000010000	0.0000050000	0.0008020000	0	0	314179584	3.9710376263	4.0469541550	4.3158154488
25	1305031103.1627950668	0.0637199432	0.0386467886	0.0637199432	0.0191906035	0.0043120000	0.0005910000	0.0022740000	0.0000040000	0.0000040000	0.0013540000	0	0	314179584	3.9700961113	4.0489706993	4.3247284889
26	1305031103.1910610199	0.0632668361	0.0395937135	0.0637199432	0.0191940988	0.0047560000	0.0005320000	0.0033430000	0.0000010000	0.0000050000	0.0007990000	0	0	314179584	3.9699311256	4.0537972450	4.3336205482
27	1305031103.2278449535	0.0656359196	0.0405582397	0.0656359196	0.0189503342	0.0043500000	0.0005370000	0.0026360000	0.0000040000	0.0000040000	0.0010790000	0	0	314179584	3.9708292484	4.0571484566	4.3427391052
28	1305031103.2625761032	0.0683013201	0.0415490640	0.0683013201	0.0187232434	0.0040250000	0.0005820000	0.0026230000	0.0000000000	0.0000040000	0.0007390000	0	0	314179584	3.9711482525	4.0581378937	4.3511567116
29	1305031103.2942080498	0.0727519318	0.0426250249	0.0727519318	0.0186905644	0.0049790000	0.0005390000	0.0029680000	0.0000030000	0.0000050000	0.0013770000	0	0	314179584	3.9697644711	4.0557503700	4.3585257530
30	1305031103.3275499344	0.0788363814	0.0438320701	0.0788363814	0.0189616851	0.0036540000	0.0005330000	0.0022570000	0.0000000000	0.0000040000	0.0007730000	0	0	314179584	3.9696402550	4.0507788658	4.3636336327
31	1305031103.3624050617	0.0794674605	0.0449815989	0.0794674605	0.0190003685	0.0048730000	0.0005860000	0.0032820000	0.0000040000	0.0000040000	0.0009170000	0	0	314179584	3.9736082554	4.0508594513	4.3661828041
32	1305031103.3941619396	0.0811112598	0.0461106508	0.0811112598	0.0187249994	0.0043120000	0.0005340000	0.0029150000	0.0000000000	0.0000040000	0.0007680000	0	0	314179584	3.9743404388	4.0484623909	4.3669295311
33	1305031103.4638860226	0.0835845098	0.0472462222	0.0835845098	0.0185660538	0.0048540000	0.0005830000	0.0029360000	0.0000040000	0.0000040000	0.0012430000	0	0	314179584	3.9739112854	4.0404500961	4.3627519608
34	1305031103.4944720268	0.0842844248	0.0483355811	0.0842844248	0.0183648939	0.0040120000	0.0005330000	0.0026100000	0.0000010000	0.0000110000	0.0007620000	0	0	314179584	3.9743382931	4.0360460281	4.3581719398
35	1305031103.5315020084	0.0834821835	0.0493397698	0.0842844248	0.0182107160	0.0046150000	0.0005940000	0.0029610000	0.0000040000	0.0000040000	0.0009550000	0	0	314179584	3.9743006229	4.0310583115	4.3514652252
36	1305031103.5626509190	0.0828456357	0.0502704883	0.0842844248	0.0180019445	0.0039880000	0.0005280000	0.0026250000	0.0000010000	0.0000040000	0.0007450000	0	0	314179584	3.9752078056	4.0263013840	4.3432588577
37	1305031103.5953099728	0.0800901875	0.0510764261	0.0842844248	0.0178179748	0.0045420000	0.0005320000	0.0026460000	0.0000040000	0.0000040000	0.0012700000	0	0	314179584	3.9768788815	4.0236473083	4.3338723183
38	1305031103.6313760281	0.0776130185	0.0517747575	0.0842844248	0.0176692329	0.0058420000	0.0005860000	0.0044190000	0.0000000000	0.0000050000	0.0007460000	0	0	314179584	3.9780743122	4.0189981461	4.3241982460
39	1305031103.6635940075	0.0746588185	0.0523615283	0.0842844248	0.0174770686	0.0052520000	0.0005250000	0.0037010000	0.0000040000	0.0000040000	0.0009350000	0	0	314179584	3.9769158363	4.0150976181	4.3137974739
40	1305031103.6946949959	0.0714508668	0.0528387617	0.0842844248	0.0172593182	0.0058800000	0.0005360000	0.0044290000	0.0000000000	0.0000040000	0.0008150000	0	0	314179584	3.9771885872	4.0115513802	4.3027577400
41	1305031103.7315421104	0.0671148673	0.0531869594	0.0842844248	0.0171342244	0.0043550000	0.0005780000	0.0022930000	0.0000050000	0.0000050000	0.0013910000	0	0	314179584	3.9801549911	4.0080232620	4.2906746864
42	1305031103.7628650665	0.0655594170	0.0534815418	0.0842844248	0.0169278025	0.0040710000	0.0005320000	0.0026400000	0.0000000000	0.0000040000	0.0008110000	0	0	314179584	3.9806871414	4.0023226738	4.2780752182
43	1305031103.7943289280	0.0606509037	0.0536482711	0.0842844248	0.0168334512	0.0061290000	0.0005900000	0.0043950000	0.0000040000	0.0000040000	0.0010400000	0	0	314179584	3.9818291664	4.0004816055	4.2648882866
44	1305031103.8303670883	0.0552943163	0.0536856812	0.0842844248	0.0167493789	0.0040540000	0.0005220000	0.0026160000	0.0000000000	0.0000050000	0.0008270000	0	0	314179584	3.9826076031	3.9984035492	4.2520914078
45	1305031103.8623790741	0.0524473228	0.0536581621	0.0842844248	0.0166914745	0.0046780000	0.0005710000	0.0026040000	0.0000040000	0.0000040000	0.0014110000	0	0	314179584	3.9823095798	3.9950625896	4.2397470474
46	1305031103.8942370415	0.0561116748	0.0537114994	0.0842844248	0.0171193123	0.0057810000	0.0005790000	0.0042860000	0.0000000000	0.0000040000	0.0008310000	0	0	314179584	3.9811282158	3.9844768047	4.2271895409
47	1305031103.9305028915	0.0553682148	0.0537467486	0.0842844248	0.0170876556	0.0042030000	0.0005240000	0.0025650000	0.0000040000	0.0000040000	0.0010230000	0	0	314179584	3.9819252491	3.9773955345	4.2135095596
48	1305031103.9624609947	0.0515840836	0.0537016931	0.0842844248	0.0169367518	0.0057400000	0.0005280000	0.0042860000	0.0000010000	0.0000050000	0.0008360000	0	0	314179584	3.9826157093	3.9746799469	4.1989192963
49	1305031103.9943649769	0.0500754640	0.0536276884	0.0842844248	0.0168213672	0.0054610000	0.0005850000	0.0032240000	0.0000040000	0.0000050000	0.0015460000	0	0	314179584	3.9853677750	3.9696426392	4.1844635010
