SLAMBench Report run started:	2020-03-12 02:45:07

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/ICL2-ORB.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: 
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0143340000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0009705316	0.0004852658	0.0009705316	0.0012711125	0.0196370000	0	0	209321984	-0.0007865385	0.0003069949	-0.0003784864
3	0.0800000000	0.0008436348	0.0006047221	0.0009705316	0.0012236643	0.0164530000	0	0	209321984	-0.0048790216	0.0014498321	-0.0004056993
4	0.1200000000	0.0022905045	0.0010261677	0.0022905045	0.0012684433	0.0164080000	0	0	209321984	-0.0010471862	0.0009176725	-0.0009669087
5	0.1600000000	0.0036566784	0.0015522699	0.0036566784	0.0012636228	0.0158480000	0	0	209321984	-0.0038271656	-0.0006265603	0.0008468970
6	0.2000000000	0.0014532330	0.0015357637	0.0036566784	0.0016781038	0.0161620000	0	0	209321984	-0.0043768301	0.0023367072	-0.0003123421
7	0.2400000000	0.0015552513	0.0015385476	0.0036566784	0.0015548206	0.0161560000	0	0	209321984	-0.0045921761	0.0024057329	-0.0002284368
8	0.2800000000	0.0024550604	0.0016531117	0.0036566784	0.0014968275	0.0157240000	0	0	209321984	-0.0047579519	0.0022724995	-0.0000924139
9	0.3200000000	0.0014654668	0.0016322623	0.0036566784	0.0017659017	0.0159650000	0	0	209321984	-0.0081401085	0.0012164185	-0.0012057126
10	0.3600000000	0.0022129384	0.0016903299	0.0036566784	0.0018165000	0.0162520000	0	0	209321984	-0.0074857515	0.0032542564	-0.0002617511
11	0.4000000000	0.0012521165	0.0016504923	0.0036566784	0.0019255233	0.0163140000	0	0	209321984	-0.0089149280	0.0008832303	0.0010363336
12	0.4400000000	0.0005539807	0.0015591164	0.0036566784	0.0022301231	0.0166170000	0	0	209321984	-0.0102605242	0.0003777649	0.0000363980
13	0.4800000000	0.0015736890	0.0015602373	0.0036566784	0.0023866130	0.0158330000	0	0	209321984	-0.0112008182	0.0008208957	0.0002329185
14	0.5200000000	0.0021382652	0.0016015250	0.0036566784	0.0023231124	0.0156440000	0	0	209321984	-0.0107972343	0.0014922881	-0.0009062486
15	0.5600000000	0.0016498703	0.0016047481	0.0036566784	0.0023014090	0.0159960000	0	0	209321984	-0.0163612887	0.0013837749	0.0011921412
16	0.6000000000	0.0014251287	0.0015935218	0.0036566784	0.0022988991	0.0155820000	0	0	209321984	-0.0137448525	0.0019504068	-0.0002982572
17	0.6400000000	0.0038079214	0.0017237806	0.0038079214	0.0023222574	0.0155630000	0	0	209321984	-0.0149798347	-0.0034254624	-0.0023833613
18	0.6800000000	0.0016584451	0.0017201509	0.0038079214	0.0023035938	0.0159040000	0	0	209321984	-0.0172861051	-0.0008261696	-0.0014413710
19	0.7200000000	0.0049485615	0.0018900672	0.0049485615	0.0022922396	0.0160780000	0	0	209321984	-0.0181252938	-0.0044045779	-0.0016476507
20	0.7600000000	0.0028370533	0.0019374165	0.0049485615	0.0024460668	0.0158930000	0	0	209321984	-0.0213859864	-0.0034266403	-0.0015501308
21	0.8000000000	0.0055431179	0.0021091166	0.0055431179	0.0023955328	0.0160320000	0	0	209321984	-0.0209662151	-0.0024912935	-0.0017031280
22	0.8400000000	0.0048186574	0.0022322776	0.0055431179	0.0023567099	0.0159370000	0	0	209321984	-0.0282939654	-0.0043859631	-0.0022239445
23	0.8800000000	0.0064112716	0.0024139729	0.0064112716	0.0023338627	0.0155690000	0	0	209321984	-0.0250343531	-0.0034501345	-0.0047047129
24	0.9200000000	0.0057923174	0.0025547373	0.0064112716	0.0022895304	0.0154750000	0	0	209321984	-0.0343357138	-0.0025272770	-0.0055148620
25	0.9600000000	0.0052197180	0.0026613365	0.0064112716	0.0022620018	0.0154870000	0	0	209321984	-0.0360939652	-0.0016010945	-0.0057322979
26	1.0000000000	0.0065097595	0.0028093528	0.0065097595	0.0022303696	0.0151650000	0	0	209321984	-0.0409076847	-0.0019717778	-0.0060173245
27	1.0400000000	0.0064267227	0.0029433295	0.0065097595	0.0022886985	0.0153640000	0	0	209321984	-0.0462803617	-0.0004085471	-0.0071410853
28	1.0800000000	0.0045220586	0.0029997126	0.0065097595	0.0024624722	0.0156070000	0	0	209321984	-0.0544677302	-0.0029765274	-0.0073529622
29	1.1200000000	0.0040894630	0.0030372902	0.0065097595	0.0025792073	0.0149480000	0	0	209321984	-0.0608577430	-0.0019414938	-0.0109679159
30	1.1600000000	0.0043388805	0.0030806766	0.0065097595	0.0026422009	0.0155450000	0	0	209321984	-0.0688125417	-0.0014348450	-0.0073511582
31	1.2000000000	0.0046389243	0.0031309426	0.0065097595	0.0026248534	0.0153020000	0	0	209321984	-0.0751553923	-0.0006660456	-0.0102016283
32	1.2400000000	0.0061124144	0.0032241136	0.0065097595	0.0026782515	0.0152340000	0	0	209321984	-0.0809982419	-0.0019325130	-0.0126531720
33	1.2800000000	0.0053759152	0.0032893197	0.0065097595	0.0027257219	0.0150090000	0	0	209321984	-0.0882038102	-0.0035307738	-0.0119858570
34	1.3200000000	0.0040901862	0.0033128746	0.0065097595	0.0027286449	0.0152330000	0	0	209321984	-0.1175902933	-0.0033930589	-0.0124157136
35	1.3600000000	0.0047919564	0.0033551341	0.0065097595	0.0030598206	0.0152680000	0	0	209321984	-0.1187585965	-0.0002996392	-0.0148668634
36	1.4000000000	0.0083140358	0.0034928814	0.0083140358	0.0036872013	0.0152670000	0	0	209321984	-0.1215478480	-0.0013662701	-0.0180519782
37	1.4400000000	0.0040197992	0.0035071224	0.0083140358	0.0036834627	0.0149250000	0	0	209321984	-0.1360569745	-0.0012399346	-0.0154071776
38	1.4800000000	0.0036232274	0.0035101778	0.0083140358	0.0036425658	0.0156520000	0	0	209321984	-0.1485327333	-0.0016478309	-0.0156075768
39	1.5200000000	0.0049283337	0.0035465408	0.0083140358	0.0036163955	0.0151270000	0	0	209321984	-0.1502208263	-0.0007391670	-0.0179961566
40	1.5600000000	0.0046778386	0.0035748232	0.0083140358	0.0036326337	0.0154100000	0	0	209321984	-0.1612733901	-0.0054251030	-0.0189684555
41	1.6000000000	0.0012455808	0.0035180124	0.0083140358	0.0037120939	0.0150220000	0	0	209321984	-0.1742211282	-0.0050197309	-0.0153786493
42	1.6400000000	0.0005226101	0.0034466933	0.0083140358	0.0036749337	0.0149690000	0	0	209321984	-0.1884368211	-0.0035119350	-0.0127849132
43	1.6800000000	0.0039934749	0.0034594092	0.0083140358	0.0036596454	0.0153070000	0	0	209321984	-0.1919359714	-0.0009248647	-0.0100119207
44	1.7200000000	0.0034391244	0.0034589482	0.0083140358	0.0036738352	0.0152210000	0	0	209321984	-0.1984371394	-0.0036391858	-0.0110286381
45	1.7600000000	0.0029885480	0.0034484948	0.0083140358	0.0037849711	0.0150620000	0	0	209321984	-0.2123801559	0.0006149707	-0.0072614904
46	1.8000000000	0.0025491491	0.0034289438	0.0083140358	0.0037823414	0.0154360000	0	0	209321984	-0.2181956917	0.0008122756	-0.0078980289
47	1.8400000000	0.0015632227	0.0033892476	0.0083140358	0.0038632840	0.0155270000	0	0	209321984	-0.2205995321	-0.0020942399	-0.0086768735
48	1.8800000000	0.0038606785	0.0033990691	0.0083140358	0.0038916435	0.0152270000	0	0	209321984	-0.2224770635	0.0007465108	-0.0075068008
49	1.9200000000	0.0014549006	0.0033593922	0.0083140358	0.0038575200	0.0155670000	0	0	209321984	-0.2296962440	-0.0011515266	-0.0064211376
50	1.9600000000	0.0003849119	0.0032999026	0.0083140358	0.0038375868	0.0152420000	0	0	209321984	-0.2452080250	-0.0021330896	-0.0011315886
51	2.0000000000	0.0030137678	0.0032942921	0.0083140358	0.0038258778	0.0151950000	0	0	209321984	-0.2408811301	-0.0011803688	-0.0039586257
52	2.0400000000	0.0023907919	0.0032769171	0.0083140358	0.0038111055	0.0150230000	0	0	209321984	-0.2498699874	-0.0013531880	-0.0046402384
