SLAMBench Report run started:	2020-03-12 02:47:58

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/TUM2RPY-ORB.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_rpy.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: 
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867718.6419320107	0.0019026520	0.0019026520	0.0019026520	0.0000000000	0.0226670000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867718.6768438816	0.0021743421	0.0020384970	0.0021743421	0.0009371659	0.0226940000	0	0	209321984	0.0002529701	-0.0006203929	0.0004154587
3	1311867718.7114279270	0.0022887154	0.0021219032	0.0022887154	0.0037163682	0.0176500000	0	0	209321984	-0.0007614933	0.0016192669	0.0001484364
4	1311867718.7410299778	0.0029117165	0.0023193565	0.0029117165	0.0050443989	0.0173190000	0	0	209321984	-0.0000069776	-0.0000608819	0.0003716506
5	1311867718.7767970562	0.0032253612	0.0025005574	0.0032253612	0.0044129405	0.0377000000	0	0	209321984	-0.0008933386	-0.0011245208	0.0001996191
6	1311867718.8094089031	0.0026043963	0.0025178639	0.0032253612	0.0040759915	0.0172840000	0	0	209321984	-0.0014452192	0.0003904335	0.0004984293
7	1311867718.8408079147	0.0032533042	0.0026229268	0.0032533042	0.0038363259	0.0170070000	0	0	209321984	-0.0021582565	0.0002567061	0.0002440343
8	1311867718.8767778873	0.0036151374	0.0027469531	0.0036151374	0.0036114520	0.0168950000	0	0	209321984	-0.0016286459	0.0002677476	0.0005183014
9	1311867718.9088680744	0.0050359177	0.0030012825	0.0050359177	0.0036587636	0.0169920000	0	0	209321984	-0.0014249078	-0.0001389846	-0.0002296956
10	1311867718.9438331127	0.0042126207	0.0031224163	0.0050359177	0.0034889657	0.0168170000	0	0	209321984	-0.0009909761	0.0000007955	0.0011657594
11	1311867718.9784109592	0.0047755698	0.0032727030	0.0050359177	0.0033529860	0.0168740000	0	0	209321984	-0.0018595945	-0.0000889315	0.0007207203
12	1311867719.0091300011	0.0054151001	0.0034512361	0.0054151001	0.0032138764	0.0179440000	0	0	209321984	-0.0019316922	0.0000287415	0.0003551132
13	1311867719.0441620350	0.0056777839	0.0036225090	0.0056777839	0.0031348375	0.0212970000	0	0	209321984	-0.0015614482	0.0002354971	0.0003103081
14	1311867719.0776190758	0.0065838620	0.0038340342	0.0065838620	0.0030816102	0.0294530000	0	0	209321984	-0.0005385784	0.0004591273	-0.0000148663
