SLAMBench Report run started:	2020-03-12 02:46:20

Properties:
=================

frame-limit: 0
log-file: ./experiments/original/TUM2XYZ-ORB.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: 
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	0.0000000000	0.0221440000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0586319342	0.0584419891	0.0586319342	0.0034055116	0.0210710000	0	0	209321984	-0.0037709144	-0.0009278124	-0.0017905115
3	1311867170.5264289379	0.0586205609	0.0585015131	0.0586319342	0.0026179141	0.0173020000	0	0	209321984	-0.0067831641	-0.0010036170	-0.0039223093
4	1311867170.5623490810	0.0580029190	0.0583768645	0.0586319342	0.0038319170	0.0166940000	0	0	209321984	-0.0075704055	-0.0004209164	-0.0061009163
5	1311867170.5942170620	0.0571849272	0.0581384771	0.0586319342	0.0046096345	0.0165450000	0	0	209321984	-0.0105394814	-0.0027058020	-0.0081653781
6	1311867170.6260869503	0.0551565550	0.0576414901	0.0586319342	0.0045385547	0.0364530000	0	0	209321984	-0.0094249779	-0.0038699773	-0.0112845916
7	1311867170.6621398926	0.0557668433	0.0573736834	0.0586319342	0.0042387048	0.0163890000	0	0	209321984	-0.0115806265	-0.0040975171	-0.0123722004
8	1311867170.6942050457	0.0557521507	0.0571709918	0.0586319342	0.0039587846	0.0161860000	0	0	209321984	-0.0117074307	-0.0035575007	-0.0142298555
9	1311867170.7263879776	0.0566007122	0.0571076274	0.0586319342	0.0037808988	0.0162650000	0	0	209321984	-0.0150401965	-0.0051949876	-0.0147031471
10	1311867170.7620189190	0.0567457937	0.0570714440	0.0586319342	0.0036298543	0.0163200000	0	0	209321984	-0.0178908426	-0.0073658582	-0.0161095336
11	1311867170.7941920757	0.0560280569	0.0569765906	0.0586319342	0.0036915781	0.0157900000	0	0	209321984	-0.0189996716	-0.0092830919	-0.0186558329
12	1311867170.8262820244	0.0553502776	0.0568410646	0.0586319342	0.0037387491	0.0159410000	0	0	209321984	-0.0190675110	-0.0125916619	-0.0211714413
13	1311867170.8622210026	0.0536736287	0.0565974156	0.0586319342	0.0039846611	0.0161730000	0	0	209321984	-0.0182035044	-0.0146097504	-0.0251073483
14	1311867170.8943779469	0.0537957102	0.0563972938	0.0586319342	0.0038446158	0.0160800000	0	0	209321984	-0.0180566125	-0.0165946521	-0.0278001390
15	1311867170.9263520241	0.0535267182	0.0562059221	0.0586319342	0.0038624354	0.0157340000	0	0	209321984	-0.0189813711	-0.0195156466	-0.0309263729
16	1311867170.9621469975	0.0541866720	0.0560797190	0.0586319342	0.0038155103	0.0160690000	0	0	209321984	-0.0210485049	-0.0208804980	-0.0334886499
17	1311867170.9942629337	0.0533563383	0.0559195201	0.0586319342	0.0037295679	0.0168060000	0	0	209321984	-0.0204804894	-0.0211323388	-0.0377573669
18	1311867171.0262739658	0.0533927567	0.0557791444	0.0586319342	0.0036255632	0.0187200000	0	0	209321984	-0.0211235285	-0.0244647320	-0.0398832373
19	1311867171.0623519421	0.0529126152	0.0556282744	0.0586319342	0.0044700374	0.0183100000	0	0	209321984	-0.0222663693	-0.0273716766	-0.0430056192
20	1311867171.0942349434	0.0539947897	0.0555466002	0.0586319342	0.0046699735	0.0181110000	0	0	209321984	-0.0208702981	-0.0257526468	-0.0447009467
21	1311867171.1262509823	0.0543928891	0.0554916616	0.0586319342	0.0045742565	0.0176220000	0	0	209321984	-0.0219670348	-0.0275104232	-0.0461955070
22	1311867171.1622469425	0.0552643798	0.0554813306	0.0586319342	0.0048348260	0.0184770000	0	0	209321984	-0.0218810644	-0.0273696855	-0.0473403744
23	1311867171.1942689419	0.0528094359	0.0553651612	0.0586319342	0.0058803908	0.0180080000	0	0	209321984	-0.0176030826	-0.0267549194	-0.0498171784
24	1311867171.2262530327	0.0532310456	0.0552762398	0.0586319342	0.0060100267	0.0175270000	0	0	209321984	-0.0144274076	-0.0280809924	-0.0505999364
25	1311867171.2622439861	0.0523333363	0.0551585236	0.0586319342	0.0058881155	0.0172320000	0	0	209321984	-0.0103612402	-0.0269800071	-0.0525349341
26	1311867171.2943410873	0.0519838855	0.0550364222	0.0586319342	0.0058052668	0.0167100000	0	0	209321984	-0.0072212620	-0.0264902785	-0.0534358583
27	1311867171.3263869286	0.0533382185	0.0549735257	0.0586319342	0.0060642451	0.0167650000	0	0	209321984	-0.0077423477	-0.0266775806	-0.0536585115
