SLAMBench Report run started:	2020-02-29 02:42:38

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/ICL0-KF-DEP-00020.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.7600000000	0.0067354334	0.0067354334	0.0067354334	0.0000000000	0.4244730000	0.0540930000	0.0164180000	0.0315030000	0.0000030000	0.3223260000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.8400000000	0.0054344856	0.0060849595	0.0067354334	0.0088184858	0.0982050000	0.0536590000	0.0111720000	0.0315100000	0.0000010000	0.0018270000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1.0000000000	0.0078962967	0.0066887386	0.0078962967	0.0105275534	0.0964470000	0.0522100000	0.0111070000	0.0313170000	0.0000010000	0.0017740000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1.0800000000	0.0098910397	0.0074893138	0.0098910397	0.0097052245	0.4161150000	0.0536400000	0.0111810000	0.0315460000	0.3178310000	0.0018790000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1.1600000000	0.0081763417	0.0076267194	0.0098910397	0.0155625357	0.7757470000	0.0536380000	0.0516300000	0.0316190000	0.3167070000	0.3221130000	0	0	209321984	4.0028390884	3.9989864826	4.0008196831
6	1.2400000000	0.0086291926	0.0077937983	0.0098910397	0.0160471472	0.4261600000	0.0536070000	0.0519490000	0.0000000000	0.3186310000	0.0019330000	0	0	209321984	4.0065598488	4.0007290840	4.0014863014
7	1.2800000000	0.0084579755	0.0078886807	0.0098910397	0.0152815914	0.4600920000	0.0545590000	0.0539100000	0.0317110000	0.3179120000	0.0019590000	0	0	209321984	4.0064468384	4.0000338554	4.0022468567
8	1.3200000000	0.0087065799	0.0079909181	0.0098910397	0.0145458984	0.4237880000	0.0521760000	0.0518740000	0.0000000000	0.3177770000	0.0019130000	0	0	209321984	4.0059375763	3.9999635220	4.0030550957
9	1.3600000000	0.0087724058	0.0080777501	0.0098910397	0.0143684980	0.7804230000	0.0536260000	0.0516320000	0.0315360000	0.3178910000	0.3256940000	0	0	209321984	4.0061683655	4.0006175041	4.0037193298
10	1.4000000000	0.0089415824	0.0081641333	0.0098910397	0.0142330420	0.4292130000	0.0535940000	0.0518430000	0.0000010000	0.3217800000	0.0019520000	0	0	209321984	4.0074067116	3.9991092682	4.0046691895
