SLAMBench Report run started:	2020-02-29 03:10:31

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/ICL2-ISD-INT-00080.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0068900000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0800000000	0.0051890905	0.0030960996	0.0051890905	0.0030234756	0.0219010000	0	0	209321984	-0.0002540558	0.0002507121	-0.0001837075
3	0.1200000000	0.0034492353	0.0032138115	0.0051890905	0.0026685924	0.0205600000	0	0	209321984	-0.0001459767	-0.0001436657	-0.0006576552
4	0.1600000000	0.0061543444	0.0039489447	0.0061543444	0.0022558996	0.0196880000	0	0	209321984	-0.0005664245	0.0001994515	-0.0003398578
5	0.2000000000	0.0052611674	0.0042113893	0.0061543444	0.0020397351	0.0195800000	0	0	209321984	-0.0004281599	0.0000035029	-0.0004609879
6	0.2400000000	0.0052575651	0.0043857519	0.0061543444	0.0018412858	0.0197490000	0	0	209321984	-0.0005199219	0.0000041212	-0.0002529209
7	0.2800000000	0.0067293285	0.0047205486	0.0067293285	0.0017427705	0.0194760000	0	0	209321984	-0.0005075817	-0.0001016447	-0.0003981097
8	0.3200000000	0.0087365275	0.0052225459	0.0087365275	0.0017220489	0.0195550000	0	0	209321984	-0.0003796832	-0.0002264179	-0.0005282546
9	0.4000000000	0.0099674277	0.0057497550	0.0099674277	0.0022097869	0.0231720000	0	0	209321984	-0.0003188431	0.0001817805	-0.0002601891
10	0.4400000000	0.0097988509	0.0061546646	0.0099674277	0.0025410600	0.0194030000	0	0	209321984	-0.0004206987	0.0000754426	-0.0004275246
11	0.4800000000	0.0119458446	0.0066811355	0.0119458446	0.0025702484	0.0195120000	0	0	209321984	-0.0007468769	0.0000691349	-0.0002719795
12	0.5200000000	0.0110536665	0.0070455131	0.0119458446	0.0025861163	0.0304250000	0	0	209321984	-0.0019819352	-0.0013713272	-0.0003677905
13	0.5600000000	0.0149672059	0.0076548741	0.0149672059	0.0025537131	0.0184030000	0	0	209321984	-0.0010111611	0.0002126660	-0.0004862628
14	0.6000000000	0.0142120766	0.0081232457	0.0149672059	0.0025946350	0.0187070000	0	0	209321984	-0.0006653322	0.0001693020	-0.0007907448
15	0.6400000000	0.0137358131	0.0084974168	0.0149672059	0.0026148115	0.0199590000	0	0	209321984	-0.0032714780	-0.0016812846	-0.0007490891
16	0.6800000000	0.0159823634	0.0089652260	0.0159823634	0.0025982104	0.0223390000	0	0	209321984	-0.0027753287	-0.0032266025	-0.0005755029
17	0.7200000000	0.0176715385	0.0094773620	0.0176715385	0.0026752411	0.0199980000	0	0	209321984	-0.0022908705	-0.0003946050	-0.0014809716
18	0.7600000000	0.0213628896	0.0101376691	0.0213628896	0.0027755731	0.0187020000	0	0	209321984	-0.0016770682	0.0000497808	-0.0018226318
19	0.8000000000	0.0246265251	0.0109002405	0.0246265251	0.0027011661	0.0193000000	0	0	209321984	-0.0013376732	-0.0000367429	-0.0015371945
20	0.8400000000	0.0297074970	0.0118406033	0.0297074970	0.0027635487	0.0203900000	0	0	209321984	-0.0019585432	-0.0000174998	-0.0019166183
21	0.8800000000	0.0296184439	0.0126871672	0.0297074970	0.0027217810	0.0199840000	0	0	209321984	-0.0015014926	0.0001028285	-0.0024275174
22	0.9200000000	0.0353874229	0.0137189970	0.0353874229	0.0029563890	0.0223040000	0	0	209321984	-0.0040489743	0.0003907153	-0.0032985304
23	0.9600000000	0.0367428400	0.0147200336	0.0367428400	0.0029269057	0.0208480000	0	0	209321984	-0.0038285197	0.0007612547	-0.0037370753
24	1.0000000000	0.0401795432	0.0157808465	0.0401795432	0.0030653081	0.0248030000	0	0	209321984	-0.0066996929	0.0008788739	-0.0028023615
25	1.0400000000	0.0462925360	0.0170013141	0.0462925360	0.0032503017	0.0215080000	0	0	209321984	-0.0062771328	0.0007695302	-0.0041650943
26	1.0800000000	0.0501554720	0.0182764740	0.0501554720	0.0034551978	0.0194570000	0	0	209321984	-0.0071812947	-0.0002023546	-0.0042848815
27	1.1200000000	0.0520728379	0.0195281912	0.0520728379	0.0039523721	0.0244940000	0	0	209321984	-0.0114507824	-0.0002113866	-0.0048400369
28	1.1600000000	0.0574116558	0.0208811721	0.0574116558	0.0043178056	0.0269590000	0	0	209321984	-0.0156329833	0.0000447154	-0.0039032626
29	1.2000000000	0.0598320886	0.0222243071	0.0598320886	0.0044943038	0.0258770000	0	0	209321984	-0.0197589044	-0.0003527658	-0.0041547408
30	1.2400000000	0.0640881360	0.0236197681	0.0640881360	0.0046207323	0.0241010000	0	0	209321984	-0.0224151257	-0.0005107102	-0.0049698898
31	1.3200000000	0.0877464116	0.0256883695	0.0877464116	0.0063771655	0.0237960000	0	0	209321984	-0.0325073153	-0.0003477288	-0.0052190856
32	1.3600000000	0.0876687616	0.0276252567	0.0877464116	0.0065779392	0.0247620000	0	0	209321984	-0.0361925773	-0.0005629839	-0.0058968356
33	1.4000000000	0.0906944871	0.0295364455	0.0906944871	0.0070083608	0.0260070000	0	0	209321984	-0.0389944576	-0.0009761080	-0.0065402403
34	1.4400000000	0.0981865227	0.0315555655	0.0981865227	0.0071750961	0.0253360000	0	0	209321984	-0.0422232822	-0.0005017552	-0.0059348629
35	1.4800000000	0.1045987606	0.0336425139	0.1045987606	0.0072259838	0.0424680000	0	0	209321984	-0.0475870445	-0.0005627897	-0.0056262771
36	1.5200000000	0.1075065732	0.0356942933	0.1075065732	0.0071424332	0.0161250000	0	0	209321984	-0.0480506904	-0.0008886696	-0.0068060155
37	1.5600000000	0.1141131222	0.0378137211	0.1141131222	0.0070846410	0.0237490000	0	0	209321984	-0.0513415299	-0.0012329961	-0.0066037849
38	1.6000000000	0.1207583323	0.0399964740	0.1207583323	0.0070351167	0.0173020000	0	0	209321984	-0.0549757183	-0.0021431695	-0.0061125183
39	1.6400000000	0.1297277510	0.0422972760	0.1297277510	0.0070515398	0.0167200000	0	0	209321984	-0.0592291020	-0.0004954519	-0.0055314032
40	1.6800000000	0.1344166845	0.0446002612	0.1344166845	0.0069776860	0.0161900000	0	0	209321984	-0.0612286478	-0.0003961479	-0.0041936259
41	1.7600000000	0.1429571211	0.0469992090	0.1429571211	0.0069448660	0.0155020000	0	0	209321984	-0.0673410818	-0.0006805740	-0.0037592570
42	1.8000000000	0.1469429433	0.0493788218	0.1469429433	0.0068644329	0.0158440000	0	0	209321984	-0.0693143234	0.0000786917	-0.0041676350
43	1.8400000000	0.1500274539	0.0517194876	0.1500274539	0.0068613379	0.0172220000	0	0	209321984	-0.0692662895	0.0007607826	-0.0038440181
44	1.8800000000	0.1534838080	0.0540323131	0.1534838080	0.0068019809	0.0166470000	0	0	209321984	-0.0702941194	0.0000996636	-0.0035081638
45	1.9600000000	0.1674527973	0.0565527683	0.1674527973	0.0071945136	0.0162290000	0	0	209321984	-0.0778875127	0.0002481594	-0.0013458958
46	2.0400000000	0.1688369662	0.0589937291	0.1688369662	0.0071284302	0.0198590000	0	0	209321984	-0.0787997767	-0.0006456670	-0.0026942901
47	2.0800000000	0.1702343673	0.0613605512	0.1702343673	0.0071114622	0.0188210000	0	0	209321984	-0.0794337019	-0.0002870765	-0.0039806748
48	2.1200000000	0.1788953096	0.0638091920	0.1788953096	0.0070924159	0.0173690000	0	0	209321984	-0.0838579088	-0.0002565630	-0.0014022369
49	2.1600000000	0.1797339767	0.0661750039	0.1797339767	0.0070711157	0.0226590000	0	0	209321984	-0.0852385238	-0.0011727198	-0.0017486645
50	2.2000000000	0.1927876770	0.0687072574	0.1927876770	0.0071671530	0.0228930000	0	0	209321984	-0.0922457650	-0.0000805609	0.0013416661
51	2.2400000000	0.1962680519	0.0712084494	0.1962680519	0.0071121133	0.0246140000	0	0	209321984	-0.0937035829	-0.0005278501	0.0022995258
52	2.2800000000	0.2013854235	0.0737118528	0.2013854235	0.0071940932	0.0232240000	0	0	209321984	-0.0979483575	-0.0018131915	0.0033635520
53	2.3200000000	0.2112506032	0.0763069236	0.2112506032	0.0075567195	0.0231920000	0	0	209321984	-0.1023741513	-0.0004143825	0.0051700976
54	2.3600000000	0.2132185102	0.0788423233	0.2132185102	0.0075942143	0.0229660000	0	0	209321984	-0.1034849361	-0.0008722593	0.0048937509
55	2.4000000000	0.2177976817	0.0813687844	0.2177976817	0.0076937084	0.0232300000	0	0	209321984	-0.1057131514	-0.0010003560	0.0048875622
56	2.4400000000	0.2341711372	0.0840973978	0.2341711372	0.0083589217	0.0239710000	0	0	209321984	-0.1134413555	-0.0014395540	0.0082124453
57	2.4800000000	0.2401835024	0.0868357505	0.2401835024	0.0085098607	0.0214620000	0	0	209321984	-0.1161474958	-0.0007013309	0.0089658406
58	2.5200000000	0.2469021678	0.0895955163	0.2469021678	0.0089747511	0.0233050000	0	0	209321984	-0.1221397594	-0.0006499271	0.0108018341
59	2.5600000000	0.2578501999	0.0924472906	0.2578501999	0.0093628365	0.0244980000	0	0	209321984	-0.1251889467	0.0003387411	0.0121307606
60	2.6000000000	0.2626655102	0.0952842610	0.2626655102	0.0095304173	0.0570980000	0	0	209321984	-0.1311420649	0.0011068090	0.0127291800
61	2.6400000000	0.2644321620	0.0980571774	0.2644321620	0.0096151401	0.0239730000	0	0	209321984	-0.1396647841	0.0028257216	0.0145518864
62	2.6800000000	0.2715791464	0.1008559188	0.2715791464	0.0096314418	0.0179480000	0	0	209321984	-0.1435957849	0.0027278173	0.0143827582
63	2.7200000000	0.2782396972	0.1036715343	0.2782396972	0.0095801425	0.0160510000	0	0	209321984	-0.1467253119	0.0031983531	0.0160118639
64	2.7600000000	0.2846913040	0.1064999682	0.2846913040	0.0095265974	0.0152650000	0	0	209321984	-0.1491718143	0.0048826481	0.0158311706
65	2.8000000000	0.2890089452	0.1093077987	0.2890089452	0.0094742927	0.0151580000	0	0	209321984	-0.1518280506	0.0049178977	0.0148085253
66	2.8400000000	0.2987163067	0.1121776245	0.2987163067	0.0095253543	0.0149370000	0	0	209321984	-0.1583071649	0.0057798154	0.0155510223
67	2.8800000000	0.3053821325	0.1150612739	0.3053821325	0.0094710951	0.0158600000	0	0	209321984	-0.1617004573	0.0067515918	0.0160460360
68	2.9200000000	0.3068728447	0.1178820323	0.3068728447	0.0094637605	0.0148200000	0	0	209321984	-0.1621902883	0.0071138078	0.0145961260
69	2.9600000000	0.3073125482	0.1206274021	0.3073125482	0.0094394136	0.0147980000	0	0	209321984	-0.1629897058	0.0082658762	0.0138157103
70	3.0000000000	0.3063496351	0.1232805769	0.3073125482	0.0094808328	0.0186050000	0	0	209321984	-0.1616782248	0.0105121359	0.0106576020
71	3.0400000000	0.3051467538	0.1258420723	0.3073125482	0.0094568497	0.0168400000	0	0	209321984	-0.1630813628	0.0098143732	0.0094842203
72	3.0800000000	0.3046906292	0.1283260800	0.3073125482	0.0094292502	0.0168900000	0	0	209321984	-0.1617015451	0.0104704974	0.0059954608
