SLAMBench Report run started:	2020-02-29 04:58:24

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1360-ISD-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_360.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031790.6812078953	0.2235828638	0.2235828638	0.2235828638	0.0000000000	0.0076980000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031790.7130970955	0.2147502005	0.2191665322	0.2235828638	0.0238338392	0.0538340000	0	0	209321984	0.0066607422	0.0120110279	0.0038812687
3	1305031790.7452230453	0.2060248554	0.2147859732	0.2235828638	0.0212112918	0.0395130000	0	0	209321984	0.0150529286	0.0232070666	0.0081599457
4	1305031790.7812581062	0.2012467235	0.2114011608	0.2235828638	0.0221859263	0.0432890000	0	0	209321984	0.0253518820	0.0331510790	0.0095140012
5	1305031790.8132069111	0.1915074140	0.2074224114	0.2235828638	0.0226374990	0.0405210000	0	0	209321984	0.0349679217	0.0473506600	0.0112445662
6	1305031790.8451509476	0.1818822473	0.2031657174	0.2235828638	0.0218665708	0.0393200000	0	0	209321984	0.0461408831	0.0590056963	0.0178807359
7	1305031790.8820939064	0.1777390540	0.1995333369	0.2235828638	0.0210162660	0.0402740000	0	0	209321984	0.0530673042	0.0645316169	0.0237368569
8	1305031790.9131290913	0.1724001765	0.1961416919	0.2235828638	0.0197657380	0.0495530000	0	0	209321984	0.0666365996	0.0720138028	0.0293049142
9	1305031790.9451711178	0.1689416468	0.1931194646	0.2235828638	0.0185561373	0.0426650000	0	0	209321984	0.0742490441	0.0769165084	0.0324100070
10	1305031790.9811589718	0.1657773256	0.1903852507	0.2235828638	0.0194645205	0.0533110000	0	0	209321984	0.0780260637	0.0792817026	0.0361268558
11	1305031791.0130751133	0.1709839702	0.1886214980	0.2235828638	0.0245884235	0.0347860000	0	0	209321984	0.0844264701	0.0711360946	0.0423561446
12	1305031791.0451369286	0.1748800278	0.1874763755	0.2235828638	0.0267363660	0.0353880000	0	0	209321984	0.1054710597	0.0693659410	0.0456345454
13	1305031791.0812931061	0.1702878326	0.1861541798	0.2235828638	0.0322198137	0.0341080000	0	0	209321984	0.1108212769	0.0690673515	0.0459110327
14	1305031791.1131360531	0.1731075495	0.1852222777	0.2235828638	0.0383310730	0.0328110000	0	0	209321984	0.1154508367	0.0606885590	0.0466440544
15	1305031791.1450960636	0.1774104387	0.1847014884	0.2235828638	0.0421411103	0.0676390000	0	0	209321984	0.1312228143	0.0575236678	0.0323237702
16	1305031791.1812870502	0.1760182083	0.1841587834	0.2235828638	0.0487949656	0.0341080000	0	0	209321984	0.1346691102	0.0506076552	0.0318881869
17	1305031791.2130980492	0.2325411141	0.1870048029	0.2325411141	0.0503501749	0.0286670000	0	0	209321984	0.1472209394	-0.0131202275	0.0138699869
18	1305031791.2450869083	0.2148341686	0.1885508787	0.2325411141	0.0561891401	0.0259350000	0	0	209321984	0.1499602944	0.0002415912	0.0111196116
19	1305031791.2813398838	0.2108226866	0.1897230791	0.2325411141	0.0598776169	0.0242020000	0	0	209321984	0.1509713382	-0.0052577066	0.0097663719
20	1305031791.3130879402	0.2044055760	0.1904572040	0.2325411141	0.0635847425	0.0399420000	0	0	209321984	0.1487524807	-0.0072652381	0.0066202255
21	1305031791.3451230526	0.1940363199	0.1906276381	0.2325411141	0.0657650470	0.0243370000	0	0	209321984	0.1489088386	-0.0010423646	-0.0027033058
