SLAMBench Report run started:	2020-02-29 05:04:57

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1FLOOR-ISD-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_floor.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305033527.7019839287	0.2958854437	0.2958854437	0.2958854437	0.0000000000	0.0085260000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305033527.7339050770	0.2874047458	0.2916450948	0.2958854437	0.0107188746	0.0807050000	0	0	209321984	0.0060075368	0.0132983299	-0.0074696224
3	1305033527.7699429989	0.2852635384	0.2895179093	0.2958854437	0.0097988769	0.0680710000	0	0	209321984	0.0098817376	0.0238498524	-0.0119703477
4	1305033527.8019809723	0.2840538621	0.2881518975	0.2958854437	0.0089708741	0.0636200000	0	0	209321984	0.0106239989	0.0287269540	-0.0164536927
5	1305033527.8339068890	0.2811985016	0.2867612183	0.2958854437	0.0090708400	0.0581210000	0	0	209321984	0.0115448767	0.0361619107	-0.0208495930
6	1305033527.8699409962	0.2809780538	0.2857973576	0.2958854437	0.0082439020	0.0666170000	0	0	209321984	0.0167043172	0.0427247621	-0.0248325244
7	1305033527.9019598961	0.2817184329	0.2852146540	0.2958854437	0.0087043777	0.0637580000	0	0	209321984	0.0206105933	0.0452219062	-0.0277421810
8	1305033527.9339289665	0.2799158990	0.2845523097	0.2958854437	0.0087535194	0.0735690000	0	0	209321984	0.0218690168	0.0502054729	-0.0304764137
9	1305033527.9699800014	0.2795970142	0.2840017213	0.2958854437	0.0081920897	0.0516710000	0	0	209321984	0.0232613124	0.0545466393	-0.0328949653
10	1305033528.0020189285	0.2786284983	0.2834643990	0.2958854437	0.0077859505	0.0406370000	0	0	209321984	0.0265276488	0.0581836812	-0.0352976471
11	1305033528.0340089798	0.2769492567	0.2828721133	0.2958854437	0.0079567401	0.0342210000	0	0	209321984	0.0235286076	0.0604018159	-0.0363621004
12	1305033528.0700910091	0.2764657736	0.2823382517	0.2958854437	0.0076103373	0.0328500000	0	0	209321984	0.0226369184	0.0611916743	-0.0368201360
13	1305033528.1020359993	0.2770795822	0.2819337386	0.2958854437	0.0073201426	0.0316840000	0	0	209321984	0.0226178039	0.0598670691	-0.0364270918
14	1305033528.1339650154	0.2802712321	0.2818149882	0.2958854437	0.0072405042	0.0301330000	0	0	209321984	0.0212048348	0.0538501404	-0.0350089818
15	1305033528.1698861122	0.2812040746	0.2817742606	0.2958854437	0.0071902360	0.0318770000	0	0	209321984	0.0195573661	0.0493470170	-0.0329255946
16	1305033528.2020111084	0.2817127407	0.2817704156	0.2958854437	0.0071714672	0.0329900000	0	0	209321984	0.0175311565	0.0465087928	-0.0300070345
17	1305033528.2340259552	0.2828184664	0.2818320657	0.2958854437	0.0069733532	0.0342780000	0	0	209321984	0.0168189462	0.0440089628	-0.0262635350
18	1305033528.2699530125	0.2832901180	0.2819130686	0.2958854437	0.0073265048	0.0359170000	0	0	209321984	0.0222385228	0.0415040813	-0.0225550570
19	1305033528.3019890785	0.2881897092	0.2822434181	0.2958854437	0.0074563122	0.0309920000	0	0	209321984	0.0250583794	0.0338326953	-0.0184563417
20	1305033528.3339729309	0.2877531946	0.2825189069	0.2958854437	0.0078206886	0.0317400000	0	0	209321984	0.0256024878	0.0335949808	-0.0139147611
21	1305033528.3699600697	0.2903958857	0.2828940011	0.2958854437	0.0079393776	0.0387070000	0	0	209321984	0.0249286108	0.0263346657	-0.0092228232
22	1305033528.4020609856	0.2954147458	0.2834631259	0.2958854437	0.0078123071	0.0402510000	0	0	209321984	0.0258248094	0.0171088185	-0.0043657599
23	1305033528.4339439869	0.2996544838	0.2841670980	0.2996544838	0.0077632723	0.0420410000	0	0	209321984	0.0271217413	0.0093265735	0.0006433659
24	1305033528.4700179100	0.3009000719	0.2848643052	0.3009000719	0.0076165024	0.0449870000	0	0	209321984	0.0274246503	0.0034080883	0.0063356194
25	1305033528.5022599697	0.3031445742	0.2855955160	0.3031445742	0.0075380703	0.0469010000	0	0	209321984	0.0283520985	-0.0008538848	0.0123416688
26	1305033528.5340139866	0.3076867163	0.2864451775	0.3076867163	0.0075403959	0.0478050000	0	0	209321984	0.0304244813	-0.0095441062	0.0181750134
27	1305033528.5700008869	0.3136195838	0.2874516370	0.3136195838	0.0074518840	0.1067740000	0	0	209321984	0.0316457711	-0.0215723701	0.0255484283
28	1305033528.6019020081	0.3027494550	0.2879979877	0.3136195838	0.0086081201	0.0488900000	0	0	209321984	0.0299751740	-0.0362360887	0.0020841858
29	1305033528.6339910030	0.3086003363	0.2887084135	0.3136195838	0.0085942769	0.0357330000	0	0	209321984	0.0326497406	-0.0439800024	0.0100119067
30	1305033528.6699988842	0.3134170473	0.2895320346	0.3136195838	0.0091164154	0.0352080000	0	0	209321984	0.0391346551	-0.0535379648	0.0167600568
31	1305033528.7020080090	0.3245089352	0.2906603217	0.3245089352	0.0095228654	0.0395640000	0	0	209321984	0.0449291691	-0.0698662996	0.0228170194
32	1305033528.7340478897	0.3317501843	0.2919443799	0.3317501843	0.0094973713	0.0372990000	0	0	209321984	0.0497090928	-0.0794228464	0.0305259619
33	1305033528.7700450420	0.3376746178	0.2933301447	0.3376746178	0.0095195267	0.0425540000	0	0	209321984	0.0577660874	-0.0904048532	0.0368530340
34	1305033528.8019940853	0.3463373184	0.2948891792	0.3463373184	0.0096918908	0.1006860000	0	0	209321984	0.0648414120	-0.1022282615	0.0434628986
35	1305033528.8343579769	0.3523564339	0.2965311008	0.3523564339	0.0098562115	0.0496020000	0	0	209321984	0.0711207762	-0.1099081337	0.0514665842
36	1305033528.8701651096	0.3608371317	0.2983173794	0.3608371317	0.0099628702	0.0372570000	0	0	209321984	0.0764669254	-0.1216844767	0.0597619116
37	1305033528.9020919800	0.3725523651	0.3003237304	0.3725523651	0.0099471178	0.0337170000	0	0	209321984	0.0813752264	-0.1358007193	0.0683031976
38	1305033528.9342579842	0.3792326450	0.3024002808	0.3792326450	0.0100616123	0.0341220000	0	0	209321984	0.0881450325	-0.1442780197	0.0764451474
39	1305033528.9699170589	0.3884166777	0.3046058294	0.3884166777	0.0103100601	0.0419310000	0	0	209321984	0.0965803564	-0.1572739780	0.0848950818
40	1305033529.0023860931	0.3940848410	0.3068428047	0.3940848410	0.0103760964	0.0366300000	0	0	209321984	0.1004923284	-0.1634081155	0.0933892652
41	1305033529.0338959694	0.4025651813	0.3091774968	0.4025651813	0.0102990796	0.1015790000	0	0	209321984	0.1046926975	-0.1733945161	0.1024087742
42	1305033529.0698719025	0.4101835787	0.3115824035	0.4101835787	0.0103384303	0.0480130000	0	0	209321984	0.1089134738	-0.1842319816	0.1115671769
43	1305033529.1019380093	0.4184949398	0.3140687416	0.4184949398	0.0103698817	0.0384640000	0	0	209321984	0.1119322628	-0.1947062910	0.1201121658
44	1305033529.1339800358	0.4263830781	0.3166213401	0.4263830781	0.0103817412	0.0383670000	0	0	209321984	0.1150356606	-0.2054646015	0.1285195053
45	1305033529.1700499058	0.4331282079	0.3192103816	0.4331282079	0.0106163368	0.0432520000	0	0	209321984	0.1181757078	-0.2163456976	0.1374834478
46	1305033529.2019379139	0.4414891899	0.3218686166	0.4414891899	0.0106875411	0.0525340000	0	0	209321984	0.1240202188	-0.2282788754	0.1458561420
47	1305033529.2339329720	0.4514475167	0.3246256145	0.4514475167	0.0106597408	0.0558250000	0	0	209321984	0.1256344467	-0.2409698814	0.1555520892
48	1305033529.2701570988	0.4589868784	0.3274248075	0.4589868784	0.0107114214	0.1190170000	0	0	209321984	0.1260958016	-0.2513400018	0.1658346653
49	1305033529.3020660877	0.4633357823	0.3301985008	0.4633357823	0.0106806185	0.0574020000	0	0	209321984	0.1272254139	-0.2575400770	0.1737514734
