SLAMBench Report run started:	2020-02-29 05:06:19

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1FLOOR-KF-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_floor.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305033527.6991019249	0.2958854735	0.2958854735	0.2958854735	0.0000000000	0.2771120000	0.0436970000	0.0151630000	0.0271060000	0.0000040000	0.1907460000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305033527.7311398983	0.3015214205	0.2987034470	0.3015214205	0.0186610986	0.0817790000	0.0431570000	0.0097670000	0.0271620000	0.0000020000	0.0016150000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305033527.7675058842	0.3092032075	0.3022033672	0.3092032075	0.0215895783	0.0819540000	0.0432680000	0.0097680000	0.0271720000	0.0000010000	0.0016640000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305033527.8310930729	0.3193092346	0.3064798340	0.3193092346	0.0225097298	0.2615880000	0.0436110000	0.0098200000	0.0273090000	0.1790320000	0.0017320000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305033527.8987851143	0.3098917902	0.3071622252	0.3193092346	0.0347886390	0.4893170000	0.0438170000	0.0846570000	0.0271730000	0.1637980000	0.1697870000	0	0	209321984	4.0102887154	4.0104012489	3.9817357063
6	1305033527.9311521053	0.3146427572	0.3084089806	0.3193092346	0.0317819523	0.2982360000	0.0438180000	0.0891650000	0.0000000000	0.1633930000	0.0017770000	0	0	209321984	4.0196533203	4.0099434853	3.9816195965
7	1305033527.9675810337	0.3112241328	0.3088111452	0.3193092346	0.0290518446	0.2957110000	0.0438500000	0.0607770000	0.0274070000	0.1618540000	0.0017310000	0	0	209321984	4.0152306557	4.0143923759	3.9766645432
8	1305033528.0675320625	0.3193643391	0.3101302944	0.3193643391	0.0272002499	0.2978590000	0.0440680000	0.0894710000	0.0000010000	0.1625070000	0.0017300000	0	0	209321984	4.0208816528	4.0124802589	3.9792425632
9	1305033528.1311550140	0.3051721156	0.3095793857	0.3193643391	0.0263946788	0.4724820000	0.0438580000	0.0905040000	0.0274750000	0.1519220000	0.1586320000	0	0	209321984	4.0144133568	4.0189032555	3.9694879055
10	1305033528.1677141190	0.3033728898	0.3089587361	0.3193643391	0.0251606162	0.2856470000	0.0438150000	0.0892380000	0.0000010000	0.1507730000	0.0017380000	0	0	209321984	4.0118985176	4.0168199539	3.9698057175
