SLAMBench Report run started:	2020-02-29 05:37:30

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2360-ISD-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_hemisphere.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311874903.3547680378	0.0672438741	0.0672438741	0.0672438741	0.0000000000	0.0112420000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311874903.3866360188	0.0714659393	0.0693549067	0.0714659393	0.0077603091	0.0263040000	0	0	209321984	0.0012913981	-0.0000095561	0.0000441531
3	1311874903.4227960110	0.0736070722	0.0707722952	0.0736070722	0.0060097255	0.0227820000	0	0	209321984	0.0007012610	0.0006024602	-0.0007446297
4	1311874903.4547979832	0.0770885870	0.0723513681	0.0770885870	0.0065373045	0.0387700000	0	0	209321984	0.0016274011	0.0027158943	-0.0007094851
5	1311874903.4866940975	0.0799314231	0.0738673791	0.0799314231	0.0058059282	0.0239410000	0	0	209321984	0.0023972781	0.0023470803	0.0015104102
6	1311874903.5227789879	0.0817406029	0.0751795831	0.0817406029	0.0060688323	0.0230880000	0	0	209321984	0.0019167325	0.0015065047	0.0036488527
7	1311874903.5548400879	0.0850221366	0.0765856622	0.0850221366	0.0062601581	0.0218160000	0	0	209321984	0.0021766743	0.0019315101	0.0040984745
8	1311874903.5867300034	0.0888594985	0.0781198917	0.0888594985	0.0060771935	0.0225670000	0	0	209321984	0.0032861352	0.0032936533	0.0048940349
9	1311874903.6227350235	0.0908699036	0.0795365597	0.0908699036	0.0060482229	0.0221370000	0	0	209321984	0.0022517426	0.0027911901	0.0064780135
10	1311874903.6548099518	0.0940074250	0.0809836462	0.0940074250	0.0061439908	0.0227650000	0	0	209321984	0.0019166393	0.0027528887	0.0073823966
11	1311874903.6867780685	0.0990169123	0.0826230340	0.0990169123	0.0062949496	0.0253390000	0	0	209321984	0.0027443299	0.0036628349	0.0082943868
12	1311874903.7228040695	0.1026652828	0.0842932214	0.1026652828	0.0068164650	0.0250580000	0	0	209321984	0.0018737430	0.0034118698	0.0111577800
13	1311874903.7548160553	0.1082535386	0.0861363228	0.1082535386	0.0068048246	0.0303090000	0	0	209321984	0.0039248723	0.0061145308	0.0133087030
14	1311874903.7867510319	0.1130204126	0.0880566149	0.1130204126	0.0073055280	0.0255270000	0	0	209321984	0.0017849429	0.0047262106	0.0151015548
15	1311874903.8228399754	0.1192924529	0.0901390041	0.1192924529	0.0074295858	0.0247540000	0	0	209321984	0.0008253448	0.0065395185	0.0169099811
16	1311874903.8548169136	0.1278569251	0.0924963742	0.1278569251	0.0082067025	0.0298290000	0	0	209321984	0.0021462874	0.0060189129	0.0195354670
17	1311874903.8868288994	0.1375480294	0.0951464715	0.1375480294	0.0083714335	0.0266300000	0	0	209321984	0.0041165738	0.0102948155	0.0214902423
18	1311874903.9227540493	0.1467400193	0.0980127797	0.1467400193	0.0085163986	0.0258990000	0	0	209321984	0.0042481637	0.0117691969	0.0244987346
19	1311874903.9548261166	0.1563604325	0.1010837088	0.1563604325	0.0086359240	0.0504080000	0	0	209321984	0.0033145654	0.0117189009	0.0275069196
20	1311874903.9868090153	0.1653103381	0.1042950403	0.1653103381	0.0094716440	0.0336060000	0	0	209321984	0.0007950501	0.0091937743	0.0309683066
21	1311874904.0229310989	0.1782717854	0.1078177424	0.1782717854	0.0094523485	0.0212570000	0	0	209321984	0.0029278090	0.0126549993	0.0335999765
22	1311874904.0548150539	0.1899108738	0.1115492484	0.1899108738	0.0096466764	0.0194000000	0	0	209321984	0.0059916531	0.0172612388	0.0353707932
23	1311874904.0867750645	0.2018478364	0.1154752740	0.2018478364	0.0098270723	0.0193300000	0	0	209321984	0.0087947519	0.0198761225	0.0385307334
24	1311874904.1227569580	0.2133245915	0.1195523289	0.2133245915	0.0100266272	0.0185060000	0	0	209321984	0.0062521226	0.0209159255	0.0403575487
25	1311874904.1548049450	0.2237408459	0.1237198696	0.2237408459	0.0105012777	0.0186910000	0	0	209321984	0.0048155761	0.0187146962	0.0435224287
26	1311874904.1867148876	0.2347257882	0.1279893280	0.2347257882	0.0104486868	0.0188060000	0	0	209321984	0.0054473197	0.0205317494	0.0459597781
27	1311874904.2227890491	0.2458236814	0.1323535633	0.2458236814	0.0103721857	0.0188930000	0	0	209321984	0.0070284978	0.0236657429	0.0485762991
28	1311874904.2547900677	0.2577331364	0.1368314052	0.2577331364	0.0105697753	0.0203190000	0	0	209321984	0.0088352617	0.0262195691	0.0508743338
29	1311874904.2868020535	0.2677715123	0.1413465813	0.2677715123	0.0107765002	0.0637860000	0	0	209321984	0.0088413665	0.0263019223	0.0539519377
30	1311874904.3227920532	0.2794795930	0.1459510150	0.2794795930	0.0107889448	0.0296310000	0	0	209321984	0.0102901030	0.0290702898	0.0567473285
31	1311874904.3548059464	0.2875258923	0.1505179465	0.2875258923	0.0107191752	0.0240010000	0	0	209321984	0.0100644026	0.0339159817	0.0598112382
32	1311874904.3867399693	0.2969280481	0.1550932622	0.2969280481	0.0108273428	0.0189130000	0	0	209321984	0.0109281512	0.0294357128	0.0620960332
33	1311874904.4227750301	0.3059166372	0.1596636675	0.3059166372	0.0110355238	0.0190890000	0	0	209321984	0.0097614769	0.0282666162	0.0645098388
