SLAMBench Report run started:	2020-02-29 05:38:25

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2360-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_hemisphere.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311874903.3349549770	0.0651505813	0.0651505813	0.0651505813	0.0000000000	0.4875700000	0.0432570000	0.0153110000	0.0298280000	0.0000040000	0.3970790000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311874903.3719758987	0.0686381832	0.0668943822	0.0686381832	0.0042306287	0.0833700000	0.0423080000	0.0096430000	0.0298280000	0.0000020000	0.0010620000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311874903.3971650600	0.0711221471	0.0683036372	0.0711221471	0.0098071073	0.0830270000	0.0420080000	0.0095810000	0.0298430000	0.0000010000	0.0010680000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311874903.4352951050	0.0739269406	0.0697094630	0.0739269406	0.0098014499	0.4792720000	0.0420070000	0.0095170000	0.0298110000	0.3962680000	0.0011520000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311874903.4683508873	0.0768860877	0.0711447880	0.0768860877	0.0112814204	0.8813900000	0.0423420000	0.0490030000	0.0000010000	0.3941640000	0.3953590000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
6	1311874903.5002620220	0.0796215907	0.0725575884	0.0796215907	0.0101944711	0.4874100000	0.0421770000	0.0493960000	0.0000000000	0.3941520000	0.0011660000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
7	1311874903.5325009823	0.0823333636	0.0739541277	0.0823333636	0.0100795056	0.4870570000	0.0420260000	0.0491720000	0.0000000000	0.3941640000	0.0011660000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
8	1311874903.5715100765	0.0867859423	0.0755581046	0.0867859423	0.0102707304	0.4866650000	0.0418440000	0.0489520000	0.0000010000	0.3941720000	0.0011780000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
9	1311874903.6033740044	0.0903508365	0.0772017414	0.0903508365	0.0096639344	0.8806070000	0.0419320000	0.0486020000	0.0000000000	0.3941350000	0.3953980000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
10	1311874903.6347560883	0.0943390876	0.0789154761	0.0943390876	0.0096413104	0.4785280000	0.0408800000	0.0483230000	0.0000000000	0.3875840000	0.0012030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
11	1311874903.6730110645	0.1002042070	0.0808508152	0.1002042070	0.0095125958	0.4873560000	0.0418630000	0.0496160000	0.0000010000	0.3941790000	0.0011720000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
12	1311874903.7056319714	0.1054000929	0.0828965884	0.1054000929	0.0091533389	0.4840000000	0.0423440000	0.0499790000	0.0000000000	0.3899800000	0.0011650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
13	1311874903.7338130474	0.1114966497	0.0850965931	0.1114966497	0.0093032103	0.8824080000	0.0423480000	0.0499850000	0.0000010000	0.3941980000	0.3953600000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
14	1311874903.7723870277	0.1199253276	0.0875843598	0.1199253276	0.0096810684	0.4880920000	0.0423180000	0.0499100000	0.0000010000	0.3941740000	0.0011650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
15	1311874903.8045389652	0.1288162023	0.0903331493	0.1288162023	0.0095757114	0.4869000000	0.0425840000	0.0500230000	0.0000010000	0.3925950000	0.0011650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
