SLAMBench Report run started:	2020-02-29 06:29:22

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2DESK-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311868164.3735570908	0.0309509244	0.0309509244	0.0309509244	0.0000000000	0.3671860000	0.0367140000	0.0140240000	0.0276130000	0.0000040000	0.2870540000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311868164.4077839851	0.0338289514	0.0323899379	0.0338289514	0.0264296588	0.0753990000	0.0367960000	0.0089530000	0.0276730000	0.0000010000	0.0015780000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311868164.4370210171	0.0372760519	0.0340186426	0.0372760519	0.0246779651	0.0758090000	0.0370680000	0.0090570000	0.0276990000	0.0000020000	0.0015850000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311868164.4770390987	0.0412983187	0.0358385616	0.0412983187	0.0238173385	0.3475960000	0.0373830000	0.0090180000	0.0276770000	0.2714910000	0.0016300000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311868164.5076980591	0.0371056423	0.0360919777	0.0412983187	0.0258577770	0.6600120000	0.0373240000	0.0573000000	0.0278480000	0.2666830000	0.2704580000	0	0	209321984	4.0095314980	3.9992213249	3.9969692230
6	1311868164.5393950939	0.0374513604	0.0363185415	0.0412983187	0.0255587151	0.3824150000	0.0371400000	0.0756840000	0.0000000000	0.2674880000	0.0017020000	0	0	209321984	4.0132021904	3.9984304905	3.9954471588
7	1311868164.5730500221	0.0379056334	0.0365452689	0.0412983187	0.0237188634	0.4078850000	0.0375150000	0.0753030000	0.0279870000	0.2649870000	0.0016900000	0	0	209321984	4.0145621300	3.9999396801	3.9924075603
8	1311868164.6078920364	0.0397756509	0.0369490667	0.0412983187	0.0220991512	0.3749080000	0.0372880000	0.0688820000	0.0000010000	0.2666190000	0.0017120000	0	0	209321984	4.0159215927	4.0001449585	3.9898998737
9	1311868164.6775341034	0.0409166813	0.0373899127	0.0412983187	0.0211989214	0.6764960000	0.0367360000	0.0742270000	0.0284860000	0.2644290000	0.2722210000	0	0	209321984	4.0204315186	4.0022702217	3.9834375381
10	1311868164.7096149921	0.0397293195	0.0376238534	0.0412983187	0.0200163268	0.3807410000	0.0368670000	0.0746210000	0.0000010000	0.2672000000	0.0016630000	0	0	209321984	4.0256586075	4.0030627251	3.9801340103
11	1311868164.7376620770	0.0389211290	0.0377417876	0.0412983187	0.0191625970	0.3842120000	0.0370030000	0.0503350000	0.0280010000	0.2667970000	0.0016700000	0	0	209321984	4.0324726105	4.0008506775	3.9767520428
12	1311868164.7792251110	0.0390403606	0.0378500020	0.0412983187	0.0183000186	0.3804970000	0.0366380000	0.0740330000	0.0000000000	0.2676930000	0.0017130000	0	0	209321984	4.0411186218	3.9984145164	3.9739296436
