SLAMBench Report run started:	2020-02-29 06:59:42

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2DESKP-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk_with_person.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311870427.2436540127	0.0093087573	0.0093087573	0.0093087573	0.0000000000	0.4018740000	0.0286120000	0.0132980000	0.0274730000	0.0000030000	0.3290040000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311870427.2758491039	0.0100066746	0.0096577159	0.0100066746	0.0033404878	0.0655470000	0.0280580000	0.0078580000	0.0274990000	0.0000010000	0.0014210000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311870427.3078649044	0.0104681961	0.0099278760	0.0104681961	0.0029972848	0.0652920000	0.0278940000	0.0077850000	0.0274440000	0.0000010000	0.0014740000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311870427.3762290478	0.0111827254	0.0102415883	0.0111827254	0.0035480273	0.3842000000	0.0279860000	0.0078840000	0.0275010000	0.3186040000	0.0015270000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311870427.4098069668	0.0131256385	0.0108183984	0.0131256385	0.0079389964	0.7318690000	0.0277850000	0.0454710000	0.0275580000	0.3127280000	0.3176290000	0	0	209321984	3.9914963245	3.9979391098	4.0026946068
6	1311870427.4440650940	0.0146021359	0.0114490213	0.0146021359	0.0072363260	0.4005330000	0.0274500000	0.0581620000	0.0000000000	0.3126520000	0.0015690000	0	0	209321984	3.9895310402	3.9978747368	4.0032448769
7	1311870427.4757061005	0.0150681734	0.0119660430	0.0150681734	0.0066885525	0.4279580000	0.0277660000	0.0587510000	0.0275330000	0.3116640000	0.0015600000	0	0	209321984	3.9882066250	3.9985170364	4.0026865005
8	1311870427.5099599361	0.0159363504	0.0124623314	0.0159363504	0.0062607086	0.4025120000	0.0279120000	0.0600450000	0.0000010000	0.3122400000	0.0016010000	0	0	209321984	3.9865236282	3.9987845421	4.0024785995
9	1311870427.5434169769	0.0148348715	0.0127259470	0.0159363504	0.0058819631	0.7418260000	0.0275970000	0.0597490000	0.0279200000	0.3106310000	0.3152430000	0	0	209321984	3.9883694649	3.9977231026	4.0018668175
10	1311870427.6445550919	0.0164546166	0.0130988140	0.0164546166	0.0055832975	0.3763290000	0.0276590000	0.0356840000	0.0000010000	0.3107110000	0.0015750000	0	0	209321984	3.9862029552	3.9959352016	4.0013852119
11	1311870427.6773180962	0.0160473809	0.0133668655	0.0164546166	0.0053084546	0.4233710000	0.0276770000	0.0550490000	0.0279740000	0.3103510000	0.0016020000	0	0	209321984	3.9868576527	3.9962782860	4.0006961823
12	1311870427.7126560211	0.0175763275	0.0137176540	0.0175763275	0.0069130970	0.4001970000	0.0277540000	0.0597580000	0.0000000000	0.3104150000	0.0015680000	0	0	209321984	3.9841461182	3.9965927601	4.0006070137
13	1311870427.7433679104	0.0167038646	0.0139473625	0.0175763275	0.0066397186	0.7407370000	0.0279920000	0.0606510000	0.0275390000	0.3091780000	0.3146690000	0	0	209321984	3.9856889248	3.9959552288	3.9999597073
14	1311870427.7768299580	0.0175690986	0.0142060579	0.0175763275	0.0064441953	0.3746930000	0.0277640000	0.0355410000	0.0000010000	0.3091120000	0.0015760000	0	0	209321984	3.9845647812	3.9967739582	3.9994950294
15	1311870427.8114020824	0.0166355018	0.0143680209	0.0175763275	0.0063173371	0.4023780000	0.0279870000	0.0356340000	0.0275470000	0.3089370000	0.0015720000	0	0	209321984	3.9864847660	3.9949994087	3.9992206097
16	1311870427.8474619389	0.0178726371	0.0145870594	0.0178726371	0.0061550882	0.3883630000	0.0276750000	0.0501490000	0.0000010000	0.3082490000	0.0015620000	0	0	209321984	3.9850604534	3.9946451187	3.9993939400
17	1311870427.8765211105	0.0161579624	0.0146794654	0.0178726371	0.0061478877	0.7241730000	0.0277830000	0.0456060000	0.0275260000	0.3078350000	0.3147210000	0	0	209321984	3.9874119759	3.9967823029	3.9983711243
18	1311870427.9152910709	0.0177472625	0.0148498986	0.0178726371	0.0061089206	0.3696190000	0.0280480000	0.0308920000	0.0000010000	0.3084030000	0.0015680000	0	0	209321984	3.9852013588	3.9960978031	3.9986975193
19	1311870427.9435830116	0.0167690478	0.0149509065	0.0178726371	0.0059613928	0.4281560000	0.0285520000	0.0615600000	0.0275780000	0.3081990000	0.0015720000	0	0	209321984	3.9864201546	3.9968078136	3.9980547428
20	1311870427.9765379429	0.0152314287	0.0149649326	0.0178726371	0.0059889754	0.3987780000	0.0276930000	0.0602360000	0.0000000000	0.3085150000	0.0016050000	0	0	209321984	3.9887428284	3.9956312180	3.9974915981
21	1311870428.0119678974	0.0176208485	0.0150914048	0.0178726371	0.0058633821	0.7184900000	0.0280360000	0.0406400000	0.0280460000	0.3078160000	0.3132560000	0	0	209321984	3.9853575230	3.9956595898	3.9981496334
22	1311870428.0447859764	0.0179838128	0.0152228779	0.0179838128	0.0057260800	0.3978360000	0.0277290000	0.0602630000	0.0000010000	0.3075540000	0.0015730000	0	0	209321984	3.9853298664	3.9948439598	3.9982340336
23	1311870428.0758080482	0.0183154605	0.0153573380	0.0183154605	0.0056015821	0.3953840000	0.0276450000	0.0305420000	0.0275300000	0.3073840000	0.0015730000	0	0	209321984	3.9848904610	3.9955348969	3.9981901646
24	1311870428.1131660938	0.0175693948	0.0154495070	0.0183154605	0.0054960348	0.3771210000	0.0276350000	0.0402530000	0.0000010000	0.3068560000	0.0016350000	0	0	209321984	3.9866583347	3.9946300983	3.9981598854
25	1311870428.1440908909	0.0176456440	0.0155373525	0.0183154605	0.0053845492	0.7059280000	0.0275530000	0.0305670000	0.0275440000	0.3065730000	0.3129770000	0	0	209321984	3.9867138863	3.9951252937	3.9981544018
26	1311870428.1752319336	0.0187275261	0.0156600515	0.0187275261	0.0052978551	0.3663240000	0.0273550000	0.0303400000	0.0000010000	0.3063490000	0.0015700000	0	0	209321984	3.9847157001	3.9952847958	3.9979102612
27	1311870428.2138419151	0.0188904330	0.0157796952	0.0188904330	0.0051962413	0.4234220000	0.0271490000	0.0596510000	0.0279120000	0.3064290000	0.0015750000	0	0	209321984	3.9846282005	3.9952235222	3.9980518818
28	1311870428.2429149151	0.0188508574	0.0158893796	0.0188904330	0.0051190435	0.3612950000	0.0270890000	0.0254200000	0.0000000000	0.3064560000	0.0015950000	0	0	209321984	3.9841272831	3.9956212044	3.9979944229
29	1311870428.2750411034	0.0191832241	0.0160029604	0.0191832241	0.0050344297	0.7201590000	0.0273680000	0.0451340000	0.0279430000	0.3062130000	0.3127650000	0	0	209321984	3.9837691784	3.9949274063	3.9980418682
30	1311870428.3439590931	0.0186822880	0.0160922714	0.0191832241	0.0049596813	0.3958580000	0.0274990000	0.0596950000	0.0000010000	0.3063470000	0.0015860000	0	0	209321984	3.9839437008	3.9954774380	3.9974672794
31	1311870428.3765380383	0.0201053228	0.0162217246	0.0201053228	0.0048952700	0.4078630000	0.0273380000	0.0450500000	0.0275240000	0.3056640000	0.0015770000	0	0	209321984	3.9824252129	3.9951491356	3.9981925488
32	1311870428.4140820503	0.0188485365	0.0163038125	0.0201053228	0.0048394010	0.3758660000	0.0272710000	0.0405280000	0.0000000000	0.3057710000	0.0015760000	0	0	209321984	3.9841389656	3.9965596199	3.9979615211
33	1311870428.4440529346	0.0210307501	0.0164470530	0.0210307501	0.0047867314	0.7091610000	0.0272770000	0.0353400000	0.0274570000	0.3057310000	0.3126220000	0	0	209321984	3.9812719822	3.9948070049	3.9984478951
34	1311870428.5147609711	0.0206017904	0.0165692512	0.0210307501	0.0047293092	0.3792580000	0.0278070000	0.0497910000	0.0000000000	0.2993730000	0.0015620000	0	0	209321984	3.9819757938	3.9959976673	3.9984576702
35	1311870428.5431680679	0.0214165058	0.0167077442	0.0214165058	0.0047191298	0.4152880000	0.0268840000	0.0599150000	0.0274030000	0.2988050000	0.0015590000	0	0	209321984	3.9807007313	3.9942867756	3.9983835220
36	1311870428.5769429207	0.0205020085	0.0168131404	0.0214165058	0.0047313300	0.3720790000	0.0264860000	0.0448550000	0.0000000000	0.2984880000	0.0015330000	0	0	209321984	3.9823877811	3.9955646992	3.9983828068
37	1311870428.6144049168	0.0208228603	0.0169215112	0.0214165058	0.0046658267	0.7172060000	0.0267840000	0.0591400000	0.0273180000	0.2983350000	0.3049130000	0	0	209321984	3.9816443920	3.9952225685	3.9982054234
38	1311870428.6476008892	0.0213449001	0.0170379162	0.0214165058	0.0046290401	0.3588600000	0.0267340000	0.0301550000	0.0000000000	0.2997110000	0.0015560000	0	0	209321984	3.9809396267	3.9947497845	3.9983630180
39	1311870428.6763539314	0.0207587164	0.0171333213	0.0214165058	0.0045835020	0.4207590000	0.0272190000	0.0595350000	0.0274930000	0.3041030000	0.0016290000	0	0	209321984	3.9813842773	3.9945116043	3.9981899261
40	1311870428.7151789665	0.0216773879	0.0172469230	0.0216773879	0.0045371888	0.3925670000	0.0270910000	0.0595140000	0.0000010000	0.3036620000	0.0015710000	0	0	209321984	3.9802005291	3.9953689575	3.9985127449
41	1311870428.7810359001	0.0221184921	0.0173657417	0.0221184921	0.0044865066	0.7141500000	0.0273540000	0.0451620000	0.0274560000	0.3036350000	0.3098190000	0	0	209321984	3.9799399376	3.9941942692	3.9989399910
42	1311870428.8135249615	0.0208267681	0.0174481471	0.0221184921	0.0044446240	0.3779240000	0.0272480000	0.0450450000	0.0000010000	0.3032860000	0.0016000000	0	0	209321984	3.9814291000	3.9943320751	3.9985859394
43	1311870428.8444199562	0.0217677988	0.0175486042	0.0221184921	0.0043945117	0.3849870000	0.0269830000	0.0254800000	0.0274620000	0.3027600000	0.0015760000	0	0	209321984	3.9805746078	3.9935021400	3.9990129471
44	1311870428.8804159164	0.0217065215	0.0176431023	0.0221184921	0.0043467109	0.3578170000	0.0272080000	0.0254750000	0.0000010000	0.3027820000	0.0015990000	0	0	209321984	3.9798853397	3.9947381020	3.9984891415
45	1311870428.9162230492	0.0216569211	0.0177322982	0.0221184921	0.0043028256	0.6922890000	0.0270290000	0.0253530000	0.0274680000	0.3027130000	0.3089920000	0	0	209321984	3.9802954197	3.9943127632	3.9988634586
46	1311870428.9439640045	0.0209756382	0.0178028056	0.0221184921	0.0042638797	0.3727420000	0.0272420000	0.0402530000	0.0000010000	0.3029400000	0.0015770000	0	0	209321984	3.9813163280	3.9938819408	3.9988167286
47	1311870428.9796268940	0.0210718960	0.0178723608	0.0221184921	0.0042190146	0.3900010000	0.0269960000	0.0303100000	0.0279250000	0.3024710000	0.0015740000	0	0	209321984	3.9809687138	3.9944169521	3.9989352226
48	1311870429.0112810135	0.0211444348	0.0179405290	0.0221184921	0.0041813297	0.3624960000	0.0271460000	0.0303730000	0.0000010000	0.3026860000	0.0015670000	0	0	209321984	3.9810087681	3.9944658279	3.9991347790
49	1311870429.0812749863	0.0219465960	0.0180222854	0.0221184921	0.0041431532	0.7255130000	0.0271160000	0.0597970000	0.0275220000	0.3021870000	0.3081650000	0	0	209321984	3.9803695679	3.9929218292	3.9993791580
50	1311870429.1153800488	0.0220304690	0.0181024491	0.0221184921	0.0041034027	0.3615160000	0.0270130000	0.0302990000	0.0000000000	0.3018730000	0.0015930000	0	0	209321984	3.9804337025	3.9933719635	3.9996006489
51	1311870429.1445829868	0.0219700038	0.0181782835	0.0221184921	0.0040753362	0.4032560000	0.0271340000	0.0449830000	0.0274720000	0.3013930000	0.0015600000	0	0	209321984	3.9802491665	3.9927895069	3.9993371964
52	1311870429.1816370487	0.0221446976	0.0182545607	0.0221446976	0.0040360453	0.3909050000	0.0271610000	0.0598980000	0.0000000000	0.3015450000	0.0015670000	0	0	209321984	3.9800882339	3.9928166866	3.9993264675
53	1311870429.2138500214	0.0221908167	0.0183288297	0.0221908167	0.0040013796	0.7234130000	0.0271950000	0.0595420000	0.0275500000	0.3012570000	0.3071420000	0	0	209321984	3.9803321362	3.9919111729	3.9993233681
54	1311870429.3150920868	0.0241419598	0.0184364802	0.0241419598	0.0039771845	0.3906010000	0.0272640000	0.0595740000	0.0000010000	0.3014460000	0.0015790000	0	0	209321984	3.9777817726	3.9921884537	3.9994590282
55	1311870429.3437800407	0.0243775230	0.0185444992	0.0243775230	0.0039458275	0.3892230000	0.0274620000	0.0308080000	0.0276100000	0.3010290000	0.0015750000	0	0	209321984	3.9781408310	3.9927282333	4.0001149178
56	1311870429.3796639442	0.0232819039	0.0186290957	0.0243775230	0.0039113066	0.3905250000	0.0273390000	0.0598410000	0.0000010000	0.3010370000	0.0015670000	0	0	209321984	3.9801504612	3.9928407669	4.0003795624
57	1311870429.4166319370	0.0237786323	0.0187194385	0.0243775230	0.0038828138	0.7231580000	0.0272580000	0.0597940000	0.0274410000	0.3009410000	0.3070010000	0	0	209321984	3.9796390533	3.9925055504	4.0001921654
58	1311870429.4442369938	0.0243517738	0.0188165477	0.0243775230	0.0038497491	0.3754680000	0.0272120000	0.0449810000	0.0000010000	0.3009840000	0.0015590000	0	0	209321984	3.9790239334	3.9925742149	4.0001034737
59	1311870429.4836580753	0.0254625287	0.0189291914	0.0254625287	0.0039630695	0.4172440000	0.0271650000	0.0593770000	0.0274880000	0.3009140000	0.0015610000	0	0	209321984	3.9791448116	3.9928958416	3.9999294281
60	1311870429.5120949745	0.0270201657	0.0190640410	0.0270201657	0.0039323997	0.3906980000	0.0273400000	0.0600000000	0.0000000000	0.3010620000	0.0015610000	0	0	209321984	3.9778654575	3.9918296337	4.0007162094
61	1311870429.5445420742	0.0257967524	0.0191744133	0.0270201657	0.0039048923	0.7238490000	0.0271100000	0.0594720000	0.0279770000	0.3009210000	0.3076270000	0	0	209321984	3.9792251587	3.9921367168	4.0002565384
62	1311870429.5815060139	0.0253714845	0.0192743661	0.0270201657	0.0038776299	0.3755930000	0.0273110000	0.0450870000	0.0000000000	0.3008420000	0.0015920000	0	0	209321984	3.9804294109	3.9927570820	4.0006003380
63	1311870429.6124129295	0.0252632312	0.0193694274	0.0270201657	0.0038656679	0.4150910000	0.0271520000	0.0595270000	0.0274900000	0.2986760000	0.0015220000	0	0	209321984	3.9806721210	3.9919865131	4.0006179810
