SLAMBench Report run started:	2020-02-29 06:10:32

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2KIDNAP-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_kidnap.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875132.4757819176	0.0345792770	0.0345792770	0.0345792770	0.0000000000	0.4861580000	0.0422050000	0.0150440000	0.0299950000	0.0000040000	0.3977520000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311875132.5079400539	0.0373679921	0.0359736346	0.0373679921	0.0111641670	0.0830300000	0.0419420000	0.0096720000	0.0300220000	0.0000020000	0.0011120000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311875132.5436189175	0.0401682258	0.0373718316	0.0401682258	0.0108009478	0.0821900000	0.0414400000	0.0096170000	0.0297790000	0.0000020000	0.0010810000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311875132.5721910000	0.0425681286	0.0386709059	0.0425681286	0.0089062577	0.4714950000	0.0408090000	0.0095500000	0.0298350000	0.3898680000	0.0011630000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311875132.6078259945	0.0453031473	0.0399973541	0.0453031473	0.0083931253	0.8782730000	0.0414170000	0.0477610000	0.0000010000	0.3912830000	0.3975350000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
6	1311875132.6434719563	0.0475564450	0.0412572026	0.0475564450	0.0080510665	0.4880080000	0.0418250000	0.0483340000	0.0000000000	0.3964240000	0.0011550000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
7	1311875132.6759819984	0.0492662638	0.0424013542	0.0492662638	0.0086846734	0.4877550000	0.0419380000	0.0478550000	0.0000010000	0.3965050000	0.0011740000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
8	1311875132.7055940628	0.0507713854	0.0434476081	0.0507713854	0.0084576799	0.4850390000	0.0417520000	0.0500070000	0.0000010000	0.3918520000	0.0011540000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
9	1311875132.7451519966	0.0534323193	0.0445570205	0.0534323193	0.0086642558	0.8825870000	0.0409400000	0.0471250000	0.0000000000	0.3966870000	0.3975550000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
10	1311875132.7766220570	0.0562641285	0.0457277313	0.0562641285	0.0086655817	0.4856250000	0.0409590000	0.0464970000	0.0000010000	0.3967130000	0.0011680000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
11	1311875132.8079359531	0.0596244968	0.0469910736	0.0596244968	0.0083391276	0.4858140000	0.0409910000	0.0467270000	0.0000010000	0.3966440000	0.0011640000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
12	1311875132.8433818817	0.0638115257	0.0483927780	0.0638115257	0.0079727638	0.4859870000	0.0412930000	0.0466070000	0.0000010000	0.3966290000	0.0011790000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
13	1311875132.8759710789	0.0680994019	0.0499086721	0.0680994019	0.0077766366	0.8846470000	0.0419120000	0.0484570000	0.0000000000	0.3966230000	0.3973650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
14	1311875132.9073479176	0.0732915327	0.0515788764	0.0732915327	0.0078125682	0.4867570000	0.0415930000	0.0491930000	0.0000000000	0.3945170000	0.0011700000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
15	1311875132.9446649551	0.0801334158	0.0534825124	0.0801334158	0.0079267857	0.4866240000	0.0407270000	0.0478530000	0.0000000000	0.3965840000	0.0011720000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
16	1311875132.9763550758	0.0859107301	0.0555092760	0.0859107301	0.0092402378	0.4806890000	0.0414350000	0.0480210000	0.0000000000	0.3897710000	0.0011790000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
17	1311875133.0076510906	0.0922501460	0.0576705036	0.0922501460	0.0104265128	0.8827010000	0.0421180000	0.0465340000	0.0000010000	0.3963030000	0.3974510000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
18	1311875133.0405840874	0.0986287966	0.0599459644	0.0986287966	0.0111155571	0.4842060000	0.0423190000	0.0461650000	0.0000000000	0.3942430000	0.0011830000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
19	1311875133.0728170872	0.1059054062	0.0623648823	0.1059054062	0.0109951841	0.4841710000	0.0420030000	0.0461650000	0.0000010000	0.3945570000	0.0011580000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
20	1311875133.1051700115	0.1136996076	0.0649316186	0.1136996076	0.0109728448	0.4849280000	0.0413210000	0.0457830000	0.0000010000	0.3963790000	0.0011570000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
21	1311875133.1411960125	0.1228940710	0.0676917354	0.1228940710	0.0108457238	0.8770750000	0.0418150000	0.0477300000	0.0000010000	0.3897560000	0.3974830000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
22	1311875133.1741549969	0.1313610971	0.0705857973	0.1313610971	0.0107823166	0.4853740000	0.0417170000	0.0480960000	0.0000010000	0.3941250000	0.0011480000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
23	1311875133.2123270035	0.1432826370	0.0737465294	0.1432826370	0.0106517188	0.4892630000	0.0419560000	0.0493350000	0.0000010000	0.3965240000	0.0011560000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
24	1311875133.2434830666	0.1522742957	0.0770185197	0.1522742957	0.0105434994	0.4857900000	0.0416950000	0.0492880000	0.0000010000	0.3933270000	0.0011780000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
25	1311875133.3138830662	0.1746815443	0.0809250407	0.1746815443	0.0117086074	0.8839230000	0.0421770000	0.0505810000	0.0000000000	0.3934910000	0.3973770000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
