SLAMBench Report run started:	2020-02-29 07:39:58

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2LARGE-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_no_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875813.7665040493	0.2034242600	0.2034242600	0.2034242600	0.0000000000	0.4724570000	0.0458120000	0.0153700000	0.0296260000	0.0000040000	0.3811200000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311875813.8064379692	0.2318632901	0.2176437750	0.2318632901	0.0652442873	0.0866700000	0.0450820000	0.0100190000	0.0298920000	0.0000020000	0.0015610000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311875813.8381500244	0.2521678805	0.2291518102	0.2521678805	0.0509031802	0.0863300000	0.0448930000	0.0100140000	0.0297860000	0.0000010000	0.0015230000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311875813.8738729954	0.2756409049	0.2407740839	0.2756409049	0.0487014581	0.4745480000	0.0446710000	0.0099750000	0.0297940000	0.3883750000	0.0016190000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311875813.9048490524	0.2865263522	0.2499245375	0.2865263522	0.0947266926	0.9434470000	0.0444440000	0.0791600000	0.0308320000	0.3877380000	0.4011560000	0	0	209321984	4.0637664795	4.0278530121	3.9178133011
6	1311875813.9383800030	0.3264752924	0.2626829967	0.3264752924	0.0898703073	0.5120520000	0.0446120000	0.0774580000	0.0000010000	0.3881330000	0.0017300000	0	0	209321984	4.1160545349	4.0269989967	3.8785660267
7	1311875813.9740710258	0.3826352060	0.2798190266	0.3826352060	0.0918090590	0.5414790000	0.0446180000	0.0751770000	0.0312170000	0.3886420000	0.0017090000	0	0	209321984	4.1746020317	4.0325689316	3.8383097649
8	1311875814.0045480728	0.4391395152	0.2997340877	0.4391395152	0.0919256020	0.5095000000	0.0446130000	0.0742110000	0.0000010000	0.3889200000	0.0016400000	0	0	209321984	4.2290973663	4.0443201065	3.8009982109
9	1311875814.0383810997	0.5048467517	0.3225243837	0.5048467517	0.0964975919	0.9599450000	0.0446270000	0.0729300000	0.0313290000	0.3900130000	0.4209250000	0	0	209321984	4.2905030251	4.0524230003	3.7608606815
10	1311875814.0741169453	0.5610800385	0.3463799492	0.5610800385	0.0968007210	0.5079350000	0.0442170000	0.0716990000	0.0000000000	0.3902920000	0.0016090000	0	0	209321984	4.3345293999	4.0715751648	3.7275266647
11	1311875814.1079208851	0.6003623009	0.3694692539	0.6003623009	0.1001548377	0.5371440000	0.0436040000	0.0697530000	0.0318150000	0.3902240000	0.0016280000	0	0	209321984	4.3758492470	4.0519318581	3.7000410557
