SLAMBench Report run started:	2020-02-29 09:20:25

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2PSLAM-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311878194.3592360020	0.0001001954	0.0001001954	0.0001001954	0.0000000000	0.3371880000	0.0441830000	0.0152180000	0.0279300000	0.0000040000	0.2459030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311878194.4276299477	0.0000001788	0.0000501871	0.0001001954	0.0010624925	0.0835370000	0.0433970000	0.0098110000	0.0278770000	0.0000010000	0.0015840000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311878194.4596729279	0.0001414871	0.0000806204	0.0001414871	0.0010500049	0.0836520000	0.0434640000	0.0098480000	0.0278820000	0.0000010000	0.0015930000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311878194.4987859726	0.0001001360	0.0000854993	0.0001414871	0.0013746489	0.3245910000	0.0433620000	0.0098260000	0.0279170000	0.2409290000	0.0017020000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311878194.5279328823	0.0026767915	0.0006037578	0.0026767915	0.0016227978	0.6352960000	0.0432610000	0.0831110000	0.0283600000	0.2376060000	0.2421090000	0	0	209321984	4.0020051003	3.9985427856	4.0007562637
6	1311878194.5588839054	0.0029153507	0.0009890233	0.0029153507	0.0018720339	0.3184670000	0.0432830000	0.0351470000	0.0000010000	0.2374300000	0.0017320000	0	0	209321984	4.0020723343	3.9981625080	4.0009102821
7	1311878194.5978949070	0.0025821896	0.0012166185	0.0029153507	0.0018011146	0.3537230000	0.0433460000	0.0422260000	0.0283760000	0.2372230000	0.0016770000	0	0	209321984	4.0018162727	3.9983909130	4.0008854866
8	1311878194.6269490719	0.0028425350	0.0014198580	0.0029153507	0.0018653001	0.3185120000	0.0433630000	0.0352830000	0.0000010000	0.2372410000	0.0017400000	0	0	209321984	4.0021567345	3.9982178211	4.0010285378
9	1311878194.6606290340	0.0029909234	0.0015944208	0.0029909234	0.0017657183	0.5924600000	0.0433210000	0.0421030000	0.0283770000	0.2366790000	0.2410960000	0	0	209321984	4.0018401146	3.9977047443	4.0010781288
10	1311878194.6996729374	0.0032977636	0.0017647551	0.0032977636	0.0018798121	0.3187280000	0.0435850000	0.0354360000	0.0000010000	0.2371880000	0.0016740000	0	0	209321984	4.0023961067	3.9978284836	4.0012264252
11	1311878194.7276589870	0.0035623414	0.0019281721	0.0035623414	0.0020795017	0.3870880000	0.0434590000	0.0764500000	0.0279300000	0.2366530000	0.0017270000	0	0	209321984	4.0019855499	3.9971041679	4.0013451576
12	1311878194.7590649128	0.0034872235	0.0020580930	0.0035623414	0.0020792004	0.3248840000	0.0435810000	0.0422360000	0.0000010000	0.2365070000	0.0016950000	0	0	209321984	4.0021724701	3.9972281456	4.0012974739
13	1311878194.7957880497	0.0032266793	0.0021479843	0.0035623414	0.0024182770	0.5917810000	0.0437310000	0.0425340000	0.0279730000	0.2360690000	0.2405910000	0	0	209321984	4.0016255379	3.9974358082	4.0013346672
14	1311878194.8277609348	0.0039198911	0.0022745490	0.0039198911	0.0028913682	0.3317330000	0.0436370000	0.0492770000	0.0000010000	0.2362830000	0.0016770000	0	0	209321984	4.0015568733	3.9964811802	4.0017142296
15	1311878194.8601560593	0.0041852561	0.0024019295	0.0041852561	0.0028625391	0.3450360000	0.0438290000	0.0355310000	0.0279990000	0.2351470000	0.0016850000	0	0	209321984	4.0017924309	3.9964904785	4.0019445419
16	1311878194.8949790001	0.0054325350	0.0025913423	0.0054325350	0.0028660970	0.3312560000	0.0439940000	0.0494610000	0.0000000000	0.2352270000	0.0016840000	0	0	209321984	4.0006484985	3.9954321384	4.0023732185
17	1311878194.9300220013	0.0060231909	0.0027932158	0.0060231909	0.0027810283	0.6318950000	0.0439940000	0.0841770000	0.0284040000	0.2348460000	0.2396230000	0	0	209321984	4.0003561974	3.9952123165	4.0027585030
18	1311878194.9590990543	0.0073083225	0.0030440551	0.0073083225	0.0036361656	0.3669610000	0.0440930000	0.0845410000	0.0000010000	0.2357550000	0.0017020000	0	0	209321984	3.9984495640	3.9953536987	4.0033521652
19	1311878194.9965341091	0.0096052187	0.0033893795	0.0096052187	0.0044146753	0.3937240000	0.0441970000	0.0847610000	0.0279810000	0.2342030000	0.0016970000	0	0	209321984	3.9964914322	3.9944269657	4.0040335655
20	1311878195.0275340080	0.0133718280	0.0038885019	0.0133718280	0.0044810693	0.3645650000	0.0440680000	0.0851310000	0.0000010000	0.2327250000	0.0017540000	0	0	209321984	3.9928338528	3.9925849438	4.0044851303
21	1311878195.0617780685	0.0134231150	0.0043425311	0.0134231150	0.0051271603	0.6170290000	0.0439550000	0.0773590000	0.0285010000	0.2303560000	0.2359750000	0	0	209321984	3.9913849831	3.9957642555	4.0044999123
22	1311878195.0948240757	0.0154069681	0.0048454600	0.0154069681	0.0053902206	0.3258720000	0.0437660000	0.0496050000	0.0000010000	0.2299350000	0.0016860000	0	0	209321984	3.9899904728	3.9955339432	4.0050382614
23	1311878195.1592309475	0.0201186650	0.0055095124	0.0201186650	0.0053710621	0.3738960000	0.0437340000	0.0707820000	0.0285450000	0.2282570000	0.0016970000	0	0	209321984	3.9869923592	3.9946701527	4.0064787865
24	1311878195.1966290474	0.0230267067	0.0062393955	0.0230267067	0.0057282432	0.3600040000	0.0435550000	0.0844490000	0.0000010000	0.2294450000	0.0017000000	0	0	209321984	3.9847710133	3.9941310883	4.0073351860
25	1311878195.2271540165	0.0236913897	0.0069374753	0.0236913897	0.0056687758	0.5940330000	0.0434040000	0.0562920000	0.0285290000	0.2289040000	0.2360460000	0	0	209321984	3.9845569134	3.9955811501	4.0078601837
26	1311878195.2596199512	0.0253397673	0.0076452557	0.0253397673	0.0065596004	0.3595650000	0.0431030000	0.0839730000	0.0000010000	0.2299070000	0.0017080000	0	0	209321984	3.9833948612	3.9969341755	4.0085072517
27	1311878195.2945530415	0.0267755874	0.0083537865	0.0267755874	0.0069818135	0.3856760000	0.0418970000	0.0835940000	0.0285390000	0.2291130000	0.0016660000	0	0	209321984	3.9835577011	3.9947330952	4.0093007088
28	1311878195.3268439770	0.0278439298	0.0090498631	0.0278439298	0.0070386725	0.3598250000	0.0427120000	0.0839630000	0.0000000000	0.2305800000	0.0016870000	0	0	209321984	3.9827547073	3.9953625202	4.0098414421
29	1311878195.3591609001	0.0289860647	0.0097373183	0.0289860647	0.0071528316	0.6253410000	0.0422820000	0.0829220000	0.0285070000	0.2306620000	0.2401140000	0	0	209321984	3.9817805290	3.9983999729	4.0100398064
30	1311878195.3948669434	0.0298004691	0.0104060900	0.0298004691	0.0073160910	0.3601590000	0.0421180000	0.0830000000	0.0000010000	0.2325040000	0.0016780000	0	0	209321984	3.9817764759	3.9995870590	4.0104937553
31	1311878195.4280519485	0.0317836329	0.0110956882	0.0317836329	0.0072650168	0.3532630000	0.0418820000	0.0484310000	0.0285380000	0.2318390000	0.0016820000	0	0	209321984	3.9806942940	3.9986374378	4.0111999512
32	1311878195.4598879814	0.0336293429	0.0117998649	0.0336293429	0.0071788104	0.3599700000	0.0417380000	0.0824800000	0.0000000000	0.2331850000	0.0016700000	0	0	209321984	3.9794452190	3.9990041256	4.0117149353
33	1311878195.4964590073	0.0330502465	0.0124438158	0.0336293429	0.0072001031	0.6310260000	0.0415830000	0.0824600000	0.0285780000	0.2328730000	0.2446330000	0	0	209321984	3.9807450771	3.9988262653	4.0123305321
34	1311878195.5296270847	0.0334406756	0.0130613705	0.0336293429	0.0071232179	0.3551780000	0.0400750000	0.0816070000	0.0000010000	0.2309260000	0.0016850000	0	0	209321984	3.9812788963	4.0002388954	4.0129594803
35	1311878195.5677700043	0.0338225104	0.0136545460	0.0338225104	0.0071029776	0.3844400000	0.0399710000	0.0809560000	0.0279920000	0.2329160000	0.0017170000	0	0	209321984	3.9820122719	4.0002923012	4.0133109093
36	1311878195.5949189663	0.0332083739	0.0141977079	0.0338225104	0.0071495277	0.3598730000	0.0409160000	0.0814400000	0.0000000000	0.2349500000	0.0016690000	0	0	209321984	3.9836137295	4.0016245842	4.0137133598
37	1311878195.6267230511	0.0345642343	0.0147481545	0.0345642343	0.0070736620	0.6351950000	0.0395390000	0.0808000000	0.0285260000	0.2352810000	0.2501580000	0	0	209321984	3.9829411507	4.0014586449	4.0141978264
38	1311878195.6643760204	0.0331855267	0.0152333485	0.0345642343	0.0080108090	0.3341240000	0.0404720000	0.0544890000	0.0000000000	0.2366260000	0.0016720000	0	0	209321984	3.9854512215	4.0029745102	4.0144720078
39	1311878195.6947460175	0.0342556611	0.0157211001	0.0345642343	0.0079063613	0.3547450000	0.0405060000	0.0472660000	0.0286310000	0.2358100000	0.0016540000	0	0	209321984	3.9849443436	4.0029668808	4.0148243904
40	1311878195.7274310589	0.0344843492	0.0161901813	0.0345642343	0.0078189697	0.3337380000	0.0400590000	0.0540280000	0.0000010000	0.2370910000	0.0016760000	0	0	209321984	3.9855711460	4.0038456917	4.0153331757
41	1311878195.7631731033	0.0366078429	0.0166881731	0.0366078429	0.0077357132	0.6415560000	0.0388880000	0.0799450000	0.0287810000	0.2373500000	0.2556960000	0	0	209321984	3.9839940071	4.0036478043	4.0159564018
42	1311878195.7960960865	0.0379541591	0.0171945061	0.0379541591	0.0077324795	0.3541280000	0.0395470000	0.0733080000	0.0000010000	0.2387110000	0.0016640000	0	0	209321984	3.9837617874	4.0037865639	4.0167489052
43	1311878195.8287820816	0.0389799215	0.0177011437	0.0389799215	0.0077375834	0.3893630000	0.0396970000	0.0798090000	0.0288890000	0.2383990000	0.0016710000	0	0	209321984	3.9837238789	4.0048537254	4.0171208382
44	1311878195.8636939526	0.0390363261	0.0181860342	0.0390363261	0.0077612017	0.3621470000	0.0397240000	0.0799480000	0.0000010000	0.2399460000	0.0016500000	0	0	209321984	3.9847741127	4.0042614937	4.0175385475
45	1311878195.8946650028	0.0408555791	0.0186898018	0.0408555791	0.0076757834	0.6489780000	0.0395020000	0.0794560000	0.0289730000	0.2388170000	0.2613410000	0	0	209321984	3.9835314751	4.0048489571	4.0180182457
46	1311878195.9264121056	0.0407802202	0.0191700283	0.0408555791	0.0075999185	0.3354780000	0.0394960000	0.0532290000	0.0000010000	0.2402190000	0.0016590000	0	0	209321984	3.9842131138	4.0057182312	4.0179471970
47	1311878195.9624540806	0.0401233844	0.0196158444	0.0408555791	0.0075817593	0.3705030000	0.0393760000	0.0595700000	0.0286040000	0.2403460000	0.0016950000	0	0	209321984	3.9854714870	4.0061860085	4.0179138184
48	1311878195.9946489334	0.0411458984	0.0200643872	0.0411458984	0.0075210997	0.3570520000	0.0397190000	0.0726410000	0.0000010000	0.2421510000	0.0016470000	0	0	209321984	3.9850823879	4.0065040588	4.0183038712
49	1311878196.0263979435	0.0410575829	0.0204928198	0.0411458984	0.0074502390	0.6581050000	0.0389680000	0.0790540000	0.0291770000	0.2417150000	0.2683050000	0	0	209321984	3.9858653545	4.0066223145	4.0186247826
50	1311878196.0643899441	0.0415502116	0.0209139676	0.0415502116	0.0074243968	0.3637420000	0.0387780000	0.0792420000	0.0000010000	0.2431410000	0.0016750000	0	0	209321984	3.9863121510	4.0070810318	4.0190515518
51	1311878196.0995969772	0.0427528247	0.0213421805	0.0427528247	0.0073740002	0.3923680000	0.0384190000	0.0782450000	0.0291380000	0.2439930000	0.0016750000	0	0	209321984	3.9854257107	4.0073261261	4.0189757347
52	1311878196.1278200150	0.0442261212	0.0217822563	0.0442261212	0.0074102379	0.3639870000	0.0383400000	0.0781510000	0.0000010000	0.2449380000	0.0016610000	0	0	209321984	3.9847886562	4.0070576668	4.0194625854
53	1311878196.1626870632	0.0458123311	0.0222356539	0.0458123311	0.0073600753	0.6642860000	0.0380840000	0.0776310000	0.0286200000	0.2445850000	0.2744910000	0	0	209321984	3.9847872257	4.0080456734	4.0207304955
54	1311878196.1944739819	0.0456073657	0.0226684634	0.0458123311	0.0076523655	0.3608660000	0.0371230000	0.0773260000	0.0000000000	0.2439010000	0.0016380000	0	0	209321984	3.9860563278	4.0070123672	4.0213971138
55	1311878196.2265019417	0.0462517552	0.0230972505	0.0462517552	0.0076133700	0.3874670000	0.0370870000	0.0768520000	0.0289130000	0.2420580000	0.0016640000	0	0	209321984	3.9860851765	4.0067634583	4.0220522881
56	1311878196.2644560337	0.0461956859	0.0235097226	0.0462517552	0.0077769305	0.3642680000	0.0379860000	0.0773990000	0.0000010000	0.2463320000	0.0016480000	0	0	209321984	3.9873330593	4.0073056221	4.0229096413
57	1311878196.2952659130	0.0463638529	0.0239106722	0.0463638529	0.0077659267	0.6656770000	0.0368830000	0.0765260000	0.0289570000	0.2435520000	0.2788570000	0	0	209321984	3.9880626202	4.0095596313	4.0231513977
58	1311878196.3651909828	0.0460645184	0.0242926351	0.0463638529	0.0082390114	0.3614430000	0.0368060000	0.0765690000	0.0000010000	0.2455640000	0.0016120000	0	0	209321984	3.9901161194	4.0090689659	4.0239686966
59	1311878196.3949770927	0.0467794314	0.0246737672	0.0467794314	0.0081993058	0.3916940000	0.0375730000	0.0762840000	0.0288040000	0.2464340000	0.0016810000	0	0	209321984	3.9906742573	4.0067911148	4.0254015923
60	1311878196.4263861179	0.0372931510	0.0248840903	0.0467794314	0.0082050541	0.3609720000	0.0363310000	0.0771410000	0.0000010000	0.2450140000	0.0016000000	0	0	209321984	3.9999647141	4.0083870888	4.0201091766
61	1311878196.4637310505	0.0393346995	0.0251209855	0.0467794314	0.0082463699	0.6750340000	0.0368840000	0.0756840000	0.0292050000	0.2489500000	0.2834220000	0	0	209321984	3.9992549419	4.0079813004	4.0217895508
62	1311878196.5260930061	0.0418512896	0.0253908291	0.0467794314	0.0082313430	0.3658540000	0.0357370000	0.0748500000	0.0000000000	0.2527490000	0.0016120000	0	0	209321984	3.9982972145	4.0110988617	4.0229887962
63	1311878196.5638689995	0.0428891927	0.0256685809	0.0467794314	0.0082729825	0.3942820000	0.0355260000	0.0737700000	0.0293870000	0.2531200000	0.0015940000	0	0	209321984	3.9977099895	4.0114741325	4.0236601830
64	1311878196.5947589874	0.0422388464	0.0259274913	0.0467794314	0.0082116647	0.3686280000	0.0366430000	0.0745120000	0.0000000000	0.2548810000	0.0016680000	0	0	209321984	3.9992048740	4.0101008415	4.0251855850
65	1311878196.6269729137	0.0427317582	0.0261860185	0.0467794314	0.0084022599	0.6865040000	0.0364570000	0.0741870000	0.0290250000	0.2548210000	0.2910930000	0	0	209321984	4.0014419556	4.0116543770	4.0267796516
66	1311878196.6638650894	0.0411112718	0.0264121587	0.0467794314	0.0083902224	0.3658970000	0.0353570000	0.0736760000	0.0000000000	0.2543360000	0.0016090000	0	0	209321984	4.0041065216	4.0103197098	4.0288672447
67	1311878196.6946361065	0.0422909260	0.0266491553	0.0467794314	0.0087123973	0.3980770000	0.0361850000	0.0735580000	0.0294780000	0.2563770000	0.0015860000	0	0	209321984	4.0048317909	4.0084753036	4.0311856270
68	1311878196.7329039574	0.0427071415	0.0268853021	0.0467794314	0.0093321707	0.3688430000	0.0349020000	0.0731470000	0.0000000000	0.2582780000	0.0016000000	0	0	209321984	4.0064539909	4.0099658966	4.0332612991
69	1311878196.7632660866	0.0452459306	0.0271513982	0.0467794314	0.0092642222	0.6929310000	0.0354570000	0.0725430000	0.0290770000	0.2590090000	0.2959590000	0	0	209321984	4.0059165955	4.0114684105	4.0354719162
70	1311878196.7942879200	0.0458334573	0.0274182847	0.0467794314	0.0092565947	0.3683430000	0.0344010000	0.0718000000	0.0000000000	0.2596270000	0.0016060000	0	0	209321984	4.0072679520	4.0112628937	4.0380401611
71	1311878196.8305060863	0.0476907603	0.0277038126	0.0476907603	0.0093412057	0.3997570000	0.0352600000	0.0718110000	0.0291120000	0.2610600000	0.0016000000	0	0	209321984	4.0071158409	4.0122218132	4.0406026840
72	1311878196.8631179333	0.0500497557	0.0280141729	0.0500497557	0.0094012132	0.3717390000	0.0341820000	0.0719400000	0.0000000000	0.2631530000	0.0015760000	0	0	209321984	4.0070829391	4.0111794472	4.0440163612
73	1311878196.8949849606	0.0525330491	0.0283500479	0.0525330491	0.0093455066	0.7020790000	0.0346890000	0.0707570000	0.0295970000	0.2644480000	0.3016770000	0	0	209321984	4.0067944527	4.0117855072	4.0470328331
74	1311878196.9313011169	0.0522457846	0.0286729633	0.0525330491	0.0093666208	0.3679520000	0.0335880000	0.0700700000	0.0000000000	0.2618770000	0.0015220000	0	0	209321984	4.0094122887	4.0124835968	4.0492434502
75	1311878196.9623150826	0.0544422530	0.0290165538	0.0544422530	0.0093099477	0.3996010000	0.0332620000	0.0696210000	0.0290070000	0.2652050000	0.0015850000	0	0	209321984	4.0083956718	4.0108199120	4.0522336960
