SLAMBench Report run started:	2020-02-29 10:03:45

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2PSLAM3-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam3.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311877977.1309568882	0.0002999306	0.0002999306	0.0002999306	0.0000000000	0.4460170000	0.0440030000	0.0151390000	0.0289600000	0.0000030000	0.3553720000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311877977.1633410454	0.0003605158	0.0003302232	0.0003605158	0.0011710919	0.0840990000	0.0433360000	0.0097640000	0.0289610000	0.0000010000	0.0014440000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311877977.2675049305	0.0003161672	0.0003255378	0.0003605158	0.0018449182	0.0842810000	0.0433820000	0.0097770000	0.0290500000	0.0000010000	0.0014660000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311877977.2978150845	0.0003741641	0.0003376944	0.0003741641	0.0017258141	0.4325480000	0.0432700000	0.0097410000	0.0289900000	0.3483590000	0.0015820000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311877977.3644390106	0.0028224969	0.0008346549	0.0028224969	0.0033707555	0.8179320000	0.0434730000	0.0546800000	0.0290950000	0.3440990000	0.3460000000	0	0	209321984	4.0023126602	4.0017609596	4.0010933876
6	1311877977.3978450298	0.0030057558	0.0011965051	0.0030057558	0.0039421728	0.4298820000	0.0422550000	0.0484540000	0.0000010000	0.3369060000	0.0016530000	0	0	209321984	4.0030684471	4.0014324188	4.0003614426
7	1311877977.4318709373	0.0031709904	0.0014785744	0.0031709904	0.0047423077	0.4810970000	0.0425000000	0.0723530000	0.0292980000	0.3347570000	0.0016000000	0	0	209321984	4.0022888184	4.0026097298	4.0018863678
8	1311877977.4635879993	0.0035224019	0.0017340528	0.0035224019	0.0071226951	0.4610010000	0.0432550000	0.0731960000	0.0000010000	0.3423050000	0.0016450000	0	0	209321984	4.0031714439	4.0013976097	4.0025825500
9	1311877977.4986329079	0.0045290948	0.0020446131	0.0045290948	0.0079124395	0.8326920000	0.0438980000	0.0731880000	0.0290770000	0.3407590000	0.3451760000	0	0	209321984	4.0044684410	4.0029573441	4.0023427010
10	1311877977.5316350460	0.0026385342	0.0021040052	0.0045290948	0.0112858679	0.4599610000	0.0438620000	0.0736180000	0.0000000000	0.3402310000	0.0016550000	0	0	209321984	4.0016956329	4.0003142357	4.0031332970
11	1311877977.5626978874	0.0071731322	0.0025648349	0.0071731322	0.0113379331	0.4731470000	0.0437510000	0.0609990000	0.0290940000	0.3370400000	0.0016530000	0	0	209321984	3.9953074455	3.9993889332	4.0045671463
12	1311877977.5987288952	0.0119721703	0.0033487795	0.0119721703	0.0113180804	0.4570790000	0.0438480000	0.0738580000	0.0000000000	0.3371150000	0.0016430000	0	0	209321984	3.9911746979	4.0007390976	4.0057930946
13	1311877977.6328790188	0.0123608112	0.0040420127	0.0123608112	0.0111383085	0.8244300000	0.0438690000	0.0739780000	0.0291370000	0.3360340000	0.3407950000	0	0	209321984	3.9924173355	4.0019135475	4.0073356628
14	1311877977.6622331142	0.0158015545	0.0048819800	0.0158015545	0.0110858340	0.4495450000	0.0439620000	0.0738340000	0.0000000000	0.3294950000	0.0016280000	0	0	209321984	3.9882397652	4.0010952950	4.0066838264
