SLAMBench Report run started:	2020-02-23 12:28:53

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-COM-00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4407190000	0.0541930000	0.0159540000	0.0316860000	0.0000050000	0.3387750000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0982200000	0.0536070000	0.0111990000	0.0316100000	0.0000000000	0.0017760000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.4000000000	0.0102674309	0.0049736972	0.0102674309	0.0068198254	0.0981380000	0.0535910000	0.0111960000	0.0315320000	0.0000000000	0.0017900000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.4800000000	0.0126696480	0.0068976849	0.0126696480	0.0064372932	0.4284840000	0.0521640000	0.0110940000	0.0314080000	0.3319170000	0.0018710000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.6000000000	0.0065241181	0.0068229716	0.0126696480	0.0085870505	0.8015080000	0.0535910000	0.0518840000	0.0318350000	0.3286310000	0.3355370000	0	0	209321984	3.9916794300	4.0014920235	3.9999754429
6	0.6400000000	0.0064788144	0.0067656120	0.0126696480	0.0077167120	0.4371240000	0.0535920000	0.0514990000	0.0000000000	0.3300600000	0.0019420000	0	0	209321984	3.9895317554	4.0003733635	3.9986071587
7	0.7200000000	0.0064736078	0.0067238971	0.0126696480	0.0071076014	0.4676070000	0.0535810000	0.0534910000	0.0319210000	0.3266720000	0.0019100000	0	0	209321984	3.9864878654	4.0008516312	3.9992015362
8	0.8000000000	0.0064397361	0.0066883770	0.0126696480	0.0068121666	0.4571170000	0.0536000000	0.0695250000	0.0000000000	0.3320100000	0.0019480000	0	0	209321984	3.9804062843	4.0007729530	3.9992413521
9	0.8400000000	0.0065273764	0.0066704881	0.0126696480	0.0063832825	0.7891180000	0.0535780000	0.0426850000	0.0318360000	0.3290680000	0.3319140000	0	0	209321984	3.9748151302	3.9998950958	3.9987869263
10	0.8800000000	0.0065588360	0.0066593228	0.0126696480	0.0060183907	0.4383670000	0.0535910000	0.0517090000	0.0000000000	0.3311350000	0.0018990000	0	0	209321984	3.9754347801	3.9990885258	3.9971358776
11	0.9200000000	0.0065571526	0.0066500346	0.0126696480	0.0057099644	0.4696450000	0.0535750000	0.0516470000	0.0318300000	0.3306360000	0.0019210000	0	0	209321984	3.9670524597	4.0005645752	3.9965288639
12	0.9600000000	0.0066096187	0.0066466666	0.0126696480	0.0054767346	0.4385450000	0.0535260000	0.0517700000	0.0000000000	0.3313080000	0.0019050000	0	0	209321984	3.9659233093	4.0020341873	3.9957914352
13	1.0000000000	0.0065454831	0.0066388833	0.0126696480	0.0052449996	0.8031040000	0.0535790000	0.0517740000	0.0319840000	0.3295540000	0.3361760000	0	0	209321984	3.9595882893	4.0004653931	3.9966733456
14	1.0400000000	0.0065832110	0.0066349067	0.0126696480	0.0051211994	0.4355180000	0.0535960000	0.0517550000	0.0000010000	0.3282220000	0.0019090000	0	0	209321984	3.9539210796	4.0000195503	3.9945235252
15	1.0800000000	0.0065426733	0.0066287578	0.0126696480	0.0050585090	0.4616310000	0.0535830000	0.0426650000	0.0319400000	0.3314770000	0.0019280000	0	0	209321984	3.9490678310	4.0017843246	3.9942510128
16	1.1200000000	0.0065125199	0.0066214929	0.0126696480	0.0050110383	0.4457610000	0.0534870000	0.0607670000	0.0000000000	0.3296070000	0.0018620000	0	0	209321984	3.9429426193	4.0021219254	3.9915361404
17	1.1600000000	0.0066333339	0.0066221895	0.0126696480	0.0049011153	0.8065560000	0.0523900000	0.0539910000	0.0319690000	0.3300300000	0.3381340000	0	0	209321984	3.9334263802	4.0014600754	3.9935643673
18	1.2000000000	0.0065081436	0.0066158536	0.0126696480	0.0047802389	0.4411350000	0.0535740000	0.0520280000	0.0000000000	0.3335800000	0.0019140000	0	0	209321984	3.9268558025	4.0021824837	3.9917552471
19	1.2400000000	0.0064992192	0.0066097149	0.0126696480	0.0046865913	0.4813910000	0.0535870000	0.0605590000	0.0320500000	0.3332190000	0.0019360000	0	0	209321984	3.9200561047	4.0025353432	3.9894659519
20	1.2800000000	0.0066475198	0.0066116052	0.0126696480	0.0046550630	0.4343100000	0.0535730000	0.0450000000	0.0000000000	0.3338270000	0.0018700000	0	0	209321984	3.9146077633	4.0023746490	3.9892764091
21	1.3200000000	0.0066593862	0.0066138805	0.0126696480	0.0045503259	0.8113790000	0.0534900000	0.0519220000	0.0321320000	0.3341570000	0.3396350000	0	0	209321984	3.8863165379	4.0017666817	3.9890005589
22	1.3600000000	0.0066909152	0.0066173820	0.0126696480	0.0047444513	0.4426950000	0.0535840000	0.0521990000	0.0000000000	0.3349820000	0.0018890000	0	0	209321984	3.8828728199	4.0026555061	3.9863536358
23	1.4000000000	0.0067031952	0.0066211131	0.0126696480	0.0052149772	0.4593500000	0.0534670000	0.0430050000	0.0319460000	0.3289760000	0.0019140000	0	0	209321984	3.8771960735	4.0034728050	3.9845814705
24	1.4400000000	0.0068146107	0.0066291755	0.0126696480	0.0051969392	0.4320560000	0.0535660000	0.0450750000	0.0000000000	0.3314690000	0.0019020000	0	0	209321984	3.8663880825	4.0016236305	3.9858741760
25	1.4800000000	0.0067398027	0.0066336005	0.0126696480	0.0050931449	0.8122800000	0.0535750000	0.0517170000	0.0322380000	0.3344610000	0.3402470000	0	0	209321984	3.8544654846	4.0010852814	3.9866552353
26	1.5200000000	0.0066965302	0.0066360209	0.0126696480	0.0049954641	0.4580890000	0.0535720000	0.0694920000	0.0000010000	0.3331210000	0.0018640000	0	0	209321984	3.8512501717	4.0004038811	3.9832756519
