SLAMBench Report run started:	2020-02-23 03:37:45

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-DEP-00020.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.1200000000	0.0036504185	0.0036504185	0.0036504185	0.0000000000	0.4464790000	0.0541900000	0.0159010000	0.0322880000	0.0000040000	0.3439940000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.6400000000	0.0169819035	0.0103161610	0.0169819035	0.0103060072	0.0988500000	0.0535770000	0.0112150000	0.0322460000	0.0000020000	0.0017820000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.7600000000	0.0230637621	0.0145653614	0.0230637621	0.0095965343	0.0988490000	0.0535760000	0.0112110000	0.0322280000	0.0000020000	0.0018030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.8400000000	0.0316924192	0.0188471258	0.0316924192	0.0080790083	0.4253010000	0.0535660000	0.0112340000	0.0320080000	0.3265880000	0.0018740000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.9200000000	0.0192428865	0.0189262779	0.0316924192	0.0076615323	0.7959910000	0.0535690000	0.0425640000	0.0323100000	0.3310410000	0.3364740000	0	0	209321984	3.9796261787	4.0018320084	3.9977915287
6	1.0000000000	0.0193276815	0.0189931785	0.0316924192	0.0068787604	0.4301420000	0.0535660000	0.0426200000	0.0000010000	0.3319840000	0.0019410000	0	0	209321984	3.9722683430	4.0017385483	3.9979054928
7	1.0400000000	0.0193151124	0.0190391691	0.0316924192	0.0064295824	0.4734840000	0.0535690000	0.0537990000	0.0324070000	0.3317860000	0.0018900000	0	0	209321984	3.9666090012	4.0010356903	3.9956712723
8	1.0800000000	0.0192546193	0.0190661004	0.0316924192	0.0061442092	0.4493210000	0.0535760000	0.0608500000	0.0000010000	0.3329230000	0.0019380000	0	0	209321984	3.9617042542	4.0030231476	3.9953944683
9	1.1200000000	0.0192426890	0.0190857213	0.0316924192	0.0059500459	0.8084350000	0.0535680000	0.0515670000	0.0324570000	0.3327180000	0.3380900000	0	0	209321984	3.9556214809	4.0033063889	3.9926321507
10	1.1600000000	0.0193756055	0.0191147097	0.0316924192	0.0056858237	0.4316180000	0.0535670000	0.0429090000	0.0000000000	0.3331700000	0.0019380000	0	0	209321984	3.9460978508	4.0028491020	3.9946413040
11	1.2000000000	0.0192334708	0.0191255062	0.0316924192	0.0054277282	0.4796350000	0.0535710000	0.0585410000	0.0325060000	0.3330720000	0.0019080000	0	0	209321984	3.9395244122	4.0035243034	3.9927568436
12	1.2400000000	0.0193359870	0.0191430463	0.0316924192	0.0052409440	0.4415430000	0.0535680000	0.0516810000	0.0000000000	0.3343270000	0.0019310000	0	0	209321984	3.9328227043	4.0039811134	3.9904413223
13	1.2800000000	0.0194402616	0.0191659090	0.0316924192	0.0051537953	0.7945770000	0.0521480000	0.0513970000	0.0325500000	0.3266620000	0.3317840000	0	0	209321984	3.9273519516	4.0038342476	3.9902210236
14	1.3200000000	0.0193212908	0.0191770077	0.0316924192	0.0049739077	0.4410580000	0.0521500000	0.0518370000	0.0000010000	0.3351130000	0.0019230000	0	0	209321984	3.8989064693	4.0034337044	3.9898083210
15	1.4000000000	0.0193853863	0.0191908996	0.0316924192	0.0069641992	0.4661600000	0.0535700000	0.0430950000	0.0327990000	0.3347680000	0.0018920000	0	0	209321984	3.8898246288	4.0051341057	3.9853296280
16	1.4400000000	0.0194420777	0.0192065982	0.0316924192	0.0068405921	0.4426320000	0.0535630000	0.0518730000	0.0000000000	0.3352160000	0.0019410000	0	0	209321984	3.8789856434	4.0033116341	3.9865515232
17	1.4800000000	0.0194972493	0.0192236953	0.0316924192	0.0066319114	0.8050200000	0.0535640000	0.0429710000	0.0329110000	0.3350070000	0.3405280000	0	0	209321984	3.8672103882	4.0027618408	3.9872677326
18	1.5600000000	0.0195918810	0.0192441501	0.0316924192	0.0065088036	0.4345950000	0.0535640000	0.0426710000	0.0000000000	0.3364300000	0.0018910000	0	0	209321984	3.8541305065	4.0006637573	3.9845492840
19	1.6000000000	0.0195948631	0.0192626087	0.0316924192	0.0064008445	0.4669090000	0.0535700000	0.0425570000	0.0327910000	0.3360620000	0.0018900000	0	0	209321984	3.8437480927	3.9994840622	3.9862334728
20	1.6400000000	0.0196222328	0.0192805899	0.0316924192	0.0062356193	0.4446270000	0.0535640000	0.0517400000	0.0000000000	0.3373760000	0.0019070000	0	0	209321984	3.8303687572	4.0012326241	3.9884138107
21	1.7200000000	0.0196494926	0.0192981567	0.0316924192	0.0062751211	0.8077610000	0.0535670000	0.0428480000	0.0328960000	0.3363460000	0.3420660000	0	0	209321984	3.8173437119	4.0009050369	3.9896080494
22	1.9200000000	0.0196531769	0.0193142940	0.0316924192	0.0075464234	0.4353620000	0.0535580000	0.0435800000	0.0000000000	0.3362660000	0.0019190000	0	0	209321984	3.7880704403	4.0027861595	3.9949049950
23	2.2000000000	0.0197196864	0.0193319197	0.0316924192	0.0083555776	0.4672100000	0.0535660000	0.0431010000	0.0329280000	0.3356230000	0.0019490000	0	0	209321984	3.7341060638	4.0004048347	4.0073008537
24	2.3200000000	0.0197975356	0.0193513204	0.0316924192	0.0084554596	0.4455090000	0.0535690000	0.0543080000	0.0000000000	0.3356380000	0.0019540000	0	0	209321984	3.7057478428	3.9995393753	4.0162663460
25	2.4400000000	0.0199180003	0.0193739876	0.0316924192	0.0099168438	0.7929240000	0.0535680000	0.0430650000	0.0330300000	0.3289070000	0.3343110000	0	0	209321984	3.6721069813	3.9971795082	4.0243334770
26	2.5200000000	0.0199937802	0.0193978258	0.0316924192	0.0109128645	0.4450140000	0.0535630000	0.0519460000	0.0000010000	0.3375450000	0.0019120000	0	0	209321984	3.6509096622	3.9974143505	4.0299563408
27	2.6000000000	0.0200381689	0.0194215422	0.0316924192	0.0116736349	0.4772890000	0.0535890000	0.0515670000	0.0332840000	0.3368900000	0.0019150000	0	0	209321984	3.6264166832	3.9986681938	4.0355525017
28	2.7600000000	0.0204505157	0.0194582912	0.0316924192	0.0115622860	0.4464400000	0.0535630000	0.0515750000	0.0000010000	0.3393180000	0.0019410000	0	0	209321984	3.5868110657	4.0033311844	4.0411205292
29	3.0400000000	0.0207941998	0.0195043570	0.0316924192	0.0184770501	0.8198080000	0.0535630000	0.0439340000	0.0343230000	0.3393760000	0.3485650000	0	0	209321984	3.5518119335	4.0194964409	4.0216646194
30	3.1600000000	0.0193274915	0.0194984615	0.0316924192	0.0181565764	0.4379530000	0.0535760000	0.0409150000	0.0000000000	0.3416050000	0.0018170000	0	0	209321984	3.5415885448	4.0268640518	4.0085568428
31	3.2400000000	0.0193850473	0.0194948030	0.0316924192	0.0179390526	0.4805420000	0.0535730000	0.0508440000	0.0342310000	0.3400570000	0.0017950000	0	0	209321984	3.5212223530	4.0260696411	4.0109848976
