SLAMBench Report run started:	2020-02-23 01:16:19

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-RND-010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-probability: 0.1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4290240000	0.0015440000	0.0085790000	0.0266000000	0.0000030000	0.3921560000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.0515410000	0.0029550000	0.0116250000	0.0360590000	0.0000010000	0.0008310000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0980320000	0.0535890000	0.0111880000	0.0314060000	0.0000000000	0.0017930000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.4333570000	0.0535640000	0.0111790000	0.0314230000	0.3352700000	0.0018940000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.0800000000	0.0042598825	0.0017544742	0.0042598825	0.0041149200	0.7999740000	0.0535710000	0.0448410000	0.0318910000	0.3322280000	0.3374150000	0	0	209321984	3.9990947247	4.0021419525	4.0006113052
6	0.0800000000	0.0038932743	0.0016322715	0.0038932743	0.0040978842	0.4277280000	0.0535800000	0.0449240000	0.0000000000	0.3273220000	0.0018730000	0	0	209321984	3.9986474514	4.0026512146	4.0007610321
7	0.1200000000	0.0041148490	0.0022529159	0.0041148490	0.0038268619	0.4597340000	0.0521500000	0.0423130000	0.0314110000	0.3319400000	0.0018920000	0	0	209321984	3.9939093590	4.0037236214	4.0006842613
8	0.1200000000	0.0045843078	0.0023702806	0.0045843078	0.0039028974	0.4325940000	0.0535850000	0.0450190000	0.0000010000	0.3320160000	0.0019420000	0	0	209321984	3.9935948849	4.0040688515	4.0007886887
9	0.1600000000	0.0024382996	0.0023838844	0.0045843078	0.0036077811	0.7996440000	0.0535850000	0.0448240000	0.0315130000	0.3322750000	0.3374160000	0	0	209321984	3.9954724312	4.0031690598	3.9995589256
10	0.1600000000	0.0025868802	0.0024136005	0.0045843078	0.0035881469	0.4329220000	0.0535930000	0.0451020000	0.0000010000	0.3322430000	0.0019530000	0	0	209321984	3.9955065250	4.0034456253	3.9996187687
11	0.2000000000	0.0038426251	0.0026517713	0.0045843078	0.0036125864	0.4815470000	0.0535880000	0.0627100000	0.0314600000	0.3318640000	0.0018950000	0	0	209321984	3.9924449921	4.0042939186	4.0011572838
12	0.2000000000	0.0040509114	0.0026864857	0.0045843078	0.0036236356	0.4325200000	0.0535860000	0.0450310000	0.0000000000	0.3319360000	0.0019340000	0	0	209321984	3.9924299717	4.0045223236	4.0012273788
13	0.2400000000	0.0028302020	0.0027070166	0.0045843078	0.0034654327	0.7961810000	0.0535840000	0.0425640000	0.0318400000	0.3314540000	0.3367070000	0	0	209321984	3.9933989048	4.0038986206	4.0002875328
14	0.2400000000	0.0030293686	0.0027354689	0.0045843078	0.0034653132	0.4320010000	0.0535910000	0.0449510000	0.0000000000	0.3315030000	0.0019240000	0	0	209321984	3.9933784008	4.0041007996	4.0003190041
15	0.2400000000	0.0030202782	0.0027341703	0.0045843078	0.0034652535	0.4635880000	0.0536010000	0.0450690000	0.0314970000	0.3315030000	0.0018890000	0	0	209321984	3.9933817387	4.0040922165	4.0003194809
16	0.2800000000	0.0029361884	0.0027594226	0.0045843078	0.0032547724	0.4321750000	0.0535860000	0.0450740000	0.0000010000	0.3315680000	0.0019170000	0	0	209321984	3.9933304787	4.0042815208	4.0003571510
17	0.2800000000	0.0029360985	0.0027594113	0.0045843078	0.0032547706	0.7982450000	0.0535920000	0.0449020000	0.0314760000	0.3315240000	0.3367210000	0	0	209321984	3.9933283329	4.0042815208	4.0003581047
18	0.3200000000	0.0036878146	0.0028625673	0.0045843078	0.0030618087	0.4295130000	0.0535860000	0.0426350000	0.0000000000	0.3313730000	0.0018890000	0	0	209321984	3.9917249680	4.0043559074	4.0005316734
19	0.3200000000	0.0037523708	0.0028697402	0.0045843078	0.0030620060	0.4717880000	0.0535870000	0.0537960000	0.0313930000	0.3310630000	0.0019170000	0	0	209321984	3.9918689728	4.0043931007	4.0005106926
20	0.3200000000	0.0032889103	0.0028182445	0.0045843078	0.0031811647	0.4291050000	0.0535740000	0.0426810000	0.0000010000	0.3308800000	0.0019390000	0	0	209321984	3.9898662567	4.0038361549	4.0005621910
