SLAMBench Report run started:	2020-02-28 09:17:27

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-DEP-00001.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 1e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0125260000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0036155523	0.0023093305	0.0036155523	0.0015246610	0.0184790000	0	0	209321984	-0.0009043243	-0.0014850534	-0.0004963169
3	0.1600000000	0.0035260431	0.0027149014	0.0036155523	0.0015359820	0.0160720000	0	0	209321984	-0.0046614115	-0.0009165763	0.0016389946
4	0.2000000000	0.0002790161	0.0021059301	0.0036155523	0.0018923782	0.0158750000	0	0	209321984	-0.0053672735	0.0016339282	-0.0002240799
5	0.3200000000	0.0044431738	0.0025733788	0.0044431738	0.0019299141	0.0163990000	0	0	209321984	-0.0046022255	0.0008372461	-0.0001447182
6	0.3600000000	0.0044274274	0.0028823869	0.0044431738	0.0023118188	0.0156650000	0	0	209321984	-0.0060141399	-0.0010784748	-0.0003366854
7	0.5200000000	0.0056184474	0.0032732527	0.0056184474	0.0052070862	0.0155600000	0	0	209321984	-0.0070736585	0.0007850739	-0.0004132046
8	0.6400000000	0.0051297541	0.0035053154	0.0056184474	0.0051272474	0.0159550000	0	0	209321984	-0.0119140893	-0.0013041825	-0.0019788756
9	0.7200000000	0.0033623874	0.0034894345	0.0056184474	0.0050823228	0.0154160000	0	0	209321984	-0.0193243735	-0.0031415056	-0.0013144683
10	0.7600000000	0.0055030477	0.0036907958	0.0056184474	0.0048244929	0.0160160000	0	0	209321984	-0.0192479882	-0.0051308475	-0.0011162283
11	0.8000000000	0.0047294889	0.0037852225	0.0056184474	0.0046091227	0.0153720000	0	0	209321984	-0.0221456420	-0.0029755456	-0.0013218353
12	0.8400000000	0.0048749978	0.0038760371	0.0056184474	0.0044068718	0.0161830000	0	0	209321984	-0.0284109153	-0.0045918613	-0.0021517850
13	0.8800000000	0.0036304537	0.0038571460	0.0056184474	0.0042263467	0.0159310000	0	0	209321984	-0.0285048075	-0.0041391193	-0.0044155875
14	0.9200000000	0.0029334805	0.0037911699	0.0056184474	0.0040616000	0.0157500000	0	0	209321984	-0.0377877466	-0.0026160837	-0.0047814026
15	0.9600000000	0.0035454871	0.0037747911	0.0056184474	0.0039561389	0.0158560000	0	0	209321984	-0.0375074968	-0.0007884618	-0.0053476812
16	1.0000000000	0.0071654147	0.0039867051	0.0071654147	0.0038870318	0.0153850000	0	0	209321984	-0.0398911238	-0.0016796798	-0.0051152310
17	1.0400000000	0.0083278604	0.0042420671	0.0083278604	0.0038666699	0.0158070000	0	0	209321984	-0.0443114415	-0.0023955810	-0.0071125729
18	1.0800000000	0.0020939650	0.0041227281	0.0083278604	0.0038533347	0.0157020000	0	0	209321984	-0.0577225909	-0.0015813254	-0.0068742246
19	1.1200000000	0.0025546262	0.0040401964	0.0083278604	0.0039169648	0.0154480000	0	0	209321984	-0.0618331246	0.0000562900	-0.0108832913
20	1.1600000000	0.0038497068	0.0040306720	0.0083278604	0.0039577865	0.0157300000	0	0	209321984	-0.0692427829	-0.0010685790	-0.0074695237
21	1.2000000000	0.0041351365	0.0040356465	0.0083278604	0.0038683423	0.0157280000	0	0	209321984	-0.0754918754	0.0012464767	-0.0098442342
22	1.2400000000	0.0046471735	0.0040634431	0.0083278604	0.0039216717	0.0158030000	0	0	209321984	-0.0826712698	-0.0013696190	-0.0131058525
23	1.2800000000	0.0034643062	0.0040373937	0.0083278604	0.0039216981	0.0160010000	0	0	209321984	-0.0897273347	-0.0022643160	-0.0120317573
24	1.3200000000	0.0081486367	0.0042086955	0.0083278604	0.0038559735	0.0156760000	0	0	209321984	-0.1124083474	-0.0026410448	-0.0132660102
25	1.3600000000	0.0042527472	0.0042104576	0.0083278604	0.0039693338	0.0153250000	0	0	209321984	-0.1194103360	-0.0005460320	-0.0151185086
26	1.4000000000	0.0035221621	0.0041839847	0.0083278604	0.0044443682	0.0153170000	0	0	209321984	-0.1264115423	-0.0006950094	-0.0168047957
27	1.4400000000	0.0041523441	0.0041828128	0.0083278604	0.0045295671	0.0157400000	0	0	209321984	-0.1363937259	-0.0026560351	-0.0152394474
28	1.4800000000	0.0045637796	0.0041964187	0.0083278604	0.0044470782	0.0152650000	0	0	209321984	-0.1477054805	-0.0024822631	-0.0156236328
29	1.5200000000	0.0019194699	0.0041179033	0.0083278604	0.0043964441	0.0152260000	0	0	209321984	-0.1534220129	-0.0014542500	-0.0165597983
30	1.5600000000	0.0045519462	0.0041323714	0.0083278604	0.0044660572	0.0154350000	0	0	209321984	-0.1650946289	-0.0079379845	-0.0176876113
31	1.6000000000	0.0014031293	0.0040443313	0.0083278604	0.0045445391	0.0150760000	0	0	209321984	-0.1745285094	-0.0046557877	-0.0140551506
32	1.6400000000	0.0032851999	0.0040206084	0.0083278604	0.0044707692	0.0154900000	0	0	209321984	-0.1856978536	-0.0042616352	-0.0123749059
33	1.6800000000	0.0035829293	0.0040073454	0.0083278604	0.0044291229	0.0150470000	0	0	209321984	-0.1919423938	-0.0028987415	-0.0096379202
34	1.7200000000	0.0032667927	0.0039855645	0.0083278604	0.0044612517	0.0156120000	0	0	209321984	-0.1989627033	-0.0025437516	-0.0103227608
35	1.7600000000	0.0045452421	0.0040015553	0.0083278604	0.0044592053	0.0151530000	0	0	209321984	-0.2069703490	-0.0044744262	-0.0081064850
36	1.8000000000	0.0023445517	0.0039555274	0.0083278604	0.0044664679	0.0149230000	0	0	209321984	-0.2140496373	-0.0016993093	-0.0080038942
37	1.8800000000	0.0026070045	0.0039190808	0.0083278604	0.0049811357	0.0151100000	0	0	209321984	-0.2261097431	-0.0022746893	-0.0064005684
38	1.9200000000	0.0042362767	0.0039274281	0.0083278604	0.0049171373	0.0153900000	0	0	209321984	-0.2347205728	-0.0000022211	-0.0055102240
39	1.9600000000	0.0035885600	0.0039187392	0.0083278604	0.0048975953	0.0151820000	0	0	209321984	-0.2484643757	-0.0037461787	-0.0009178352
40	2.1600000000	0.0039935228	0.0039206088	0.0083278604	0.0056029101	0.0153280000	0	0	209321984	-0.2671841681	-0.0038856147	0.0000737906
41	2.2000000000	0.0025999970	0.0038883987	0.0083278604	0.0055735088	0.0154420000	0	0	209321984	-0.2857340276	-0.0036368896	0.0083922707
42	2.2800000000	0.0053639817	0.0039235316	0.0083278604	0.0055573864	0.0153490000	0	0	209321984	-0.2965033948	-0.0039926618	0.0119019356
43	2.3200000000	0.0059364187	0.0039703430	0.0083278604	0.0057769299	0.0151080000	0	0	209321984	-0.3145354390	-0.0109287221	0.0176153556
44	2.4000000000	0.0029926703	0.0039481231	0.0083278604	0.0061675134	0.0150090000	0	0	209321984	-0.3249851167	-0.0090760570	0.0154019669
45	2.4400000000	0.0049288608	0.0039699173	0.0083278604	0.0062845234	0.0148490000	0	0	209321984	-0.3494138122	-0.0070040058	0.0274099708
46	2.4800000000	0.0028687669	0.0039459792	0.0083278604	0.0064482390	0.0149150000	0	0	209321984	-0.3559174836	-0.0099918367	0.0272270795
47	2.5200000000	0.0039706291	0.0039465037	0.0083278604	0.0067381471	0.0147020000	0	0	209321984	-0.3673210144	-0.0061088884	0.0322188288
48	2.5600000000	0.0019414366	0.0039047315	0.0083278604	0.0070108993	0.0150030000	0	0	209321984	-0.3820725381	-0.0080023017	0.0345992669
49	2.6000000000	0.0053766249	0.0039347701	0.0083278604	0.0070973397	0.0147450000	0	0	209321984	-0.3956139684	-0.0106030395	0.0374851711
50	2.6400000000	0.0023532761	0.0039031402	0.0083278604	0.0071410508	0.0148020000	0	0	209321984	-0.4013343453	-0.0047341599	0.0384962782
51	2.7200000000	0.0045933295	0.0039166734	0.0083278604	0.0070875254	0.0145880000	0	0	209321984	-0.4264735878	-0.0071367677	0.0432615094
52	2.7600000000	0.0053379978	0.0039440065	0.0083278604	0.0070532668	0.0150430000	0	0	209321984	-0.4353787899	-0.0013839210	0.0447149538
53	2.8000000000	0.0025068992	0.0039168913	0.0083278604	0.0070538176	0.0147960000	0	0	209321984	-0.4404000044	-0.0044086268	0.0380727202
54	2.8400000000	0.0041442299	0.0039211013	0.0083278604	0.0077912555	0.0150490000	0	0	209321984	-0.4574110210	0.0011597627	0.0435124412
55	2.9600000000	0.0030605600	0.0039054551	0.0083278604	0.0087485931	0.0146770000	0	0	209321984	-0.4710707068	0.0099972589	0.0384359434
56	3.0000000000	0.0078405002	0.0039757237	0.0083278604	0.0087709829	0.0154200000	0	0	209321984	-0.4737740159	0.0121043045	0.0324069932
57	3.0400000000	0.0070840344	0.0040302555	0.0083278604	0.0087506224	0.0158390000	0	0	209321984	-0.4721951485	0.0125651313	0.0265811831
58	3.0800000000	0.0197546631	0.0043013660	0.0197546631	0.0089207038	0.0154960000	0	0	209321984	-0.4845337272	0.0069841412	0.0143641308
59	3.1200000000	0.0179852881	0.0045332969	0.0197546631	0.0088459956	0.0148520000	0	0	209321984	-0.4905093014	0.0128000211	0.0115222856
60	3.1600000000	0.0175201371	0.0047497442	0.0197546631	0.0087842304	0.0155830000	0	0	209321984	-0.4928869903	0.0142057640	0.0059224144
61	3.2000000000	0.0169850625	0.0049503232	0.0197546631	0.0087221280	0.0148290000	0	0	209321984	-0.5036887527	0.0118331248	0.0095083490
62	3.2400000000	0.0185683761	0.0051699692	0.0197546631	0.0087005445	0.0145050000	0	0	209321984	-0.5133467913	0.0110308537	0.0079221800
