SLAMBench Report run started:	2020-02-28 09:29:41

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-DEP-00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0126470000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0036155523	0.0023093305	0.0036155523	0.0015246610	0.0185130000	0	0	209321984	-0.0009043243	-0.0014850534	-0.0004963169
3	0.5600000000	0.0042954073	0.0029713561	0.0042954073	0.0128812562	0.0158550000	0	0	209321984	-0.0149651328	-0.0013125893	0.0003520997
4	0.6800000000	0.0042402595	0.0032885820	0.0042954073	0.0106869780	0.0157700000	0	0	209321984	-0.0168162622	-0.0039947843	-0.0010916529
5	0.7600000000	0.0053997352	0.0037108126	0.0053997352	0.0095138541	0.0159110000	0	0	209321984	-0.0202136599	-0.0057310164	-0.0014606484
6	0.8400000000	0.0045386031	0.0038487777	0.0053997352	0.0085248241	0.0155420000	0	0	209321984	-0.0291599203	-0.0047886404	-0.0018813405
7	0.9200000000	0.0040368796	0.0038756494	0.0053997352	0.0077839592	0.0159110000	0	0	209321984	-0.0374040119	-0.0038141096	-0.0045832288
8	0.9600000000	0.0045309230	0.0039575586	0.0053997352	0.0072902636	0.0162870000	0	0	209321984	-0.0362343937	-0.0003175538	-0.0052406183
9	1.0000000000	0.0074298447	0.0043433682	0.0074298447	0.0068595594	0.0152430000	0	0	209321984	-0.0395887457	-0.0011802390	-0.0051991884
10	1.0400000000	0.0080430843	0.0047133398	0.0080430843	0.0065657890	0.0153820000	0	0	209321984	-0.0445473045	-0.0016190980	-0.0071142362
11	1.0800000000	0.0028555193	0.0045444470	0.0080430843	0.0063913218	0.0156400000	0	0	209321984	-0.0573564172	-0.0024186245	-0.0069025392
12	1.1200000000	0.0025943555	0.0043819394	0.0080430843	0.0062680968	0.0155380000	0	0	209321984	-0.0616378188	0.0004978729	-0.0108328881
13	1.1600000000	0.0034658627	0.0043114719	0.0080430843	0.0061133621	0.0155530000	0	0	209321984	-0.0696570203	-0.0011090414	-0.0075014764
14	1.2000000000	0.0041197166	0.0042977751	0.0080430843	0.0058923598	0.0157110000	0	0	209321984	-0.0754589066	0.0011211840	-0.0097420206
15	1.2400000000	0.0044029448	0.0043047864	0.0080430843	0.0058052835	0.0158010000	0	0	209321984	-0.0826733112	-0.0008616049	-0.0130568957
16	1.2800000000	0.0032871645	0.0042411851	0.0080430843	0.0057003349	0.0157310000	0	0	209321984	-0.0898579285	-0.0021643050	-0.0119142309
17	1.3200000000	0.0086433161	0.0045001340	0.0086433161	0.0055466137	0.0156800000	0	0	209321984	-0.1118188500	-0.0024631917	-0.0132126100
18	1.3600000000	0.0042133527	0.0044842017	0.0086433161	0.0055660033	0.0153460000	0	0	209321984	-0.1194990575	-0.0007338734	-0.0150633566
19	1.4000000000	0.0027560755	0.0043932477	0.0086433161	0.0059136146	0.0156870000	0	0	209321984	-0.1267261803	0.0001692193	-0.0165521540
20	1.4400000000	0.0047558560	0.0044113781	0.0086433161	0.0059757360	0.0156280000	0	0	209321984	-0.1359453946	-0.0030718211	-0.0153424693
21	1.4800000000	0.0039382773	0.0043888495	0.0086433161	0.0058259501	0.0156000000	0	0	209321984	-0.1483269185	-0.0021285166	-0.0157038532
22	1.5200000000	0.0023916096	0.0042980658	0.0086433161	0.0057210518	0.0153170000	0	0	209321984	-0.1529071778	-0.0013773667	-0.0165249780
23	1.5600000000	0.0033923038	0.0042586849	0.0086433161	0.0057146295	0.0152550000	0	0	209321984	-0.1647129953	-0.0067662713	-0.0175946467
24	1.6000000000	0.0021062507	0.0041690001	0.0086433161	0.0056978674	0.0153260000	0	0	209321984	-0.1738003939	-0.0053638085	-0.0140092829
25	1.6400000000	0.0033107980	0.0041346720	0.0086433161	0.0055794473	0.0151720000	0	0	209321984	-0.1857563555	-0.0045372550	-0.0125690624
26	1.7200000000	0.0051748864	0.0041746803	0.0086433161	0.0056304710	0.0151230000	0	0	209321984	-0.1967062056	-0.0031456423	-0.0107986443
27	1.8000000000	0.0027544603	0.0041220795	0.0086433161	0.0058334342	0.0151990000	0	0	209321984	-0.2136941850	0.0002419209	-0.0074712317
28	1.9200000000	0.0023311032	0.0040581161	0.0086433161	0.0063118633	0.0152190000	0	0	209321984	-0.2325071543	-0.0001608243	-0.0057471097
29	2.1200000000	0.0027249001	0.0040121431	0.0086433161	0.0063189619	0.0155400000	0	0	209321984	-0.2636937797	-0.0050516296	-0.0002976172
30	2.2000000000	0.0020034777	0.0039451876	0.0086433161	0.0065695024	0.0155100000	0	0	209321984	-0.2841721177	-0.0050784461	0.0079494379
31	2.2800000000	0.0042688092	0.0039556270	0.0086433161	0.0065129856	0.0151310000	0	0	209321984	-0.2958030701	-0.0058975834	0.0111254472
32	2.3200000000	0.0051101120	0.0039917047	0.0086433161	0.0066378950	0.0148490000	0	0	209321984	-0.3138619363	-0.0101418747	0.0175585095
33	2.4400000000	0.0043202830	0.0040016616	0.0086433161	0.0079758187	0.0149750000	0	0	209321984	-0.3484229147	-0.0070784069	0.0271982495
34	2.4800000000	0.0027839160	0.0039658456	0.0086433161	0.0080807078	0.0151950000	0	0	209321984	-0.3560529947	-0.0094202412	0.0271906834
35	2.5200000000	0.0025955276	0.0039266936	0.0086433161	0.0083585348	0.0149430000	0	0	209321984	-0.3678660989	-0.0084240818	0.0315246023
36	2.5600000000	0.0029512816	0.0038995988	0.0086433161	0.0086115963	0.0147430000	0	0	209321984	-0.3841013610	-0.0100610284	0.0339782350
37	2.6000000000	0.0051649301	0.0039337970	0.0086433161	0.0086796545	0.0147260000	0	0	209321984	-0.3944595456	-0.0111323455	0.0372989662
38	2.7200000000	0.0035591852	0.0039239388	0.0086433161	0.0086839847	0.0147530000	0	0	209321984	-0.4252066016	-0.0041094120	0.0438826866
39	2.8000000000	0.0018314150	0.0038702843	0.0086433161	0.0087123470	0.0146080000	0	0	209321984	-0.4397634566	-0.0030875984	0.0387400687
40	3.0000000000	0.0104406541	0.0040345436	0.0104406541	0.0135442352	0.0153180000	0	0	209321984	-0.4764263630	0.0104249837	0.0326107964
41	3.0800000000	0.0110993870	0.0042068568	0.0110993870	0.0134685702	0.0158480000	0	0	209321984	-0.4757460952	0.0115704909	0.0187088102
42	3.1600000000	0.0160963591	0.0044899402	0.0160963591	0.0133527197	0.0150510000	0	0	209321984	-0.4917185009	0.0149673987	0.0090295076
43	3.2000000000	0.0119383810	0.0046631598	0.0160963591	0.0132163665	0.0149420000	0	0	209321984	-0.4992751181	0.0141897490	0.0104450658
44	3.2800000000	0.0161486194	0.0049241929	0.0161486194	0.0132586172	0.0148660000	0	0	209321984	-0.5189027786	0.0137837231	0.0077168941
45	3.3600000000	0.0188409369	0.0052334539	0.0188409369	0.0131706895	0.0147090000	0	0	209321984	-0.5490746498	0.0175734311	0.0109280199
46	3.4800000000	0.0218769889	0.0055952699	0.0218769889	0.0143775155	0.0146870000	0	0	209321984	-0.5869171619	0.0097571276	0.0134274513
47	3.7200000000	0.0191689208	0.0058840710	0.0218769889	0.0160701227	0.0144150000	0	0	209321984	-0.6444535851	0.0095098121	0.0157888979
