SLAMBench Report run started:	2020-03-02 07:33:16

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-RND-040.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0145210000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0029565154	0.0014782577	0.0029565154	0.0022120990	0.0217490000	0	0	209321984	-0.0004072020	0.0007513251	-0.0007145872
3	0.2000000000	0.0034137040	0.0021234065	0.0034137040	0.0021510219	0.0161500000	0	0	209321984	-0.0043402342	-0.0016457470	0.0006600493
4	0.2400000000	0.0018706333	0.0020602132	0.0034137040	0.0025747460	0.0155570000	0	0	209321984	-0.0048225876	0.0028972693	-0.0004310794
5	0.2800000000	0.0022152883	0.0020912282	0.0034137040	0.0022671178	0.0326910000	0	0	209321984	-0.0053036287	0.0027407606	-0.0004610195
6	0.3600000000	0.0019031285	0.0020598783	0.0034137040	0.0026756011	0.0163880000	0	0	209321984	-0.0075473324	0.0028911107	-0.0000306398
7	0.4800000000	0.0017400902	0.0020141942	0.0034137040	0.0047291320	0.0158090000	0	0	209321984	-0.0117786890	-0.0002915286	-0.0002858442
8	0.6400000000	0.0032621126	0.0021701840	0.0034137040	0.0047334532	0.0158040000	0	0	209321984	-0.0147192916	-0.0026496029	-0.0018889415
9	0.8000000000	0.0035508499	0.0023235914	0.0035508499	0.0049989587	0.0153760000	0	0	209321984	-0.0224908926	-0.0007770731	-0.0014605527
10	0.8400000000	0.0045519699	0.0025464292	0.0045519699	0.0047793319	0.0155150000	0	0	209321984	-0.0286295004	-0.0042885835	-0.0023824114
11	0.9600000000	0.0040345457	0.0026817125	0.0045519699	0.0045836172	0.0152630000	0	0	209321984	-0.0372067839	-0.0009351418	-0.0059195939
12	1.0000000000	0.0050326348	0.0028776227	0.0050326348	0.0043796380	0.0149240000	0	0	209321984	-0.0427234732	-0.0025783866	-0.0058717830
13	1.0800000000	0.0047427043	0.0030210905	0.0050326348	0.0046294708	0.0154360000	0	0	209321984	-0.0539287254	-0.0028205896	-0.0072266636
14	1.1200000000	0.0035774314	0.0030608292	0.0050326348	0.0045837642	0.0154430000	0	0	209321984	-0.0614139326	-0.0012225846	-0.0113229398
15	1.2400000000	0.0057100649	0.0032374449	0.0057100649	0.0051369301	0.0148940000	0	0	209321984	-0.0810004473	-0.0008364383	-0.0127035631
16	1.4000000000	0.0066685323	0.0034518879	0.0066685323	0.0073088982	0.0151150000	0	0	209321984	-0.1233256310	-0.0013851731	-0.0177947283
17	1.4400000000	0.0023544519	0.0033873328	0.0066685323	0.0071278097	0.0150610000	0	0	209321984	-0.1383789778	-0.0022989151	-0.0152362604
