SLAMBench Report run started:	2020-03-03 05:47:37

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-COM-0.00002.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 2e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4413970000	0.0542910000	0.0165740000	0.0314440000	0.0000040000	0.3389860000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0800000000	0.0055015511	0.0032523967	0.0055015511	0.0058667758	0.0979820000	0.0535860000	0.0111400000	0.0314290000	0.0000010000	0.0017990000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.1200000000	0.0036504185	0.0033850706	0.0055015511	0.0043937274	0.0979040000	0.0536020000	0.0111360000	0.0313490000	0.0000010000	0.0017890000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1600000000	0.0067101396	0.0042163378	0.0067101396	0.0038034744	0.4249060000	0.0535990000	0.0111860000	0.0314950000	0.3267450000	0.0018520000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.2000000000	0.0037247688	0.0041180240	0.0067101396	0.0043854693	0.7907230000	0.0521660000	0.0422540000	0.0315150000	0.3298360000	0.3349220000	0	0	209321984	3.9982066154	4.0010972023	3.9999260902
6	0.2400000000	0.0036412445	0.0040385608	0.0067101396	0.0039302890	0.4257400000	0.0536020000	0.0402030000	0.0000010000	0.3299880000	0.0019180000	0	0	209321984	3.9980072975	4.0010590553	4.0002579689
7	0.2800000000	0.0037029723	0.0039906196	0.0067101396	0.0035928253	0.4618410000	0.0535900000	0.0448000000	0.0315090000	0.3300080000	0.0019030000	0	0	209321984	3.9966320992	4.0013613701	4.0001235008
8	0.3200000000	0.0036262812	0.0039450773	0.0067101396	0.0033949623	0.4302350000	0.0535920000	0.0446920000	0.0000000000	0.3299710000	0.0019460000	0	0	209321984	3.9945657253	4.0009260178	4.0001845360
9	0.3600000000	0.0035934849	0.0039060114	0.0067101396	0.0032458345	0.7943540000	0.0535970000	0.0448440000	0.0315880000	0.3295560000	0.3347300000	0	0	209321984	3.9944329262	4.0021147728	4.0007672310
10	0.4000000000	0.0035119329	0.0038666036	0.0067101396	0.0032332821	0.4291610000	0.0536040000	0.0512190000	0.0000000000	0.3224510000	0.0018510000	0	0	209321984	3.9933145046	4.0015130043	4.0015254021
11	0.4400000000	0.0035172494	0.0038348441	0.0067101396	0.0033110919	0.4697790000	0.0521670000	0.0538680000	0.0316740000	0.3300800000	0.0019520000	0	0	209321984	3.9933111668	4.0012545586	4.0006971359
12	0.4800000000	0.0035215239	0.0038087341	0.0067101396	0.0033346163	0.4459810000	0.0535940000	0.0606070000	0.0000010000	0.3298270000	0.0019180000	0	0	209321984	3.9908401966	4.0011873245	4.0012955666
13	0.5200000000	0.0035601638	0.0037896133	0.0067101396	0.0032140513	0.8061490000	0.0535990000	0.0694470000	0.0317040000	0.3234540000	0.3279070000	0	0	209321984	3.9909229279	4.0023179054	4.0006847382
14	0.5600000000	0.0035474943	0.0037723191	0.0067101396	0.0030994611	0.4256850000	0.0521770000	0.0489160000	0.0000000000	0.3227100000	0.0018400000	0	0	209321984	3.9877865314	4.0035686493	4.0014972687
15	0.6000000000	0.0035796268	0.0037594729	0.0067101396	0.0030120103	0.4762050000	0.0521680000	0.0604380000	0.0317570000	0.3298870000	0.0019170000	0	0	209321984	3.9886214733	4.0018882751	4.0004100800
16	0.6400000000	0.0035704125	0.0037476567	0.0067101396	0.0029382227	0.4288670000	0.0535890000	0.0426280000	0.0000000000	0.3307160000	0.0018980000	0	0	209321984	3.9865100384	4.0006103516	3.9990074635
17	0.6800000000	0.0036112473	0.0037396326	0.0067101396	0.0028458109	0.8026550000	0.0535820000	0.0515950000	0.0317160000	0.3301750000	0.3355460000	0	0	209321984	3.9850158691	4.0007467270	3.9999861717
18	0.7200000000	0.0036307394	0.0037335830	0.0067101396	0.0028085927	0.4267550000	0.0535960000	0.0405050000	0.0000010000	0.3306960000	0.0019180000	0	0	209321984	3.9835062027	4.0011491776	3.9995751381
19	0.7600000000	0.0036279964	0.0037280258	0.0067101396	0.0028393579	0.4692310000	0.0536000000	0.0516670000	0.0317020000	0.3303030000	0.0019190000	0	0	209321984	3.9804484844	3.9998934269	3.9992215633
20	0.8000000000	0.0038076160	0.0037320053	0.0067101396	0.0027734201	0.4369130000	0.0535940000	0.0518370000	0.0000010000	0.3295110000	0.0019270000	0	0	209321984	3.9776446819	4.0009055138	3.9996089935
21	0.8400000000	0.0038507984	0.0037376621	0.0067101396	0.0027113510	0.7939430000	0.0535790000	0.0427860000	0.0316770000	0.3304200000	0.3354400000	0	0	209321984	3.9719944000	4.0001111031	3.9991436005
22	0.8800000000	0.0039072749	0.0037453718	0.0067101396	0.0026461459	0.4363820000	0.0535780000	0.0493840000	0.0000010000	0.3314560000	0.0019240000	0	0	209321984	3.9726665020	3.9991805553	3.9974677563
23	0.9200000000	0.0038641989	0.0037505382	0.0067101396	0.0025856185	0.4699420000	0.0535780000	0.0517070000	0.0317180000	0.3309930000	0.0019050000	0	0	209321984	3.9642314911	4.0006799698	3.9968681335
24	0.9600000000	0.0039502732	0.0037588605	0.0067101396	0.0025594696	0.4387950000	0.0535910000	0.0517230000	0.0000010000	0.3314770000	0.0019580000	0	0	209321984	3.9631376266	4.0020470619	3.9960889816
25	1.0000000000	0.0039282427	0.0037656357	0.0067101396	0.0025074300	0.7952390000	0.0535730000	0.0425660000	0.0316590000	0.3309930000	0.3364040000	0	0	209321984	3.9568662643	4.0004305840	3.9969527721
26	1.0400000000	0.0038950008	0.0037706113	0.0067101396	0.0025361928	0.4391810000	0.0535880000	0.0516280000	0.0000010000	0.3320050000	0.0019180000	0	0	209321984	3.9511117935	3.9999008179	3.9947977066
27	1.0800000000	0.0038656392	0.0037741309	0.0067101396	0.0026188621	0.4697450000	0.0536060000	0.0518950000	0.0318530000	0.3304330000	0.0019130000	0	0	209321984	3.9462759495	4.0016555786	3.9945023060
28	1.1200000000	0.0038573812	0.0037771041	0.0067101396	0.0027061957	0.4658160000	0.0535890000	0.0782910000	0.0000010000	0.3319650000	0.0019250000	0	0	209321984	3.9402196407	4.0018177032	3.9917643070
29	1.1600000000	0.0039998749	0.0037847859	0.0067101396	0.0027105650	0.7987720000	0.0536050000	0.0428020000	0.0318080000	0.3324470000	0.3380640000	0	0	209321984	3.9307398796	4.0010838509	3.9937827587
30	1.2000000000	0.0039391653	0.0037899318	0.0067101396	0.0026890361	0.4409290000	0.0536020000	0.0518080000	0.0000000000	0.3335270000	0.0019470000	0	0	209321984	3.9242165089	4.0018620491	3.9919514656
31	1.2400000000	0.0040119067	0.0037970923	0.0067101396	0.0026910280	0.4724860000	0.0535940000	0.0536140000	0.0316400000	0.3316760000	0.0019160000	0	0	209321984	3.9175000191	4.0022249222	3.9896693230
32	1.2800000000	0.0040686997	0.0038055800	0.0067101396	0.0027377273	0.4412310000	0.0535930000	0.0519330000	0.0000020000	0.3337350000	0.0019230000	0	0	209321984	3.9119334221	4.0020465851	3.9894690514
33	1.3200000000	0.0040725186	0.0038136691	0.0067101396	0.0027077178	0.8108980000	0.0535840000	0.0517350000	0.0319510000	0.3339630000	0.3396200000	0	0	209321984	3.8836584091	4.0013532639	3.9891731739
34	1.3600000000	0.0040929643	0.0038218837	0.0067101396	0.0029818684	0.4311780000	0.0535870000	0.0426530000	0.0000000000	0.3329410000	0.0019490000	0	0	209321984	3.8802149296	4.0021810532	3.9865138531
35	1.4000000000	0.0041210777	0.0038304321	0.0067101396	0.0035176572	0.4645340000	0.0535860000	0.0429220000	0.0318180000	0.3342350000	0.0019260000	0	0	209321984	3.8745625019	4.0029964447	3.9847254753
36	1.4400000000	0.0041490528	0.0038392826	0.0067101396	0.0035601460	0.4420260000	0.0535800000	0.0520530000	0.0000000000	0.3344630000	0.0018840000	0	0	209321984	3.8637130260	4.0009961128	3.9859962463
37	1.4800000000	0.0042401715	0.0038501175	0.0067101396	0.0035178880	0.8077920000	0.0535800000	0.0516720000	0.0320900000	0.3312850000	0.3391170000	0	0	209321984	3.8519675732	4.0004544258	3.9867718220
38	1.5200000000	0.0040758164	0.0038560569	0.0067101396	0.0034778614	0.4336610000	0.0535790000	0.0428580000	0.0000000000	0.3352570000	0.0019180000	0	0	209321984	3.8485438824	3.9999020100	3.9834423065
39	1.5600000000	0.0040682075	0.0038614967	0.0067101396	0.0034616563	0.4656880000	0.0535890000	0.0426480000	0.0320290000	0.3354070000	0.0019610000	0	0	209321984	3.8385839462	3.9982373714	3.9841418266
40	1.6000000000	0.0042105904	0.0038702240	0.0067101396	0.0034810620	0.4440840000	0.0536050000	0.0517440000	0.0000010000	0.3367660000	0.0019150000	0	0	209321984	3.8282809258	3.9972176552	3.9859094620
41	1.6400000000	0.0040704934	0.0038751086	0.0067101396	0.0034423184	0.8119220000	0.0531080000	0.0488320000	0.0320790000	0.3361010000	0.3417470000	0	0	209321984	3.8148000240	3.9986200333	3.9881315231
42	1.6800000000	0.0042193271	0.0038833043	0.0067101396	0.0034196981	0.4429520000	0.0535940000	0.0518570000	0.0000010000	0.3355240000	0.0019240000	0	0	209321984	3.8081722260	3.9990675449	3.9914917946
43	1.7200000000	0.0042519369	0.0038918772	0.0067101396	0.0034518524	0.4687260000	0.0535100000	0.0452550000	0.0320740000	0.3359130000	0.0019190000	0	0	209321984	3.8018817902	3.9984622002	3.9893896580
44	1.7600000000	0.0042578080	0.0039001938	0.0067101396	0.0034731696	0.4356820000	0.0535940000	0.0452750000	0.0000010000	0.3348320000	0.0019270000	0	0	209321984	3.7934918404	4.0004014969	3.9931085110
45	1.8000000000	0.0043471130	0.0039101253	0.0067101396	0.0034789069	0.8161760000	0.0535950000	0.0538720000	0.0320120000	0.3355020000	0.3411420000	0	0	209321984	3.7875893116	4.0010004044	3.9931960106
46	1.8400000000	0.0043736519	0.0039202020	0.0067101396	0.0035893424	0.4341970000	0.0536030000	0.0430510000	0.0000010000	0.3355880000	0.0018920000	0	0	209321984	3.7845733166	3.9992504120	3.9929015636
47	1.8800000000	0.0043329000	0.0039289828	0.0067101396	0.0036336694	0.4736170000	0.0535970000	0.0519110000	0.0320390000	0.3340930000	0.0019250000	0	0	209321984	3.7800669670	3.9988830090	3.9939839840
48	1.9200000000	0.0045296550	0.0039414968	0.0067101396	0.0035949338	0.4343940000	0.0534810000	0.0430360000	0.0000000000	0.3358600000	0.0019610000	0	0	209321984	3.7729070187	4.0001497269	3.9948139191
49	1.9600000000	0.0045670313	0.0039542628	0.0067101396	0.0035810467	0.8128720000	0.0535960000	0.0517470000	0.0318390000	0.3348580000	0.3407760000	0	0	209321984	3.7586002350	3.9998395443	3.9997911453
50	2.0000000000	0.0044126841	0.0039634312	0.0067101396	0.0035542337	0.4432730000	0.0536000000	0.0518700000	0.0000010000	0.3358300000	0.0019150000	0	0	209321984	3.7601161003	3.9996774197	3.9967579842
