SLAMBench Report run started:	2020-03-05 01:19:13

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-COM-0.00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4410200000	0.0541660000	0.0166540000	0.0315920000	0.0000030000	0.3385070000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0980820000	0.0536040000	0.0111770000	0.0314880000	0.0000010000	0.0017850000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.4000000000	0.0102674309	0.0049736972	0.0102674309	0.0068198254	0.0980360000	0.0535940000	0.0111920000	0.0314030000	0.0000010000	0.0018180000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.4800000000	0.0126696480	0.0068976849	0.0126696480	0.0064372932	0.4301710000	0.0536020000	0.0111960000	0.0314460000	0.3320080000	0.0018890000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.6000000000	0.0065241181	0.0068229716	0.0126696480	0.0085870505	0.8029290000	0.0535900000	0.0523370000	0.0316070000	0.3300740000	0.3352850000	0	0	209321984	3.9916794300	4.0014920235	3.9999754429
6	0.6400000000	0.0064788144	0.0067656120	0.0126696480	0.0077167120	0.4386830000	0.0535770000	0.0515230000	0.0000000000	0.3316410000	0.0019110000	0	0	209321984	3.9895317554	4.0003733635	3.9986071587
7	0.7200000000	0.0064736078	0.0067238971	0.0126696480	0.0071076014	0.4686570000	0.0535870000	0.0531460000	0.0315640000	0.3284570000	0.0018690000	0	0	209321984	3.9864878654	4.0008516312	3.9992015362
8	0.8000000000	0.0064397361	0.0066883770	0.0126696480	0.0068121666	0.4569380000	0.0535940000	0.0694220000	0.0000010000	0.3319170000	0.0019710000	0	0	209321984	3.9804062843	4.0007729530	3.9992413521
9	0.8400000000	0.0065273764	0.0066704881	0.0126696480	0.0063832825	0.7918180000	0.0535900000	0.0427440000	0.0317390000	0.3292140000	0.3344930000	0	0	209321984	3.9748151302	3.9998950958	3.9987869263
10	0.8800000000	0.0065588360	0.0066593228	0.0126696480	0.0060183907	0.4379950000	0.0535780000	0.0515200000	0.0000010000	0.3309380000	0.0019230000	0	0	209321984	3.9754347801	3.9990885258	3.9971358776
11	0.9200000000	0.0065571526	0.0066500346	0.0126696480	0.0057099644	0.4695400000	0.0535980000	0.0515670000	0.0316840000	0.3307230000	0.0019310000	0	0	209321984	3.9670524597	4.0005645752	3.9965288639
12	0.9600000000	0.0066096187	0.0066466666	0.0126696480	0.0054767346	0.4386810000	0.0535720000	0.0519010000	0.0000010000	0.3312670000	0.0019050000	0	0	209321984	3.9659233093	4.0020341873	3.9957914352
13	1.0000000000	0.0065454831	0.0066388833	0.0126696480	0.0052449996	0.8027380000	0.0535760000	0.0517180000	0.0317530000	0.3296530000	0.3359990000	0	0	209321984	3.9595882893	4.0004653931	3.9966733456
14	1.0400000000	0.0065832110	0.0066349067	0.0126696480	0.0051211994	0.4393830000	0.0535680000	0.0517000000	0.0000000000	0.3321710000	0.0019070000	0	0	209321984	3.9539210796	4.0000195503	3.9945235252
15	1.0800000000	0.0065426733	0.0066287578	0.0126696480	0.0050585090	0.4587560000	0.0535900000	0.0427250000	0.0316190000	0.3288510000	0.0019330000	0	0	209321984	3.9490678310	4.0017843246	3.9942510128
16	1.1200000000	0.0065125199	0.0066214929	0.0126696480	0.0050110383	0.4479890000	0.0525770000	0.0605800000	0.0000000000	0.3328550000	0.0019360000	0	0	209321984	3.9429426193	4.0021219254	3.9915361404
