SLAMBench Report run started:	2020-03-03 09:39:15

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-DEP-0.00003.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 3e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4398410000	0.0541500000	0.0165220000	0.0312720000	0.0000030000	0.3377890000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0980710000	0.0536860000	0.0111060000	0.0314360000	0.0000010000	0.0018140000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.5600000000	0.0159559101	0.0068698569	0.0159559101	0.0076221510	0.0988300000	0.0544420000	0.0111220000	0.0314270000	0.0000010000	0.0018080000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6800000000	0.0184614863	0.0097677643	0.0184614863	0.0074642059	0.4314660000	0.0544360000	0.0111780000	0.0314470000	0.3324910000	0.0018870000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7600000000	0.0094206845	0.0096983483	0.0184614863	0.0098244223	0.7907610000	0.0544370000	0.0408970000	0.0315740000	0.3282970000	0.3355240000	0	0	209321984	3.9864079952	3.9991834164	3.9990744591
6	0.8000000000	0.0094030919	0.0096491389	0.0184614863	0.0088019244	0.4390660000	0.0544360000	0.0517220000	0.0000000000	0.3309440000	0.0019350000	0	0	209321984	3.9834246635	4.0002746582	3.9994871616
7	0.8400000000	0.0094475942	0.0096203468	0.0184614863	0.0080439846	0.4725090000	0.0544330000	0.0538150000	0.0315480000	0.3307820000	0.0018950000	0	0	209321984	3.9777805805	3.9994814396	3.9990050793
8	0.8800000000	0.0093924059	0.0095918542	0.0184614863	0.0074473866	0.4308970000	0.0544310000	0.0425740000	0.0000000000	0.3319430000	0.0019180000	0	0	209321984	3.9783160686	3.9987273216	3.9973561764
9	0.9200000000	0.0093858046	0.0095689598	0.0184614863	0.0069667005	0.8063360000	0.0544290000	0.0537420000	0.0316120000	0.3305950000	0.3359240000	0	0	209321984	3.9699258804	4.0002493858	3.9967455864
10	0.9600000000	0.0095311170	0.0095651755	0.0184614863	0.0065966238	0.4387900000	0.0540540000	0.0517590000	0.0000000000	0.3310160000	0.0019280000	0	0	209321984	3.9689152241	4.0016779900	3.9959788322
11	1.0000000000	0.0094749145	0.0095569700	0.0184614863	0.0062594682	0.4698080000	0.0544350000	0.0515070000	0.0316940000	0.3302260000	0.0019120000	0	0	209321984	3.9625854492	4.0001215935	3.9968471527
12	1.0400000000	0.0093734525	0.0095416769	0.0184614863	0.0060453369	0.4402080000	0.0544230000	0.0518090000	0.0000010000	0.3320490000	0.0018920000	0	0	209321984	3.9567940235	3.9997549057	3.9947021008
13	1.0800000000	0.0093015768	0.0095232076	0.0184614863	0.0059087517	0.8062240000	0.0544310000	0.0519180000	0.0317110000	0.3313170000	0.3368150000	0	0	209321984	3.9519104958	4.0015087128	3.9944148064
