SLAMBench Report run started:	2020-03-04 05:23:39

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-DEP-0.00008.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 8.000000000000001e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4411860000	0.0542870000	0.0165750000	0.0314170000	0.0000040000	0.3387990000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0981690000	0.0535960000	0.0111820000	0.0314960000	0.0000010000	0.0018650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.5600000000	0.0159559101	0.0068698569	0.0159559101	0.0076221510	0.0980240000	0.0535840000	0.0111850000	0.0314310000	0.0000010000	0.0017970000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6800000000	0.0184614863	0.0097677643	0.0184614863	0.0074642059	0.4305580000	0.0535790000	0.0111710000	0.0314330000	0.3324690000	0.0018770000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7600000000	0.0094206845	0.0096983483	0.0184614863	0.0098244223	0.7914850000	0.0535800000	0.0407470000	0.0314370000	0.3302950000	0.3353940000	0	0	209321984	3.9864079952	3.9991834164	3.9990744591
6	0.8400000000	0.0093976408	0.0096482304	0.0184614863	0.0087881967	0.4313220000	0.0535680000	0.0448780000	0.0000010000	0.3309510000	0.0018950000	0	0	209321984	3.9777290821	3.9995064735	3.9990081787
7	0.8800000000	0.0094924038	0.0096259695	0.0184614863	0.0080226152	0.4580870000	0.0535810000	0.0425570000	0.0316340000	0.3283420000	0.0019410000	0	0	209321984	3.9784314632	3.9984805584	3.9973247051
8	0.9200000000	0.0094533926	0.0096043974	0.0184614863	0.0074280079	0.4384230000	0.0535640000	0.0516980000	0.0000010000	0.3312350000	0.0018950000	0	0	209321984	3.9699962139	4.0002121925	3.9967405796
9	0.9600000000	0.0095591014	0.0095993645	0.0184614863	0.0069767512	0.8037620000	0.0535770000	0.0518960000	0.0321200000	0.3304900000	0.3356440000	0	0	209321984	3.9689648151	4.0014262199	3.9959380627
10	1.0000000000	0.0094721122	0.0095866392	0.0184614863	0.0065786879	0.4370220000	0.0533110000	0.0516150000	0.0000010000	0.3301190000	0.0019430000	0	0	209321984	3.9625823498	4.0001268387	3.9968485832
