SLAMBench Report run started:	2020-03-05 01:13:40

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-DEP-0.00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4419950000	0.0549580000	0.0166040000	0.0314280000	0.0000040000	0.3389030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0969380000	0.0528430000	0.0110920000	0.0311910000	0.0000010000	0.0017850000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.5600000000	0.0159559101	0.0068698569	0.0159559101	0.0076221510	0.0986940000	0.0542760000	0.0111690000	0.0314320000	0.0000020000	0.0017870000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6800000000	0.0184614863	0.0097677643	0.0184614863	0.0074642059	0.4227270000	0.0528350000	0.0111010000	0.0312230000	0.3256630000	0.0018760000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7600000000	0.0094206845	0.0096983483	0.0184614863	0.0098244223	0.7925840000	0.0542770000	0.0407940000	0.0317050000	0.3301620000	0.3356130000	0	0	209321984	3.9864079952	3.9991834164	3.9990744591
6	0.8400000000	0.0093976408	0.0096482304	0.0184614863	0.0087881967	0.4326520000	0.0542890000	0.0449760000	0.0000000000	0.3314560000	0.0019010000	0	0	209321984	3.9777290821	3.9995064735	3.9990081787
7	0.9200000000	0.0095744813	0.0096376948	0.0184614863	0.0080242225	0.4544380000	0.0542600000	0.0426450000	0.0316980000	0.3239150000	0.0018910000	0	0	209321984	3.9701323509	3.9999697208	3.9967098236
8	0.9600000000	0.0095919073	0.0096319714	0.0184614863	0.0074666139	0.4411670000	0.0542650000	0.0539780000	0.0000010000	0.3310000000	0.0018930000	0	0	209321984	3.9689950943	4.0014667511	3.9959430695
9	1.0000000000	0.0095117316	0.0096186114	0.0184614863	0.0069856746	0.8034880000	0.0542580000	0.0515820000	0.0316820000	0.3302480000	0.3356870000	0	0	209321984	3.9626421928	3.9998965263	3.9968101978
10	1.0400000000	0.0094267279	0.0095994230	0.0184614863	0.0066740221	0.4404280000	0.0542590000	0.0518860000	0.0000010000	0.3323210000	0.0019300000	0	0	209321984	3.9568750858	3.9995410442	3.9946663380
11	1.0800000000	0.0093537597	0.0095770900	0.0184614863	0.0064627149	0.4711510000	0.0542650000	0.0517570000	0.0317370000	0.3314370000	0.0019220000	0	0	209321984	3.9519877434	4.0013165474	3.9943809509
12	1.1200000000	0.0093305781	0.0095565474	0.0184614863	0.0062995403	0.4404560000	0.0542660000	0.0516920000	0.0000010000	0.3325370000	0.0019250000	0	0	209321984	3.9458882809	4.0016479492	3.9916551113
13	1.1600000000	0.0094350586	0.0095472021	0.0184614863	0.0060840620	0.8091850000	0.0542910000	0.0540100000	0.0318080000	0.3312500000	0.3377890000	0	0	209321984	3.9363732338	4.0009703636	3.9936630726
14	1.2000000000	0.0092639606	0.0095269705	0.0184614863	0.0058711121	0.4404150000	0.0542630000	0.0517810000	0.0000000000	0.3324670000	0.0018680000	0	0	209321984	3.9297509193	4.0017509460	3.9918344021
15	1.2400000000	0.0093559539	0.0095155694	0.0184614863	0.0057029986	0.4692290000	0.0528110000	0.0494040000	0.0317900000	0.3332850000	0.0019040000	0	0	209321984	3.9230513573	4.0021204948	3.9895341396
16	1.2800000000	0.0094501404	0.0095114801	0.0184614863	0.0056063231	0.4351500000	0.0542570000	0.0451600000	0.0000000000	0.3337720000	0.0019240000	0	0	209321984	3.9175636768	4.0020284653	3.9893476963
17	1.3200000000	0.0094807884	0.0095096747	0.0184614863	0.0054416656	0.8087320000	0.0542600000	0.0518420000	0.0318910000	0.3344250000	0.3362780000	0	0	209321984	3.8892967701	4.0014548302	3.9890279770
18	1.3600000000	0.0093820710	0.0095025856	0.0184614863	0.0055884217	0.4256510000	0.0528300000	0.0425920000	0.0000000000	0.3283370000	0.0018540000	0	0	209321984	3.8857481480	4.0023050308	3.9863536358
19	1.4000000000	0.0094458051	0.0094995972	0.0184614863	0.0060454520	0.4640490000	0.0528360000	0.0427810000	0.0318410000	0.3346200000	0.0019290000	0	0	209321984	3.8801066875	4.0031833649	3.9845848083
20	1.4400000000	0.0094506983	0.0094971522	0.0184614863	0.0059823732	0.4326190000	0.0542700000	0.0427980000	0.0000000000	0.3336340000	0.0018770000	0	0	209321984	3.8692212105	4.0013155937	3.9858443737
21	1.4800000000	0.0095116440	0.0094978423	0.0184614863	0.0058387829	0.8122190000	0.0542670000	0.0517380000	0.0319890000	0.3345030000	0.3396800000	0	0	209321984	3.8574419022	4.0007977486	3.9865963459
22	1.5200000000	0.0094333384	0.0094949103	0.0184614863	0.0057049307	0.4436870000	0.0542600000	0.0517830000	0.0000000000	0.3357040000	0.0018980000	0	0	209321984	3.8541891575	4.0001101494	3.9832201004
23	1.5600000000	0.0093759419	0.0094897378	0.0184614863	0.0056070516	0.4595360000	0.0542550000	0.0427840000	0.0319390000	0.3286590000	0.0018570000	0	0	209321984	3.8441529274	3.9985499382	3.9839324951
24	1.6000000000	0.0094453013	0.0094878863	0.0184614863	0.0055525299	0.4318740000	0.0542580000	0.0446750000	0.0000010000	0.3309930000	0.0019080000	0	0	209321984	3.8337943554	3.9975469112	3.9856762886
25	1.6400000000	0.0094440226	0.0094861317	0.0184614863	0.0054402504	0.8153080000	0.0542590000	0.0515410000	0.0320520000	0.3361050000	0.3413090000	0	0	209321984	3.8204138279	3.9991333485	3.9879179001
26	1.7200000000	0.0094960453	0.0094865130	0.0184614863	0.0055138398	0.4380050000	0.0542610000	0.0451850000	0.0000000000	0.3365910000	0.0019280000	0	0	209321984	3.8074040413	3.9988439083	3.9891474247
27	1.8000000000	0.0094657242	0.0094857430	0.0184614863	0.0056322094	0.4743170000	0.0528310000	0.0519870000	0.0320210000	0.3354730000	0.0019600000	0	0	209321984	3.7929365635	4.0014948845	3.9929635525
28	1.9200000000	0.0095090289	0.0094865747	0.0184614863	0.0060054287	0.4354050000	0.0542650000	0.0432130000	0.0000000000	0.3359220000	0.0019600000	0	0	209321984	3.7781493664	4.0006260872	3.9945523739
29	2.1200000000	0.0097417654	0.0094953744	0.0184614863	0.0060439770	0.8138420000	0.0542580000	0.0540690000	0.0325240000	0.3363480000	0.3365980000	0	0	209321984	3.7466449738	3.9968647957	3.9983179569
30	2.2000000000	0.0097377878	0.0095034548	0.0184614863	0.0063065267	0.4444540000	0.0542640000	0.0522080000	0.0000000000	0.3360280000	0.0019130000	0	0	209321984	3.7243583202	3.9981026649	4.0072216988
31	2.2800000000	0.0097408686	0.0095111133	0.0184614863	0.0062094461	0.4642570000	0.0542650000	0.0406060000	0.0320960000	0.3353140000	0.0019350000	0	0	209321984	3.7101392746	3.9947602749	4.0105443001
32	2.3200000000	0.0097742751	0.0095193371	0.0184614863	0.0063016647	0.4418650000	0.0542660000	0.0520420000	0.0000010000	0.3336320000	0.0018820000	0	0	209321984	3.6959357262	3.9972670078	4.0162806511
33	2.4400000000	0.0098660095	0.0095298423	0.0184614863	0.0078118433	0.8057020000	0.0542580000	0.0429230000	0.0321260000	0.3354930000	0.3408560000	0	0	209321984	3.6623330116	3.9946382046	4.0244536400
34	2.4800000000	0.0097674904	0.0095368320	0.0184614863	0.0078756584	0.4450810000	0.0542630000	0.0519150000	0.0000000000	0.3369010000	0.0019550000	0	0	209321984	3.6535453796	3.9936079979	4.0256180763
35	2.5200000000	0.0099740811	0.0095493248	0.0184614863	0.0081863410	0.4765970000	0.0542530000	0.0520050000	0.0322270000	0.3361550000	0.0019110000	0	0	209321984	3.6411430836	3.9949073792	4.0302047729
36	2.5600000000	0.0098945964	0.0095589157	0.0184614863	0.0084411419	0.4430180000	0.0542540000	0.0522310000	0.0000010000	0.3345850000	0.0019040000	0	0	209321984	3.6272568703	3.9947135448	4.0339155197
37	2.6000000000	0.0098572616	0.0095669791	0.0184614863	0.0084584766	0.8167700000	0.0542760000	0.0517720000	0.0323170000	0.3369960000	0.3413630000	0	0	209321984	3.6165039539	3.9960632324	4.0358676910
38	2.7200000000	0.0101114856	0.0095813082	0.0184614863	0.0085261951	0.4444930000	0.0542710000	0.0514000000	0.0000010000	0.3368310000	0.0019430000	0	0	209321984	3.5856909752	3.9988303185	4.0419716835
39	2.8000000000	0.0101377629	0.0095955763	0.0184614863	0.0085900871	0.4773850000	0.0542730000	0.0512600000	0.0325190000	0.3373660000	0.0019180000	0	0	209321984	3.5695812702	4.0012559891	4.0385327339
