SLAMBench Report run started:	2020-03-04 09:24:47

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-INT-0.00006.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 6e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4420190000	0.0543380000	0.0167720000	0.0315130000	0.0000040000	0.3392480000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0981740000	0.0535950000	0.0112330000	0.0315050000	0.0000010000	0.0018150000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0979450000	0.0535710000	0.0111770000	0.0314000000	0.0000000000	0.0017700000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4307540000	0.0535750000	0.0111750000	0.0314340000	0.3326280000	0.0019170000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	0.8091830000	0.0535820000	0.0600010000	0.0314910000	0.3293390000	0.3347410000	0	0	209321984	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.4302500000	0.0535840000	0.0446550000	0.0000010000	0.3300820000	0.0018980000	0	0	209321984	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.4590540000	0.0535950000	0.0423580000	0.0314750000	0.3297040000	0.0018920000	0	0	209321984	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.4303320000	0.0535890000	0.0449140000	0.0000010000	0.3298760000	0.0019230000	0	0	209321984	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	0.7924950000	0.0536010000	0.0425140000	0.0314030000	0.3297470000	0.3351970000	0	0	209321984	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.4278630000	0.0535920000	0.0426380000	0.0000000000	0.3296850000	0.0019140000	0	0	209321984	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.4681970000	0.0535880000	0.0514270000	0.0315100000	0.3297250000	0.0019150000	0	0	209321984	3.9919445515	4.0017886162	4.0016002655
