SLAMBench Report run started:	2020-03-04 01:45:23

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-ORB-COM-0.00007.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 6.999999999999999e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0125610000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0037919697	0.0023975392	0.0037919697	0.0016077848	0.0184730000	0	0	209321984	-0.0005630151	-0.0014064119	-0.0005557494
3	0.1600000000	0.0039707902	0.0029219562	0.0039707902	0.0014919750	0.0161910000	0	0	209321984	-0.0030933649	-0.0000762855	0.0014322129
4	0.3600000000	0.0049701333	0.0034340005	0.0049701333	0.0024600045	0.0161510000	0	0	209321984	-0.0055363523	-0.0014074362	-0.0001738364
5	0.4000000000	0.0033350440	0.0034142092	0.0049701333	0.0028624007	0.0161790000	0	0	209321984	-0.0087113669	-0.0018736176	0.0005500666
6	0.4400000000	0.0035562809	0.0034378878	0.0049701333	0.0030979839	0.0160610000	0	0	209321984	-0.0088304179	-0.0024458400	0.0001896141
7	0.5600000000	0.0034910166	0.0034454776	0.0049701333	0.0039544426	0.0155320000	0	0	209321984	-0.0154248700	-0.0006127345	0.0009938006
8	0.6000000000	0.0020508619	0.0032711507	0.0049701333	0.0037230186	0.0161240000	0	0	209321984	-0.0144830616	-0.0009609549	-0.0000184217
9	0.6400000000	0.0051493323	0.0034798375	0.0051493323	0.0035383636	0.0160450000	0	0	209321984	-0.0120204240	-0.0018403877	-0.0018007784
10	0.7200000000	0.0032523398	0.0034570877	0.0051493323	0.0036416972	0.0156760000	0	0	209321984	-0.0191447232	-0.0029967437	-0.0012365519
11	0.7600000000	0.0047688829	0.0035763418	0.0051493323	0.0035463346	0.0159670000	0	0	209321984	-0.0197500549	-0.0045821765	-0.0009430230
12	0.8400000000	0.0044534584	0.0036494349	0.0051493323	0.0033884458	0.0155600000	0	0	209321984	-0.0279264096	-0.0034256328	-0.0018796484
13	0.8800000000	0.0043576895	0.0037039160	0.0051493323	0.0032578518	0.0165120000	0	0	209321984	-0.0277490411	-0.0043919855	-0.0044917022
14	0.9200000000	0.0030753389	0.0036590177	0.0051493323	0.0031313340	0.0159260000	0	0	209321984	-0.0373470001	-0.0024479397	-0.0047444133
15	0.9600000000	0.0042860089	0.0037008171	0.0051493323	0.0030627236	0.0162620000	0	0	209321984	-0.0366314873	-0.0007078641	-0.0053034723
16	1.0000000000	0.0074017439	0.0039321250	0.0074017439	0.0030112002	0.0151570000	0	0	209321984	-0.0396518782	-0.0017150275	-0.0051130438
17	1.0400000000	0.0060621789	0.0040574223	0.0074017439	0.0029691905	0.0155270000	0	0	209321984	-0.0465212129	-0.0016257325	-0.0069017485
18	1.0800000000	0.0023863583	0.0039645854	0.0074017439	0.0030333425	0.0156600000	0	0	209321984	-0.0582822748	-0.0018074036	-0.0065320814
19	1.1200000000	0.0031737718	0.0039229636	0.0074017439	0.0032484456	0.0156380000	0	0	209321984	-0.0618314669	-0.0014366041	-0.0108501501
20	1.1600000000	0.0050406889	0.0039788499	0.0074017439	0.0033661996	0.0157070000	0	0	209321984	-0.0684269890	-0.0024282227	-0.0071978755
21	1.2000000000	0.0036590879	0.0039636231	0.0074017439	0.0032852004	0.0162380000	0	0	209321984	-0.0758895874	0.0007596262	-0.0097209271
22	1.2400000000	0.0051550511	0.0040177789	0.0074017439	0.0033670851	0.0155730000	0	0	209321984	-0.0819034427	-0.0012725227	-0.0129520465
23	1.2800000000	0.0025821626	0.0039553608	0.0074017439	0.0033607282	0.0160500000	0	0	209321984	-0.0903034136	-0.0016631365	-0.0115946680
24	1.3200000000	0.0089400271	0.0041630553	0.0089400271	0.0033203782	0.0154160000	0	0	209321984	-0.1114986166	-0.0025234430	-0.0130704865
25	1.3600000000	0.0036288940	0.0041416888	0.0089400271	0.0034229941	0.0152710000	0	0	209321984	-0.1198703796	0.0003708068	-0.0149623230
26	1.4000000000	0.0040685860	0.0041388772	0.0089400271	0.0040431983	0.0155310000	0	0	209321984	-0.1252406836	0.0006270456	-0.0169730112
27	1.4400000000	0.0039250967	0.0041309594	0.0089400271	0.0041283074	0.0155130000	0	0	209321984	-0.1365311146	-0.0024521702	-0.0150865242
28	1.4800000000	0.0041066487	0.0041300911	0.0089400271	0.0040554172	0.0156800000	0	0	209321984	-0.1482454538	-0.0026779494	-0.0154941492
29	1.5200000000	0.0018192715	0.0040504077	0.0089400271	0.0040194113	0.0156140000	0	0	209321984	-0.1537275016	-0.0015578568	-0.0163107179
30	1.5600000000	0.0041404250	0.0040534083	0.0089400271	0.0041044244	0.0156110000	0	0	209321984	-0.1657452881	-0.0075026890	-0.0173249915
31	1.6000000000	0.0013526785	0.0039662880	0.0089400271	0.0041692569	0.0151410000	0	0	209321984	-0.1749624461	-0.0051576602	-0.0140226223
32	1.6400000000	0.0030514081	0.0039376980	0.0089400271	0.0041022604	0.0157590000	0	0	209321984	-0.1866246462	-0.0051980535	-0.0122099351
33	1.6800000000	0.0038198051	0.0039341255	0.0089400271	0.0040657563	0.0152290000	0	0	209321984	-0.1918087900	-0.0035626502	-0.0095276535
34	1.7200000000	0.0021411802	0.0038813918	0.0089400271	0.0041462959	0.0151210000	0	0	209321984	-0.2007564753	-0.0030992874	-0.0098843239
35	1.7600000000	0.0039021368	0.0038819845	0.0089400271	0.0041340331	0.0150430000	0	0	209321984	-0.2075236440	-0.0041185585	-0.0080665350
36	1.8000000000	0.0027999093	0.0038519268	0.0089400271	0.0041312089	0.0151290000	0	0	209321984	-0.2137988210	-0.0022091691	-0.0080111977
37	1.8400000000	0.0022234318	0.0038079135	0.0089400271	0.0042789379	0.0155540000	0	0	209321984	-0.2199275047	-0.0039360714	-0.0066307895
38	1.9200000000	0.0050906269	0.0038416691	0.0089400271	0.0044067208	0.0152370000	0	0	209321984	-0.2358064353	-0.0006386249	-0.0052238274
39	1.9600000000	0.0041725058	0.0038501521	0.0089400271	0.0043828902	0.0154600000	0	0	209321984	-0.2493074387	-0.0024989499	-0.0003199261
40	2.0000000000	0.0023236880	0.0038119905	0.0089400271	0.0043727323	0.0150210000	0	0	209321984	-0.2444690615	-0.0033591392	-0.0026249420
41	2.0800000000	0.0064842608	0.0038771678	0.0089400271	0.0044586825	0.0155720000	0	0	209321984	-0.2546836436	-0.0070066163	-0.0055642687
42	2.1200000000	0.0029767794	0.0038557300	0.0089400271	0.0045252687	0.0152090000	0	0	209321984	-0.2641001046	-0.0059614680	-0.0000936072
43	2.1600000000	0.0048212535	0.0038781840	0.0089400271	0.0046548837	0.0153440000	0	0	209321984	-0.2674480677	-0.0031834382	0.0006493144
44	2.2000000000	0.0024519307	0.0038457692	0.0089400271	0.0046245135	0.0154560000	0	0	209321984	-0.2844456434	-0.0041498481	0.0084938128
45	2.2800000000	0.0038771371	0.0038464662	0.0089400271	0.0046001324	0.0157030000	0	0	209321984	-0.2975155115	-0.0055203545	0.0119962208
46	2.3200000000	0.0057000481	0.0038867615	0.0089400271	0.0048021057	0.0149470000	0	0	209321984	-0.3150578141	-0.0104882205	0.0176473428
47	2.4000000000	0.0025798143	0.0038589541	0.0089400271	0.0053139788	0.0150820000	0	0	209321984	-0.3240785897	-0.0091814576	0.0154065955
48	2.4400000000	0.0048269178	0.0038791200	0.0089400271	0.0054393939	0.0150710000	0	0	209321984	-0.3493060470	-0.0073165381	0.0274328031
49	2.4800000000	0.0041675400	0.0038850061	0.0089400271	0.0056263124	0.0148920000	0	0	209321984	-0.3580669761	-0.0112959789	0.0272634439
50	2.5200000000	0.0035805206	0.0038789164	0.0089400271	0.0059371103	0.0147370000	0	0	209321984	-0.3699766397	-0.0077082701	0.0320729539
51	2.5600000000	0.0024008579	0.0038499349	0.0089400271	0.0062671229	0.0156330000	0	0	209321984	-0.3841913342	-0.0093762688	0.0331547000
52	2.6000000000	0.0045129554	0.0038626853	0.0089400271	0.0063896496	0.0148000000	0	0	209321984	-0.3943057954	-0.0106485104	0.0368728228
53	2.6400000000	0.0021823614	0.0038309811	0.0089400271	0.0064257724	0.0148470000	0	0	209321984	-0.4015277922	-0.0049840123	0.0384000726
54	2.6800000000	0.0036224735	0.0038271198	0.0089400271	0.0063996536	0.0144810000	0	0	209321984	-0.4110497236	-0.0061331680	0.0373508409
55	2.7200000000	0.0048228693	0.0038452243	0.0089400271	0.0063784588	0.0153440000	0	0	209321984	-0.4253062010	-0.0090060933	0.0414131582
56	2.7600000000	0.0032296474	0.0038342319	0.0089400271	0.0063352217	0.0161920000	0	0	209321984	-0.4312679470	-0.0055726101	0.0406867713
57	2.8000000000	0.0149653265	0.0040295143	0.0149653265	0.0066127233	0.0162290000	0	0	209321984	-0.4461329877	-0.0151093174	0.0331674293
58	2.8400000000	0.0151252281	0.0042208197	0.0151252281	0.0072298260	0.0153890000	0	0	209321984	-0.4601280391	-0.0108009623	0.0356088877
59	2.8800000000	0.0185145345	0.0044630860	0.0185145345	0.0072972856	0.0152300000	0	0	209321984	-0.4719738066	-0.0120857563	0.0358856618
60	3.0000000000	0.0157844592	0.0046517756	0.0185145345	0.0082089028	0.0150410000	0	0	209321984	-0.4726562202	-0.0007773342	0.0217198879
61	3.0400000000	0.0163262710	0.0048431607	0.0185145345	0.0081779262	0.0150710000	0	0	209321984	-0.4699731767	-0.0016615854	0.0144730806
62	3.1200000000	0.0155404694	0.0050156980	0.0185145345	0.0081182236	0.0151830000	0	0	209321984	-0.4784426689	0.0039736847	0.0061544403
63	3.1600000000	0.0143749695	0.0051642578	0.0185145345	0.0080652919	0.0149330000	0	0	209321984	-0.4798825383	0.0078169499	0.0017193779
64	3.2000000000	0.0150752747	0.0053191175	0.0185145345	0.0080130172	0.0144510000	0	0	209321984	-0.4908983409	0.0066556595	0.0031929389
65	3.2400000000	0.0156504791	0.0054780615	0.0185145345	0.0079992632	0.0147020000	0	0	209321984	-0.5007529855	0.0056745047	0.0040834546
66	3.2800000000	0.0187026262	0.0056784337	0.0187026262	0.0080287954	0.0155600000	0	0	209321984	-0.5105475187	0.0052155666	0.0002650023
67	3.3600000000	0.0127570918	0.0057840853	0.0187026262	0.0080872557	0.0157100000	0	0	209321984	-0.5349572897	0.0104719903	0.0027138293
68	3.4000000000	0.0111846132	0.0058635048	0.0187026262	0.0081118818	0.0149650000	0	0	209321984	-0.5479874611	0.0127405170	0.0062617660
69	3.4800000000	0.0142282052	0.0059847324	0.0187026262	0.0087759757	0.0152350000	0	0	209321984	-0.5708919764	0.0092659257	0.0047887862
70	3.5200000000	0.0125750527	0.0060788798	0.0187026262	0.0088682354	0.0150640000	0	0	209321984	-0.5821943283	0.0109933214	0.0068469346
71	3.5600000000	0.0177272093	0.0062429408	0.0187026262	0.0089534085	0.0147770000	0	0	209321984	-0.5919294953	0.0053075859	0.0029679239
72	3.6400000000	0.0156133836	0.0063730858	0.0187026262	0.0092195737	0.0147900000	0	0	209321984	-0.6155886650	0.0066972086	0.0119675845
73	3.7200000000	0.0120877819	0.0064513693	0.0187026262	0.0091869395	0.0145700000	0	0	209321984	-0.6295249462	0.0078147715	0.0081117004
74	3.8000000000	0.0102656689	0.0065029139	0.0187026262	0.0091564126	0.0143770000	0	0	209321984	-0.6546751857	0.0107001727	0.0156841129
75	3.8800000000	0.0139993979	0.0066028671	0.0187026262	0.0091344476	0.0144790000	0	0	209321984	-0.6726353168	0.0028365338	0.0202092230
76	4.0000000000	0.0165695455	0.0067340076	0.0187026262	0.0090786273	0.0141350000	0	0	209321984	-0.6932054162	-0.0004215385	0.0321823806
77	4.0400000000	0.0131701054	0.0068175932	0.0187026262	0.0090354465	0.0148370000	0	0	209321984	-0.6969825029	0.0010370351	0.0355697721
78	4.0800000000	0.0125341928	0.0068908830	0.0187026262	0.0089833816	0.0151850000	0	0	209321984	-0.7114688754	0.0013165148	0.0439645648
79	4.1200000000	0.0179129243	0.0070304025	0.0187026262	0.0089504318	0.0152590000	0	0	209321984	-0.7227028608	-0.0053500729	0.0532400906
