SLAMBench Report run started:	2020-03-04 09:46:36

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-ORB-DEP-0.00006.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 6e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0125990000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0036155523	0.0023093305	0.0036155523	0.0015246610	0.0185150000	0	0	209321984	-0.0009043243	-0.0014850534	-0.0004963169
3	0.5600000000	0.0042954073	0.0029713561	0.0042954073	0.0128812562	0.0157950000	0	0	209321984	-0.0149651328	-0.0013125893	0.0003520997
4	0.6800000000	0.0042402595	0.0032885820	0.0042954073	0.0106869780	0.0158090000	0	0	209321984	-0.0168162622	-0.0039947843	-0.0010916529
5	0.7600000000	0.0053997352	0.0037108126	0.0053997352	0.0095138541	0.0157350000	0	0	209321984	-0.0202136599	-0.0057310164	-0.0014606484
6	0.8400000000	0.0045386031	0.0038487777	0.0053997352	0.0085248241	0.0155230000	0	0	209321984	-0.0291599203	-0.0047886404	-0.0018813405
7	0.8800000000	0.0049474235	0.0040057271	0.0053997352	0.0078098788	0.0154740000	0	0	209321984	-0.0266212858	-0.0033978131	-0.0047312798
8	0.9200000000	0.0037179966	0.0039697608	0.0053997352	0.0072687723	0.0157410000	0	0	209321984	-0.0380352736	-0.0036515002	-0.0049413261
9	0.9600000000	0.0045487238	0.0040340900	0.0053997352	0.0068927090	0.0156720000	0	0	209321984	-0.0361912735	-0.0002564037	-0.0051836479
10	1.0000000000	0.0071102451	0.0043417055	0.0071102451	0.0065319121	0.0154890000	0	0	209321984	-0.0399815477	-0.0018837062	-0.0051271133
11	1.0400000000	0.0084722647	0.0047172109	0.0084722647	0.0063061958	0.0155590000	0	0	209321984	-0.0441349410	-0.0020666749	-0.0071215155
12	1.0800000000	0.0027806957	0.0045558346	0.0084722647	0.0061386010	0.0155900000	0	0	209321984	-0.0569408499	-0.0023442730	-0.0068026828
13	1.1200000000	0.0024595410	0.0043945813	0.0084722647	0.0060284404	0.0156760000	0	0	209321984	-0.0616829805	0.0005127502	-0.0106920106
14	1.1600000000	0.0034594871	0.0043277888	0.0084722647	0.0059017736	0.0155610000	0	0	209321984	-0.0696538836	-0.0011288099	-0.0074081002
15	1.2000000000	0.0041705472	0.0043173061	0.0084722647	0.0057063831	0.0158610000	0	0	209321984	-0.0754790753	0.0015918678	-0.0096145123
16	1.2400000000	0.0046869698	0.0043404100	0.0084722647	0.0056771299	0.0156750000	0	0	209321984	-0.0826434046	-0.0014449251	-0.0130650038
17	1.2800000000	0.0034040471	0.0042853299	0.0084722647	0.0055876061	0.0155860000	0	0	209321984	-0.0892044678	-0.0017414258	-0.0118740890
18	1.3200000000	0.0085205873	0.0045206220	0.0085205873	0.0054379996	0.0157330000	0	0	209321984	-0.1118865162	-0.0021642703	-0.0133002996
19	1.3600000000	0.0036803596	0.0044763976	0.0085205873	0.0054733275	0.0154170000	0	0	209321984	-0.1199620068	-0.0004025081	-0.0150529612
20	1.4000000000	0.0032754522	0.0044163503	0.0085205873	0.0058417339	0.0154560000	0	0	209321984	-0.1262617111	0.0000318086	-0.0168365240
21	1.4400000000	0.0036732790	0.0043809660	0.0085205873	0.0058669289	0.0154370000	0	0	209321984	-0.1367445439	-0.0023174402	-0.0150766382
22	1.4800000000	0.0046723573	0.0043942111	0.0085205873	0.0057304741	0.0152010000	0	0	209321984	-0.1476162672	-0.0023603791	-0.0158093404
23	1.5200000000	0.0019358525	0.0042873259	0.0085205873	0.0056346096	0.0152170000	0	0	209321984	-0.1535293311	-0.0013136877	-0.0164328218
