SLAMBench Report run started:	2020-03-05 01:27:47

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-ORB-DEP-0.00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0126110000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0036155523	0.0023093305	0.0036155523	0.0015246610	0.0183930000	0	0	209321984	-0.0009043243	-0.0014850534	-0.0004963169
3	0.5600000000	0.0042954073	0.0029713561	0.0042954073	0.0128812562	0.0157730000	0	0	209321984	-0.0149651328	-0.0013125893	0.0003520997
4	0.6800000000	0.0042402595	0.0032885820	0.0042954073	0.0106869780	0.0158380000	0	0	209321984	-0.0168162622	-0.0039947843	-0.0010916529
5	0.7600000000	0.0053997352	0.0037108126	0.0053997352	0.0095138541	0.0157560000	0	0	209321984	-0.0202136599	-0.0057310164	-0.0014606484
6	0.8400000000	0.0045386031	0.0038487777	0.0053997352	0.0085248241	0.0155650000	0	0	209321984	-0.0291599203	-0.0047886404	-0.0018813405
7	0.9200000000	0.0040368796	0.0038756494	0.0053997352	0.0077839592	0.0158590000	0	0	209321984	-0.0374040119	-0.0038141096	-0.0045832288
8	0.9600000000	0.0045309230	0.0039575586	0.0053997352	0.0072902636	0.0163300000	0	0	209321984	-0.0362343937	-0.0003175538	-0.0052406183
9	1.0000000000	0.0074298447	0.0043433682	0.0074298447	0.0068595594	0.0153990000	0	0	209321984	-0.0395887457	-0.0011802390	-0.0051991884
10	1.0400000000	0.0080430843	0.0047133398	0.0080430843	0.0065657890	0.0153010000	0	0	209321984	-0.0445473045	-0.0016190980	-0.0071142362
11	1.0800000000	0.0028555193	0.0045444470	0.0080430843	0.0063913218	0.0156330000	0	0	209321984	-0.0573564172	-0.0024186245	-0.0069025392
12	1.1200000000	0.0025943555	0.0043819394	0.0080430843	0.0062680968	0.0156300000	0	0	209321984	-0.0616378188	0.0004978729	-0.0108328881
13	1.1600000000	0.0034658627	0.0043114719	0.0080430843	0.0061133621	0.0155720000	0	0	209321984	-0.0696570203	-0.0011090414	-0.0075014764
14	1.2000000000	0.0041197166	0.0042977751	0.0080430843	0.0058923598	0.0157050000	0	0	209321984	-0.0754589066	0.0011211840	-0.0097420206
15	1.2400000000	0.0044029448	0.0043047864	0.0080430843	0.0058052835	0.0157270000	0	0	209321984	-0.0826733112	-0.0008616049	-0.0130568957
16	1.2800000000	0.0032871645	0.0042411851	0.0080430843	0.0057003349	0.0158600000	0	0	209321984	-0.0898579285	-0.0021643050	-0.0119142309
17	1.3200000000	0.0086433161	0.0045001340	0.0086433161	0.0055466137	0.0157110000	0	0	209321984	-0.1118188500	-0.0024631917	-0.0132126100
18	1.3600000000	0.0042133527	0.0044842017	0.0086433161	0.0055660033	0.0153220000	0	0	209321984	-0.1194990575	-0.0007338734	-0.0150633566
19	1.4000000000	0.0027560755	0.0043932477	0.0086433161	0.0059136146	0.0157340000	0	0	209321984	-0.1267261803	0.0001692193	-0.0165521540
20	1.4400000000	0.0047558560	0.0044113781	0.0086433161	0.0059757360	0.0156520000	0	0	209321984	-0.1359453946	-0.0030718211	-0.0153424693
21	1.4800000000	0.0039382773	0.0043888495	0.0086433161	0.0058259501	0.0155810000	0	0	209321984	-0.1483269185	-0.0021285166	-0.0157038532
22	1.5200000000	0.0023916096	0.0042980658	0.0086433161	0.0057210518	0.0152690000	0	0	209321984	-0.1529071778	-0.0013773667	-0.0165249780
23	1.5600000000	0.0033923038	0.0042586849	0.0086433161	0.0057146295	0.0152780000	0	0	209321984	-0.1647129953	-0.0067662713	-0.0175946467
24	1.6000000000	0.0021062507	0.0041690001	0.0086433161	0.0056978674	0.0153720000	0	0	209321984	-0.1738003939	-0.0053638085	-0.0140092829
25	1.6400000000	0.0033107980	0.0041346720	0.0086433161	0.0055794473	0.0151820000	0	0	209321984	-0.1857563555	-0.0045372550	-0.0125690624
26	1.7200000000	0.0051748864	0.0041746803	0.0086433161	0.0056304710	0.0150550000	0	0	209321984	-0.1967062056	-0.0031456423	-0.0107986443
27	1.8000000000	0.0027544603	0.0041220795	0.0086433161	0.0058334342	0.0150230000	0	0	209321984	-0.2136941850	0.0002419209	-0.0074712317
28	1.9200000000	0.0023311032	0.0040581161	0.0086433161	0.0063118633	0.0151770000	0	0	209321984	-0.2325071543	-0.0001608243	-0.0057471097
29	2.1200000000	0.0027249001	0.0040121431	0.0086433161	0.0063189619	0.0155900000	0	0	209321984	-0.2636937797	-0.0050516296	-0.0002976172
30	2.2000000000	0.0020034777	0.0039451876	0.0086433161	0.0065695024	0.0154410000	0	0	209321984	-0.2841721177	-0.0050784461	0.0079494379
31	2.2800000000	0.0042688092	0.0039556270	0.0086433161	0.0065129856	0.0152230000	0	0	209321984	-0.2958030701	-0.0058975834	0.0111254472
32	2.3200000000	0.0051101120	0.0039917047	0.0086433161	0.0066378950	0.0149270000	0	0	209321984	-0.3138619363	-0.0101418747	0.0175585095
33	2.4400000000	0.0043202830	0.0040016616	0.0086433161	0.0079758187	0.0150410000	0	0	209321984	-0.3484229147	-0.0070784069	0.0271982495
34	2.4800000000	0.0027839160	0.0039658456	0.0086433161	0.0080807078	0.0151810000	0	0	209321984	-0.3560529947	-0.0094202412	0.0271906834
35	2.5200000000	0.0025955276	0.0039266936	0.0086433161	0.0083585348	0.0149080000	0	0	209321984	-0.3678660989	-0.0084240818	0.0315246023
36	2.5600000000	0.0029512816	0.0038995988	0.0086433161	0.0086115963	0.0147410000	0	0	209321984	-0.3841013610	-0.0100610284	0.0339782350
37	2.6000000000	0.0051649301	0.0039337970	0.0086433161	0.0086796545	0.0146630000	0	0	209321984	-0.3944595456	-0.0111323455	0.0372989662
38	2.7200000000	0.0035591852	0.0039239388	0.0086433161	0.0086839847	0.0147590000	0	0	209321984	-0.4252066016	-0.0041094120	0.0438826866
39	2.8000000000	0.0018314150	0.0038702843	0.0086433161	0.0087123470	0.0146400000	0	0	209321984	-0.4397634566	-0.0030875984	0.0387400687
40	3.0000000000	0.0104406541	0.0040345436	0.0104406541	0.0135442352	0.0153410000	0	0	209321984	-0.4764263630	0.0104249837	0.0326107964
41	3.0800000000	0.0110993870	0.0042068568	0.0110993870	0.0134685702	0.0158530000	0	0	209321984	-0.4757460952	0.0115704909	0.0187088102
42	3.1600000000	0.0160900187	0.0044897892	0.0160900187	0.0133528316	0.0149440000	0	0	209321984	-0.4917283654	0.0150081143	0.0090022832
43	3.2000000000	0.0121516297	0.0046679716	0.0160900187	0.0132164161	0.0150040000	0	0	209321984	-0.4993995726	0.0139705092	0.0103268623
44	3.2800000000	0.0163144078	0.0049326633	0.0163144078	0.0132607678	0.0148710000	0	0	209321984	-0.5188988447	0.0134332562	0.0076044351
45	3.3600000000	0.0183536410	0.0052309073	0.0183536410	0.0131711397	0.0149100000	0	0	209321984	-0.5485665798	0.0172287896	0.0104597062
46	3.4800000000	0.0187038649	0.0055237976	0.0187038649	0.0143967492	0.0149140000	0	0	209321984	-0.5835753679	0.0103767347	0.0117007047
47	3.7200000000	0.0180001594	0.0057892521	0.0187038649	0.0160646106	0.0147180000	0	0	209321984	-0.6432323456	0.0096232593	0.0152374059
48	4.0800000000	0.0248495769	0.0061863422	0.0248495769	0.0159250430	0.0146570000	0	0	209321984	-0.7310342789	0.0067281136	0.0521873385
49	4.4000000000	0.0253247023	0.0065769210	0.0253247023	0.0167429303	0.0148830000	0	0	209321984	-0.7787153721	-0.0015995987	0.0952599794
50	4.6800000000	0.0352545530	0.0071504737	0.0352545530	0.0179194451	0.0152120000	0	0	209321984	-0.8348865509	0.0052857567	0.1547417790
51	4.8000000000	0.0355288200	0.0077069118	0.0355288200	0.0177903962	0.0148650000	0	0	209321984	-0.8575659990	0.0081999376	0.1885445118
52	4.9600000000	0.0345234089	0.0082226137	0.0355288200	0.0176703174	0.0144980000	0	0	209321984	-0.8776482344	0.0110273752	0.2152318656
53	5.0800000000	0.0383461639	0.0087909826	0.0383461639	0.0175111333	0.0144580000	0	0	209321984	-0.8998416066	0.0143313352	0.2498161048
54	5.2000000000	0.0362683795	0.0092998232	0.0383461639	0.0175148539	0.0151390000	0	0	209321984	-0.9143702388	0.0147177428	0.2775649428
55	5.3600000000	0.0222621802	0.0095355025	0.0383461639	0.0181003556	0.0160470000	0	0	209321984	-0.9253983498	0.0152252894	0.3044233620
56	5.5600000000	0.0256919060	0.0098240097	0.0383461639	0.0195507388	0.0149560000	0	0	209321984	-0.9604327679	0.0089985952	0.3511462808
57	5.7200000000	0.0241740141	0.0100757641	0.0383461639	0.0203464034	0.0150600000	0	0	209321984	-0.9857074022	0.0155577511	0.3886554539
58	5.8400000000	0.0231861267	0.0103018049	0.0383461639	0.0202777219	0.0153060000	0	0	209321984	-1.0055054426	0.0123863369	0.4255048633
59	5.9600000000	0.0227494910	0.0105127826	0.0383461639	0.0201323414	0.0159120000	0	0	209321984	-1.0153971910	0.0154494271	0.4494675994
60	6.1200000000	0.0174763296	0.0106288417	0.0383461639	0.0201590997	0.0150740000	0	0	209321984	-1.0255736113	0.0176908746	0.4886141717
61	6.3600000000	0.0223162770	0.0108204390	0.0383461639	0.0225378047	0.0151490000	0	0	209321984	-1.0431039333	0.0270437934	0.5665233731
62	6.4800000000	0.0243733767	0.0110390348	0.0383461639	0.0223815126	0.0155800000	0	0	209321984	-1.0463759899	0.0239305459	0.6011801958
63	6.6000000000	0.0247755870	0.0112570753	0.0383461639	0.0223258494	0.0145490000	0	0	209321984	-1.0454328060	0.0278151333	0.6459518671
64	6.7200000000	0.0268708523	0.0115010406	0.0383461639	0.0222969823	0.0142920000	0	0	209321984	-1.0449924469	0.0291769505	0.6853131652
65	6.9200000000	0.0241131205	0.0116950726	0.0383461639	0.0222129779	0.0150640000	0	0	209321984	-1.0460845232	0.0393446200	0.7471618652
66	7.3600000000	0.0301900730	0.0119752998	0.0383461639	0.0222649965	0.0147410000	0	0	209321984	-1.0412415266	0.0465159602	0.8902043104
67	7.5200000000	0.0297019519	0.0122398767	0.0383461639	0.0222018923	0.0144310000	0	0	209321984	-1.0336006880	0.0575525910	0.9478139281
68	7.6400000000	0.0239596888	0.0124122269	0.0383461639	0.0220570172	0.0145710000	0	0	209321984	-1.0229196548	0.0636756718	0.9890914559
69	7.7200000000	0.0232406426	0.0125691605	0.0383461639	0.0219459578	0.0140350000	0	0	209321984	-1.0234346390	0.0547504425	1.0238325596
70	7.9200000000	0.0273093525	0.0127797346	0.0383461639	0.0224430515	0.0138440000	0	0	209321984	-1.0175907612	0.0642792284	1.1022024155
71	8.0400000000	0.0257550869	0.0129624861	0.0383461639	0.0224623053	0.0138020000	0	0	209321984	-1.0131475925	0.0614999458	1.1436047554
72	8.1999999990	0.0233024601	0.0131060968	0.0383461639	0.0224687094	0.0134050000	0	0	209321984	-1.0010603666	0.0693081394	1.1963280439
73	8.3599999990	0.0255479719	0.0132765335	0.0383461639	0.0224086454	0.0134020000	0	0	209321984	-0.9831031561	0.0759164989	1.2495880127
74	8.4000000000	0.0276078023	0.0134701993	0.0383461639	0.0222981952	0.0131200000	0	0	209321984	-0.9767335653	0.0770241097	1.2670568228
75	8.4800000000	0.0245887302	0.0136184464	0.0383461639	0.0221619545	0.0130170000	0	0	209321984	-0.9602122307	0.0830996558	1.2917623520
76	8.5200000000	0.0282665566	0.0138111846	0.0383461639	0.0220993952	0.0130280000	0	0	209321984	-0.9554893970	0.0818253085	1.3074002266
77	8.5600000000	0.0275364369	0.0139894347	0.0383461639	0.0219782737	0.0132380000	0	0	209321984	-0.9488400221	0.0817424506	1.3155878782
78	8.6400000000	0.0270191841	0.0141564827	0.0383461639	0.0218904667	0.0135490000	0	0	209321984	-0.9294440746	0.0892201960	1.3444385529
79	8.6800000000	0.0292100273	0.0143470339	0.0383461639	0.0218201740	0.0136150000	0	0	209321984	-0.9205514789	0.0904248506	1.3565381765
80	8.7200000000	0.0260300748	0.0144930720	0.0383461639	0.0216963366	0.0134280000	0	0	209321984	-0.9112695456	0.0860507935	1.3629149199
81	8.7600000000	0.0272846408	0.0146509926	0.0383461639	0.0215770462	0.0132190000	0	0	209321984	-0.9011571407	0.0895083100	1.3759158850
82	8.8000000000	0.0297088604	0.0148346251	0.0383461639	0.0215015904	0.0133330000	0	0	209321984	-0.8927066326	0.0920307189	1.3901339769
83	8.8400000000	0.0273308456	0.0149851820	0.0383461639	0.0213877242	0.0133940000	0	0	209321984	-0.8814975619	0.0948140398	1.4031518698
84	8.8800000000	0.0276424848	0.0151358641	0.0383461639	0.0212735269	0.0134270000	0	0	209321984	-0.8718460202	0.0981256515	1.4122093916
85	8.9200000000	0.0280372985	0.0152876457	0.0383461639	0.0211668827	0.0133950000	0	0	209321984	-0.8586720228	0.1009401307	1.4255464077
86	8.9600000000	0.0270642228	0.0154245827	0.0383461639	0.0210567205	0.0141300000	0	0	209321984	-0.8479608297	0.1062848121	1.4322856665
87	9.0000000000	0.0241842084	0.0155252680	0.0383461639	0.0209364715	0.0147040000	0	0	209321984	-0.8351081610	0.1119226739	1.4416241646
88	9.0400000000	0.0230875276	0.0156112028	0.0383461639	0.0208171914	0.0142090000	0	0	209321984	-0.8233437538	0.1166761518	1.4488075972
89	9.0800000000	0.0213648770	0.0156758508	0.0383461639	0.0207222692	0.0144360000	0	0	209321984	-0.8131690025	0.1210861206	1.4592301846
90	9.1200000000	0.0216733068	0.0157424892	0.0383461639	0.0206695943	0.0148210000	0	0	209321984	-0.8022471070	0.1242951900	1.4676312208
91	9.1600000000	0.0240313821	0.0158335759	0.0383461639	0.0206741382	0.0140700000	0	0	209321984	-0.7909263372	0.1312121898	1.4775211811
92	9.2000000000	0.0242697522	0.0159252735	0.0383461639	0.0207525984	0.0141390000	0	0	209321984	-0.7788190842	0.1341918111	1.4865847826
93	9.2400000000	0.0203503575	0.0159728551	0.0383461639	0.0207932858	0.0139390000	0	0	209321984	-0.7720790505	0.1329714954	1.4888808727
94	9.2800000000	0.0213864148	0.0160304461	0.0383461639	0.0208360559	0.0141100000	0	0	209321984	-0.7627784014	0.1344136298	1.4974795580
95	9.3200000000	0.0205172971	0.0160776761	0.0383461639	0.0208334285	0.0139750000	0	0	209321984	-0.7529917955	0.1373284608	1.5030308962
96	9.3600000000	0.0199138951	0.0161176367	0.0383461639	0.0208028353	0.0139410000	0	0	209321984	-0.7432571650	0.1396365315	1.5089527369
97	9.4400000000	0.0206769127	0.0161646396	0.0383461639	0.0209377756	0.0139040000	0	0	209321984	-0.7249572277	0.1478999108	1.5237252712
98	9.5200000000	0.0194240138	0.0161978985	0.0383461639	0.0210173248	0.0138370000	0	0	209321984	-0.7027637959	0.1612334549	1.5375272036
99	9.6800000000	0.0204257127	0.0162406037	0.0383461639	0.0216721797	0.0145650000	0	0	209321984	-0.6627807021	0.1746395230	1.5727173090
100	9.7200000000	0.0222910102	0.0163011078	0.0383461639	0.0216447924	0.0154690000	0	0	209321984	-0.6501970291	0.1839949936	1.5842437744
101	9.7600000000	0.0249452833	0.0163866937	0.0383461639	0.0216177851	0.0146380000	0	0	209321984	-0.6401991844	0.1870418787	1.5953667164
102	9.8000000000	0.0242542997	0.0164638271	0.0383461639	0.0215434580	0.0146950000	0	0	209321984	-0.6278680563	0.1910642385	1.6045556068
