SLAMBench Report run started:	2020-03-04 02:13:09

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM1XYZ-KF-DEP-0.00004.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 4e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256471951	0.0256471951	0.0256471951	0.0000000000	0.3368820000	0.0408510000	0.0149100000	0.0274760000	0.0000050000	0.2533980000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2267379761	0.0315831415	0.0286151683	0.0315831415	0.0419008359	0.0790890000	0.0406240000	0.0094410000	0.0272660000	0.0000010000	0.0016960000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2628860474	0.0385803021	0.0319368796	0.0385803021	0.0343877952	0.0787910000	0.0402890000	0.0094640000	0.0273440000	0.0000010000	0.0016310000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2952790260	0.0473248325	0.0357838678	0.0473248325	0.0301756811	0.2975900000	0.0401790000	0.0093610000	0.0273310000	0.2189790000	0.0016810000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3291950226	0.0259933267	0.0338257596	0.0473248325	0.0341248674	0.5369170000	0.0389510000	0.0536330000	0.0273450000	0.2058760000	0.2110470000	0	0	209321984	3.9964878559	3.9937570095	4.0333876610
6	1305031102.3630130291	0.0238682479	0.0321661743	0.0473248325	0.0307289035	0.2907590000	0.0393860000	0.0473980000	0.0000010000	0.2021660000	0.0017440000	0	0	209321984	3.9936554432	3.9957239628	4.0453953743
7	1305031102.3947720528	0.0223204214	0.0307596382	0.0473248325	0.0281080777	0.3183640000	0.0390580000	0.0577010000	0.0273170000	0.1924560000	0.0017660000	0	0	209321984	3.9927246571	3.9975903034	4.0571846962
8	1305031102.4278149605	0.0237553567	0.0298841030	0.0473248325	0.0275447424	0.3100100000	0.0394960000	0.0799790000	0.0000000000	0.1887420000	0.0017300000	0	0	209321984	3.9903752804	4.0004105568	4.0697722435
9	1305031102.4623949528	0.0211121421	0.0289094407	0.0473248325	0.0269282650	0.4890190000	0.0402850000	0.0805050000	0.0271580000	0.1681010000	0.1729000000	0	0	209321984	3.9909532070	4.0045895576	4.0828890800
10	1305031102.4942710400	0.0214574877	0.0281642454	0.0473248325	0.0258495574	0.2512110000	0.0402280000	0.0455010000	0.0000000000	0.1636700000	0.0017470000	0	0	209321984	3.9904160500	4.0034389496	4.0956234932
11	1305031102.5263299942	0.0260194968	0.0279692682	0.0473248325	0.0246653999	0.2738930000	0.0400880000	0.0539560000	0.0270680000	0.1509300000	0.0017840000	0	0	209321984	3.9896867275	4.0034074783	4.1073827744
12	1305031102.5622239113	0.0271815248	0.0279036229	0.0473248325	0.0238522409	0.2483970000	0.0399910000	0.0604000000	0.0000010000	0.1462090000	0.0017280000	0	0	209321984	3.9861946106	4.0025925636	4.1191239357
13	1305031102.5941579342	0.0317737758	0.0282013270	0.0473248325	0.0231826976	0.3983150000	0.0400200000	0.0457370000	0.0269670000	0.1400030000	0.1455170000	0	0	209321984	3.9859590530	3.9995377064	4.1300411224
14	1305031102.6268179417	0.0364777409	0.0287924994	0.0473248325	0.0223953247	0.2197450000	0.0400180000	0.0410470000	0.0000000000	0.1368850000	0.0017250000	0	0	209321984	3.9819233418	3.9997708797	4.1411604881
15	1305031102.6632730961	0.0335571766	0.0291101446	0.0473248325	0.0224034731	0.2571070000	0.0394470000	0.0545930000	0.0268770000	0.1343820000	0.0017400000	0	0	209321984	3.9785931110	4.0062885284	4.1532192230
16	1305031102.6951649189	0.0339605287	0.0294132936	0.0473248325	0.0216492009	0.2211850000	0.0394600000	0.0474000000	0.0000010000	0.1325240000	0.0017320000	0	0	209321984	3.9791984558	4.0092740059	4.1655497551
17	1305031102.7284231186	0.0395136029	0.0300074294	0.0473248325	0.0211103670	0.3970360000	0.0392900000	0.0670730000	0.0268000000	0.1291600000	0.1346370000	0	0	209321984	3.9790503979	4.0105843544	4.1780881882
18	1305031102.7635490894	0.0381099246	0.0304575680	0.0473248325	0.0208198959	0.2107350000	0.0404780000	0.0417380000	0.0000000000	0.1267050000	0.0017430000	0	0	209321984	3.9794437885	4.0161962509	4.1911978722
19	1305031102.7949779034	0.0400752686	0.0309637628	0.0473248325	0.0202575034	0.2346620000	0.0404680000	0.0417480000	0.0266770000	0.1239120000	0.0017750000	0	0	209321984	3.9794692993	4.0184965134	4.2035136223
20	1305031102.8285369873	0.0440202020	0.0316165848	0.0473248325	0.0198416388	0.2114960000	0.0405370000	0.0489140000	0.0000010000	0.1201920000	0.0017770000	0	0	209321984	3.9806101322	4.0217118263	4.2159833908
21	1305031102.8628079891	0.0455732420	0.0322811875	0.0473248325	0.0193742267	0.3605860000	0.0406190000	0.0553110000	0.0265450000	0.1162790000	0.1217550000	0	0	209321984	3.9771084785	4.0234990120	4.2277135849
22	1305031102.8941669464	0.0467343591	0.0329381498	0.0473248325	0.0191155011	0.2187140000	0.0398950000	0.0616840000	0.0000000000	0.1153510000	0.0017090000	0	0	209321984	3.9745626450	4.0261573792	4.2393808365
23	1305031102.9268510342	0.0495550521	0.0336606239	0.0495550521	0.0187264441	0.2369730000	0.0398540000	0.0548250000	0.0269400000	0.1135140000	0.0017660000	0	0	209321984	3.9725568295	4.0294704437	4.2507672310
24	1305031102.9621369839	0.0513140149	0.0343961818	0.0513140149	0.0190905830	0.2146350000	0.0398140000	0.0614320000	0.0000010000	0.1115600000	0.0017550000	0	0	209321984	3.9689071178	4.0316967964	4.2624421120
25	1305031102.9941639900	0.0529030748	0.0351364575	0.0529030748	0.0186908941	0.3791090000	0.0407000000	0.0831660000	0.0268980000	0.1114180000	0.1168470000	0	0	209321984	3.9684412479	4.0343184471	4.2743253708
26	1305031103.0278809071	0.0569055825	0.0359737316	0.0569055825	0.0183694144	0.1939730000	0.0405680000	0.0422250000	0.0000010000	0.1093780000	0.0017280000	0	0	209321984	3.9692277908	4.0369448662	4.2858748436
27	1305031103.0622730255	0.0589134805	0.0368233519	0.0589134805	0.0182729287	0.2587540000	0.0403020000	0.0829930000	0.0267910000	0.1068370000	0.0017530000	0	0	209321984	3.9701817036	4.0393857956	4.2965722084
28	1305031103.0940399170	0.0615932383	0.0377079907	0.0615932383	0.0180564447	0.2023600000	0.0395880000	0.0549700000	0.0000010000	0.1060150000	0.0017130000	0	0	209321984	3.9703979492	4.0410370827	4.3061981201
29	1305031103.1291089058	0.0618359856	0.0385399905	0.0618359856	0.0178985673	0.3423110000	0.0400360000	0.0615440000	0.0263240000	0.1044170000	0.1099040000	0	0	209321984	3.9709892273	4.0468826294	4.3159193993
30	1305031103.1627950668	0.0637997389	0.0393819821	0.0637997389	0.0176044553	0.1914740000	0.0390000000	0.0486550000	0.0000010000	0.1020290000	0.0017130000	0	0	209321984	3.9700493813	4.0488758087	4.3248806000
31	1305031103.1910610199	0.0633078441	0.0401537841	0.0637997389	0.0176612808	0.2179860000	0.0405070000	0.0482340000	0.0263120000	0.1011240000	0.0017360000	0	0	209321984	3.9698257446	4.0537319183	4.3337011337
