SLAMBench Report run started:	2020-03-04 09:53:33

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM1XYZ-KF-DEP-0.00009.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 9.000000000000001e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256471951	0.0256471951	0.0256471951	0.0000000000	0.3397580000	0.0408070000	0.0147770000	0.0274340000	0.0000040000	0.2564890000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2267379761	0.0315831415	0.0286151683	0.0315831415	0.0419008359	0.0777570000	0.0395270000	0.0093600000	0.0272360000	0.0000010000	0.0015760000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2628860474	0.0385803021	0.0319368796	0.0385803021	0.0343877952	0.0774550000	0.0392080000	0.0093480000	0.0272110000	0.0000010000	0.0016310000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2952790260	0.0473248325	0.0357838678	0.0473248325	0.0301756811	0.2927130000	0.0391100000	0.0092920000	0.0272030000	0.2153870000	0.0016630000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3291950226	0.0259933267	0.0338257596	0.0473248325	0.0341248674	0.5268280000	0.0385890000	0.0529330000	0.0272060000	0.2016290000	0.2064080000	0	0	209321984	3.9964878559	3.9937570095	4.0333876610
6	1305031102.3630130291	0.0238682479	0.0321661743	0.0473248325	0.0307289035	0.2897380000	0.0386630000	0.0470380000	0.0000000000	0.2022510000	0.0017270000	0	0	209321984	3.9936554432	3.9957239628	4.0453953743
7	1305031102.3947720528	0.0223204214	0.0307596382	0.0473248325	0.0281080777	0.3189570000	0.0390490000	0.0578550000	0.0277000000	0.1925510000	0.0017380000	0	0	209321984	3.9927246571	3.9975903034	4.0571846962
8	1305031102.4278149605	0.0237553567	0.0298841030	0.0473248325	0.0275447424	0.3096950000	0.0395710000	0.0796890000	0.0000010000	0.1886390000	0.0017350000	0	0	209321984	3.9903752804	4.0004105568	4.0697722435
9	1305031102.4623949528	0.0211121421	0.0289094407	0.0473248325	0.0269282650	0.4922250000	0.0402610000	0.0808140000	0.0276670000	0.1690380000	0.1743790000	0	0	209321984	3.9909532070	4.0045895576	4.0828890800
10	1305031102.4942710400	0.0214574877	0.0281642454	0.0473248325	0.0258495574	0.2509530000	0.0401930000	0.0453750000	0.0000000000	0.1635510000	0.0017680000	0	0	209321984	3.9904160500	4.0034389496	4.0956234932
11	1305031102.5263299942	0.0260194968	0.0279692682	0.0473248325	0.0246653999	0.2741010000	0.0400700000	0.0538190000	0.0275600000	0.1508200000	0.0017660000	0	0	209321984	3.9896867275	4.0034074783	4.1073827744
12	1305031102.5622239113	0.0271815248	0.0279036229	0.0473248325	0.0238522409	0.2484090000	0.0399750000	0.0605840000	0.0000000000	0.1460440000	0.0017380000	0	0	209321984	3.9861946106	4.0025925636	4.1191239357
