SLAMBench Report run started:	2020-03-03 10:28:32

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM1XYZ-ORB-DEP-0.00003.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 3e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256472826	0.0256472826	0.0256472826	0.0000000000	0.0154890000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2267379761	0.0284564961	0.0270518893	0.0284564961	0.0241866652	0.0206320000	0	0	209321984	-0.0014117062	0.0066473945	0.0110878255
3	1305031102.2628860474	0.0221706182	0.0254247990	0.0284564961	0.0174220013	0.0173710000	0	0	209321984	-0.0018491521	0.0050462433	0.0247456823
4	1305031102.2952790260	0.0195613150	0.0239589280	0.0284564961	0.0142503603	0.0169220000	0	0	209321984	-0.0026765747	0.0064667440	0.0364187397
5	1305031102.3291950226	0.0151175242	0.0221906472	0.0284564961	0.0138868521	0.0173290000	0	0	209321984	-0.0020120181	0.0041170670	0.0494529456
6	1305031102.3630130291	0.0130689573	0.0206703655	0.0284564961	0.0128017384	0.0171380000	0	0	209321984	-0.0029328906	0.0052491738	0.0608794726
7	1305031102.3947720528	0.0103203151	0.0191917869	0.0284564961	0.0117338911	0.0172110000	0	0	209321984	-0.0041670939	0.0060589197	0.0731598139
8	1305031102.4278149605	0.0104619106	0.0181005524	0.0284564961	0.0139351521	0.0166730000	0	0	209321984	-0.0081143677	0.0100818202	0.0835519880
9	1305031102.4623949528	0.0122992378	0.0174559619	0.0284564961	0.0150704639	0.0179880000	0	0	209321984	-0.0077624954	0.0182268713	0.0945776999
10	1305031102.4942710400	0.0111289276	0.0168232584	0.0284564961	0.0151558905	0.0201410000	0	0	209321984	-0.0061783311	0.0169063155	0.1083787531
11	1305031102.5263299942	0.0141648445	0.0165815844	0.0284564961	0.0147116903	0.0193430000	0	0	209321984	-0.0055628088	0.0165836029	0.1207044050
12	1305031102.5622239113	0.0142745320	0.0163893301	0.0284564961	0.0145612314	0.0188300000	0	0	209321984	-0.0077013560	0.0156101100	0.1332046092
13	1305031102.5941579342	0.0209330264	0.0167388452	0.0284564961	0.0143894991	0.0189040000	0	0	209321984	-0.0060301097	0.0115770567	0.1473982930
14	1305031102.6268179417	0.0253836978	0.0173563347	0.0284564961	0.0140508529	0.0181990000	0	0	209321984	-0.0088579468	0.0094703631	0.1585431546
15	1305031102.6632730961	0.0199617986	0.0175300322	0.0284564961	0.0144975944	0.0196380000	0	0	209321984	-0.0141019691	0.0177515447	0.1676006764
16	1305031102.6951649189	0.0209753290	0.0177453633	0.0284564961	0.0140306691	0.0197850000	0	0	209321984	-0.0141561013	0.0213057213	0.1807924807
17	1305031102.7284231186	0.0267792884	0.0182767707	0.0284564961	0.0137568329	0.0190040000	0	0	209321984	-0.0151625611	0.0211887565	0.1939160526
18	1305031102.7635490894	0.0251494236	0.0186585847	0.0284564961	0.0138912012	0.0186030000	0	0	209321984	-0.0143495882	0.0287481733	0.2059729397
19	1305031102.7949779034	0.0301385317	0.0192627924	0.0301385317	0.0135373864	0.0179030000	0	0	209321984	-0.0122728515	0.0296722949	0.2197641134
20	1305031102.8285369873	0.0326161496	0.0199304603	0.0326161496	0.0134757415	0.0176800000	0	0	209321984	-0.0138176270	0.0331119634	0.2319088578
21	1305031102.8628079891	0.0372608565	0.0207557173	0.0372608565	0.0132138188	0.0175720000	0	0	209321984	-0.0142597826	0.0330208093	0.2449468076
22	1305031102.8941669464	0.0385025404	0.0215623910	0.0385025404	0.0131933927	0.0190890000	0	0	209321984	-0.0172444675	0.0359203070	0.2565249801
23	1305031102.9268510342	0.0416057706	0.0224338423	0.0416057706	0.0129388736	0.0199110000	0	0	209321984	-0.0186521299	0.0385555699	0.2676333487
24	1305031102.9621369839	0.0427830704	0.0232817268	0.0427830704	0.0141069205	0.0187950000	0	0	209321984	-0.0264823511	0.0404976904	0.2787256539
25	1305031102.9941639900	0.0428545810	0.0240646410	0.0428545810	0.0138221886	0.0178550000	0	0	209321984	-0.0300311726	0.0451120362	0.2899641693
26	1305031103.0278809071	0.0462291986	0.0249171240	0.0462291986	0.0136319507	0.0180870000	0	0	209321984	-0.0292106755	0.0483602770	0.3003956974
27	1305031103.0622730255	0.0479556732	0.0257704036	0.0479556732	0.0136518642	0.0181900000	0	0	209321984	-0.0293420386	0.0519240014	0.3117572963
28	1305031103.0940399170	0.0531100929	0.0267468211	0.0531100929	0.0136385792	0.0185130000	0	0	209321984	-0.0254321899	0.0528653190	0.3226936162
29	1305031103.1291089058	0.0513245426	0.0275943287	0.0531100929	0.0135886084	0.0183150000	0	0	209321984	-0.0269412026	0.0598193966	0.3304551542
30	1305031103.1627950668	0.0554198362	0.0285218456	0.0554198362	0.0134182773	0.0184060000	0	0	209321984	-0.0260166880	0.0606651828	0.3402432501
31	1305031103.1910610199	0.0536716320	0.0293331290	0.0554198362	0.0136984451	0.0178820000	0	0	209321984	-0.0262073539	0.0671546310	0.3478169739
32	1305031103.2278449535	0.0531990565	0.0300789393	0.0554198362	0.0136608494	0.0173140000	0	0	209321984	-0.0283910837	0.0721333101	0.3552435637
33	1305031103.2625761032	0.0547737889	0.0308272681	0.0554198362	0.0136507477	0.0184090000	0	0	209321984	-0.0280346423	0.0749075264	0.3633670807
34	1305031103.2942080498	0.0548681580	0.0315343531	0.0554198362	0.0140638058	0.0178970000	0	0	209321984	-0.0335268192	0.0762191266	0.3694106638
35	1305031103.3275499344	0.0643514544	0.0324719845	0.0643514544	0.0147945244	0.0183570000	0	0	209321984	-0.0310506374	0.0691510141	0.3765816689
36	1305031103.3624050617	0.0631114170	0.0333230799	0.0643514544	0.0148883270	0.0184760000	0	0	209321984	-0.0269238148	0.0717275143	0.3785708547
37	1305031103.3941619396	0.0656073242	0.0341956270	0.0656073242	0.0147237028	0.0187180000	0	0	209321984	-0.0244812015	0.0693666339	0.3796714246
38	1305031103.4284369946	0.0669240654	0.0350569017	0.0669240654	0.0147540664	0.0187730000	0	0	209321984	-0.0267767124	0.0653235167	0.3790098727
39	1305031103.4638860226	0.0656082258	0.0358402690	0.0669240654	0.0145594892	0.0187260000	0	0	209321984	-0.0284330137	0.0633482337	0.3747824132
40	1305031103.4944720268	0.0663068667	0.0366019339	0.0669240654	0.0144797894	0.0182180000	0	0	209321984	-0.0276891831	0.0590556487	0.3700374067
41	1305031103.5315020084	0.0664378032	0.0373296381	0.0669240654	0.0144203089	0.0185670000	0	0	209321984	-0.0265646577	0.0541977212	0.3638562858
42	1305031103.5626509190	0.0646547973	0.0379802371	0.0669240654	0.0142700573	0.0179190000	0	0	209321984	-0.0254731607	0.0506717339	0.3556640744
43	1305031103.5953099728	0.0603864901	0.0385013127	0.0669240654	0.0141796609	0.0185540000	0	0	209321984	-0.0260461736	0.0483563878	0.3449648321
44	1305031103.6313760281	0.0583676398	0.0389528202	0.0669240654	0.0141217347	0.0181110000	0	0	209321984	-0.0255308971	0.0435993783	0.3349416852
45	1305031103.6635940075	0.0559147112	0.0393297511	0.0669240654	0.0140194893	0.0179580000	0	0	209321984	-0.0235830508	0.0402824171	0.3252673745
46	1305031103.6946949959	0.0527932681	0.0396224362	0.0669240654	0.0138817264	0.0185120000	0	0	209321984	-0.0214379467	0.0364601463	0.3133025765
47	1305031103.7315421104	0.0489667468	0.0398212514	0.0669240654	0.0138236645	0.0187720000	0	0	209321984	-0.0192278344	0.0331905931	0.3006731570
48	1305031103.7628650665	0.0489520505	0.0400114763	0.0669240654	0.0136834422	0.0184600000	0	0	209321984	-0.0163288228	0.0261599608	0.2885918617
