SLAMBench Report run started:	2020-03-05 03:12:38

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-KF-COM-0.00010.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4835000038	0.0594216436	0.0594216436	0.0594216436	0.0000000000	0.3325910000	0.0400650000	0.0145160000	0.0275220000	0.0000030000	0.2471240000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311867170.5168180466	0.0613267384	0.0603741910	0.0613267384	0.0123057691	0.0785980000	0.0396600000	0.0092940000	0.0274220000	0.0000020000	0.0015310000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311867170.5513839722	0.0624115951	0.0610533257	0.0624115951	0.0115930253	0.0788500000	0.0398140000	0.0093300000	0.0274420000	0.0000010000	0.0015530000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311867170.5809900761	0.0637348592	0.0617237091	0.0637348592	0.0126582134	0.3115900000	0.0395820000	0.0093540000	0.0274780000	0.2328470000	0.0016360000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311867170.6179420948	0.0618972257	0.0617584124	0.0637348592	0.0140411814	0.6115550000	0.0400800000	0.0794890000	0.0276480000	0.2290660000	0.2345690000	0	0	209321984	4.0008411407	3.9965617657	3.9971024990
6	1311867170.6496739388	0.0619982220	0.0617983807	0.0637348592	0.0127131163	0.3394220000	0.0396370000	0.0665980000	0.0000010000	0.2307820000	0.0016940000	0	0	209321984	4.0005621910	3.9948449135	3.9956433773
7	1311867170.6805319786	0.0614012480	0.0617416474	0.0637348592	0.0117012062	0.3755100000	0.0397660000	0.0792680000	0.0277300000	0.2262950000	0.0017400000	0	0	209321984	4.0001931190	3.9939689636	3.9938409328
8	1311867170.7173581123	0.0623450652	0.0618170747	0.0637348592	0.0110091766	0.3496750000	0.0397060000	0.0798500000	0.0000010000	0.2277100000	0.0017060000	0	0	209321984	4.0007958412	3.9944102764	3.9929349422
9	1311867170.7494509220	0.0618848763	0.0618246082	0.0637348592	0.0104276640	0.6062480000	0.0396500000	0.0791390000	0.0276880000	0.2267420000	0.2323170000	0	0	209321984	3.9988803864	3.9916372299	3.9913017750
10	1311867170.7803640366	0.0618115589	0.0618233033	0.0637348592	0.0100133985	0.3278040000	0.0398700000	0.0602200000	0.0000000000	0.2253400000	0.0016800000	0	0	209321984	3.9987738132	3.9896643162	3.9898858070
11	1311867170.8165349960	0.0622324608	0.0618604994	0.0637348592	0.0097854002	0.3730130000	0.0395790000	0.0801840000	0.0276510000	0.2231400000	0.0017470000	0	0	209321984	4.0000810623	3.9862992764	3.9880132675
12	1311867170.8506159782	0.0622064024	0.0618893246	0.0637348592	0.0096038467	0.3431100000	0.0391740000	0.0790560000	0.0000000000	0.2224910000	0.0016830000	0	0	209321984	4.0018701553	3.9825124741	3.9855670929
13	1311867170.8826720715	0.0624851063	0.0619351540	0.0637348592	0.0092532537	0.5958700000	0.0388740000	0.0777970000	0.0277230000	0.2222260000	0.2285470000	0	0	209321984	3.9997923374	3.9810576439	3.9831891060
14	1311867170.9172639847	0.0628508702	0.0620005623	0.0637348592	0.0089630920	0.3236380000	0.0384590000	0.0587890000	0.0000010000	0.2240020000	0.0016760000	0	0	209321984	4.0008916855	3.9780077934	3.9805946350
15	1311867170.9496428967	0.0625380054	0.0620363918	0.0637348592	0.0087913898	0.3406510000	0.0381870000	0.0459150000	0.0277430000	0.2263960000	0.0016970000	0	0	209321984	3.9983937740	3.9761006832	3.9775242805
16	1311867170.9861969948	0.0630818903	0.0621017355	0.0637348592	0.0086638675	0.3149330000	0.0379840000	0.0462000000	0.0000000000	0.2284040000	0.0016550000	0	0	209321984	3.9973058701	3.9753856659	3.9747555256
17	1311867171.0198309422	0.0628799051	0.0621475102	0.0637348592	0.0083993064	0.5827700000	0.0375470000	0.0516350000	0.0277790000	0.2289610000	0.2361510000	0	0	209321984	3.9962000847	3.9739305973	3.9718875885
18	1311867171.0525920391	0.0623320080	0.0621577601	0.0637348592	0.0082146073	0.3221330000	0.0373460000	0.0517390000	0.0000010000	0.2306660000	0.0016650000	0	0	209321984	3.9947650433	3.9708163738	3.9690096378
