SLAMBench Report run started:	2020-03-03 06:46:03

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-KF-INT-0.00002.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 2e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520030	0.0582520030	0.0582520030	0.0000000000	0.3349030000	0.0407130000	0.0146230000	0.0275330000	0.0000030000	0.2456190000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311867170.4941389561	0.0599970818	0.0591245424	0.0599970818	0.0035989983	0.0797510000	0.0400360000	0.0093120000	0.0275120000	0.0000010000	0.0015950000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311867170.5264289379	0.0615839623	0.0599443490	0.0615839623	0.0081929692	0.0793360000	0.0402110000	0.0093240000	0.0275170000	0.0000000000	0.0015790000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311867170.5623490810	0.0628964603	0.0606823768	0.0628964603	0.0105670472	0.3135850000	0.0394530000	0.0092590000	0.0275290000	0.2349190000	0.0017090000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311867170.5942170620	0.0609258004	0.0607310615	0.0628964603	0.0111248825	0.5821640000	0.0402140000	0.0463760000	0.0276290000	0.2308200000	0.2364280000	0	0	209321984	4.0031242371	3.9974739552	3.9970715046
6	1311867170.6260869503	0.0606063157	0.0607102706	0.0628964603	0.0110247071	0.3493520000	0.0407150000	0.0794630000	0.0000010000	0.2267580000	0.0017050000	0	0	209321984	4.0016179085	3.9956715107	3.9953825474
7	1311867170.6621398926	0.0602245182	0.0606408774	0.0628964603	0.0105579885	0.3512340000	0.0402790000	0.0533070000	0.0277470000	0.2274950000	0.0016990000	0	0	209321984	4.0018362999	3.9940991402	3.9936189651
8	1311867170.6942050457	0.0600376725	0.0605654768	0.0628964603	0.0100588744	0.3507110000	0.0403910000	0.0793010000	0.0000010000	0.2286570000	0.0016810000	0	0	209321984	4.0011501312	3.9931442738	3.9919633865
9	1311867170.7263879776	0.0608407333	0.0605960608	0.0628964603	0.0100336743	0.5834400000	0.0403260000	0.0533160000	0.0281440000	0.2275640000	0.2333860000	0	0	209321984	4.0015745163	3.9936795235	3.9908599854
10	1311867170.7620189190	0.0603531599	0.0605717707	0.0628964603	0.0098635406	0.3483760000	0.0402920000	0.0784730000	0.0000000000	0.2271990000	0.0017020000	0	0	209321984	3.9994847775	3.9909155369	3.9892821312
11	1311867170.7941920757	0.0607237555	0.0605855875	0.0628964603	0.0096817613	0.3585570000	0.0404990000	0.0600920000	0.0277160000	0.2278270000	0.0017250000	0	0	209321984	4.0003814697	3.9889502525	3.9876790047
12	1311867170.8262820244	0.0612722374	0.0606428084	0.0628964603	0.0096073742	0.3484330000	0.0400150000	0.0795530000	0.0000010000	0.2265010000	0.0016770000	0	0	209321984	4.0014538765	3.9856202602	3.9859535694
13	1311867170.8622210026	0.0614278056	0.0607031928	0.0628964603	0.0096859912	0.5750700000	0.0389080000	0.0528110000	0.0277350000	0.2241530000	0.2307640000	0	0	209321984	4.0042281151	3.9817702770	3.9834070206
14	1311867170.8943779469	0.0618288368	0.0607835959	0.0628964603	0.0094040667	0.3089350000	0.0384290000	0.0442750000	0.0000000000	0.2237900000	0.0017160000	0	0	209321984	4.0020437241	3.9801115990	3.9812366962
15	1311867170.9263520241	0.0620395541	0.0608673265	0.0628964603	0.0093865927	0.3444450000	0.0392790000	0.0525370000	0.0277770000	0.2224090000	0.0017210000	0	0	209321984	4.0027923584	3.9772713184	3.9783899784
