SLAMBench Report run started:	2020-03-05 02:16:10

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-KF-INT-0.00010.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520030	0.0582520030	0.0582520030	0.0000000000	0.3337190000	0.0401280000	0.0146720000	0.0274960000	0.0000030000	0.2451120000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311867170.4941389561	0.0599970818	0.0591245424	0.0599970818	0.0035989983	0.0790240000	0.0394450000	0.0092520000	0.0275360000	0.0000010000	0.0015490000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311867170.5264289379	0.0615839623	0.0599443490	0.0615839623	0.0081929692	0.0786550000	0.0396650000	0.0092770000	0.0274550000	0.0000000000	0.0015580000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311867170.5623490810	0.0628964603	0.0606823768	0.0628964603	0.0105670472	0.3135290000	0.0398460000	0.0093410000	0.0274620000	0.2345640000	0.0016290000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311867170.5942170620	0.0609258004	0.0607310615	0.0628964603	0.0111248825	0.5811530000	0.0396000000	0.0464040000	0.0280820000	0.2304130000	0.2359460000	0	0	209321984	4.0031242371	3.9974739552	3.9970715046
6	1311867170.6260869503	0.0606063157	0.0607102706	0.0628964603	0.0110247071	0.3537420000	0.0401090000	0.0797990000	0.0000010000	0.2314640000	0.0016890000	0	0	209321984	4.0016179085	3.9956715107	3.9953825474
7	1311867170.6621398926	0.0602245182	0.0606408774	0.0628964603	0.0105579885	0.3499180000	0.0396380000	0.0529120000	0.0276490000	0.2273570000	0.0016770000	0	0	209321984	4.0018362999	3.9940991402	3.9936189651
8	1311867170.6942050457	0.0600376725	0.0605654768	0.0628964603	0.0100588744	0.3500410000	0.0397580000	0.0793350000	0.0000000000	0.2285530000	0.0017060000	0	0	209321984	4.0011501312	3.9931442738	3.9919633865
9	1311867170.7263879776	0.0608407333	0.0605960608	0.0628964603	0.0100336743	0.5815520000	0.0397140000	0.0531480000	0.0281740000	0.2273220000	0.2324780000	0	0	209321984	4.0015745163	3.9936795235	3.9908599854
10	1311867170.7620189190	0.0603531599	0.0605717707	0.0628964603	0.0098635406	0.3500990000	0.0395700000	0.0793000000	0.0000000000	0.2288250000	0.0017040000	0	0	209321984	3.9994847775	3.9909155369	3.9892821312
