SLAMBench Report run started:	2020-03-03 04:19:15

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-ORB-INT-0.00001.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 1e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520440	0.0582520440	0.0582520440	0.0000000000	0.0205640000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.4941389561	0.0586513095	0.0584516767	0.0586513095	0.0035568599	0.0205390000	0	0	209321984	-0.0037290785	-0.0008873059	-0.0017752401
3	1311867170.5264289379	0.0586349778	0.0585127771	0.0586513095	0.0026892678	0.0168630000	0	0	209321984	-0.0066636289	-0.0009887099	-0.0038847781
4	1311867170.5623490810	0.0579612777	0.0583749022	0.0586513095	0.0038652261	0.0160860000	0	0	209321984	-0.0075552929	-0.0004700989	-0.0061232853
5	1311867170.5942170620	0.0572031438	0.0581405506	0.0586513095	0.0046716670	0.0157250000	0	0	209321984	-0.0105825309	-0.0026345556	-0.0081826607
6	1311867170.6260869503	0.0551972985	0.0576500085	0.0586513095	0.0045855823	0.0160830000	0	0	209321984	-0.0094935242	-0.0038034481	-0.0112776561
7	1311867170.6621398926	0.0557202436	0.0573743278	0.0586513095	0.0042680593	0.0162000000	0	0	209321984	-0.0116005996	-0.0041983514	-0.0123869115
8	1311867170.6942050457	0.0557865202	0.0571758519	0.0586513095	0.0039788450	0.0157910000	0	0	209321984	-0.0117514916	-0.0035821258	-0.0141893644
9	1311867170.7263879776	0.0565820150	0.0571098700	0.0586513095	0.0037951679	0.0157490000	0	0	209321984	-0.0149657391	-0.0051745819	-0.0147165330
10	1311867170.7620189190	0.0567802563	0.0570769086	0.0586513095	0.0036362128	0.0158220000	0	0	209321984	-0.0179762077	-0.0074667833	-0.0160556417
11	1311867170.7941920757	0.0557406954	0.0569554347	0.0586513095	0.0037678595	0.0155490000	0	0	209321984	-0.0188163277	-0.0093539311	-0.0189011358
12	1311867170.8262820244	0.0553769395	0.0568238935	0.0586513095	0.0037772370	0.0155890000	0	0	209321984	-0.0190528855	-0.0125779584	-0.0211441983
13	1311867170.8622210026	0.0536716506	0.0565814132	0.0586513095	0.0040032151	0.0160280000	0	0	209321984	-0.0181403700	-0.0145789562	-0.0251088254
14	1311867170.8943779469	0.0536986627	0.0563755025	0.0586513095	0.0038615189	0.0158810000	0	0	209321984	-0.0180563480	-0.0165230166	-0.0279309861
15	1311867170.9263520241	0.0533902831	0.0561764879	0.0586513095	0.0038842918	0.0156410000	0	0	209321984	-0.0189507548	-0.0196016338	-0.0310368408
16	1311867170.9621469975	0.0544289351	0.0560672658	0.0586513095	0.0038658180	0.0158740000	0	0	209321984	-0.0210439935	-0.0207070708	-0.0332900546
17	1311867170.9942629337	0.0530261137	0.0558883745	0.0586513095	0.0037974588	0.0160570000	0	0	209321984	-0.0202908125	-0.0211819317	-0.0380649455
